年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元)
Feb-25,TT99,基金總規模,,,"459,407,963"
Jan-25,TT99,基金總規模,,,"446,905,350"
Dec-24,TT99,基金總規模,,,"435,205,965"
Nov-24,TT99,基金總規模,,,"409,330,159"
Oct-24,TT99,基金總規模,,,"405,575,149"
Sep-24,TT99,基金總規模,,,"396,395,580"
Aug-24,TT99,基金總規模,,,"393,735,021"
Jul-24,TT99,基金總規模,,,"385,719,369"
Jun-24,TT99,基金總規模,,,"414,275,514"
May-24,TT99,基金總規模,,,"318,041,404"
Apr-24,TT99,基金總規模,,,"301,172,875"
Mar-24,TT99,基金總規模,,,"301,929,562"
Feb-24,TT99,基金總規模,,,"301,913,172"
Jan-24,TT99,基金總規模,,,"292,916,436"
Dec-23,TT99,基金總規模,,,"311,757,825"
Nov-23,TT99,基金總規模,,,"302,148,908"
Oct-23,TT99,基金總規模,,,"286,520,587"
Sep-23,TT99,基金總規模,,,"286,224,133"
Aug-23,TT99,基金總規模,,,"306,784,729"
Jul-23,TT99,基金總規模,,,"318,675,156"
Jun-23,TT99,基金總規模,,,"342,035,289"
May-23,TT99,基金總規模,,,"303,763,481"
Apr-23,TT99,基金總規模,,,"271,313,252"
Mar-23,TT99,基金總規模,,,"278,471,884"
Feb-23,TT99,基金總規模,,,"269,164,067"
Jan-23,TT99,基金總規模,,,"267,540,485"
Dec-22,TT99,基金總規模,,,"253,072,799"
Nov-22,TT99,基金總規模,,,"268,706,082"
Oct-22,TT99,基金總規模,,,"224,307,530"
Sep-22,TT99,基金總規模,,,"217,074,908"
Aug-22,TT99,基金總規模,,,"249,638,231"
Jul-22,TT99,基金總規模,,,"247,019,436"
Jun-22,TT99,基金總規模,,,"232,370,341"
May-22,TT99,基金總規模,,,"228,808,665"
Apr-22,TT99,基金總規模,,,"217,190,128"
Mar-22,TT99,基金總規模,,,"217,053,524"
Feb-22,TT99,基金總規模,,,"182,555,957"
Jan-22,TT99,基金總規模,,,"169,335,576"
Dec-21,TT99,基金總規模,,,"176,954,493"
Nov-21,TT99,基金總規模,,,"172,280,930"
Oct-21,TT99,基金總規模,,,"177,051,874"
Sep-21,TT99,基金總規模,,,"168,329,388"
Aug-21,TT99,基金總規模,,,"192,216,824"
Jul-21,TT99,基金總規模,,,"182,454,745"
Jun-21,TT99,基金總規模,,,"190,767,378"
May-21,TT99,基金總規模,,,"171,141,681"
Apr-21,TT99,基金總規模,,,"137,142,922"
Mar-21,TT99,基金總規模,,,"131,649,631"
Feb-21,TT99,基金總規模,,,"119,922,914"
Jan-21,TT99,基金總規模,,,"112,954,884"
Dec-20,TT99,基金總規模,,,"115,894,731"
Nov-20,TT99,基金總規模,,,"111,629,026"
Oct-20,TT99,基金總規模,,,"96,210,278"
Sep-20,TT99,基金總規模,,,"100,720,575"
Aug-20,TT99,基金總規模,,,"105,267,584"
Jul-20,TT99,基金總規模,,,"118,509,125"
Jun-20,TT99,基金總規模,,,"118,101,088"
May-20,TT99,基金總規模,,,"86,378,970"
Apr-20,TT99,基金總規模,,,"87,321,315"
Mar-20,TT99,基金總規模,,,"80,649,899"
Feb-20,TT99,基金總規模,,,"67,572,405"
Jan-20,TT99,基金總規模,,,"59,158,260"
Dec-19,TT99,基金總規模,,,"66,219,075"
Nov-19,TT99,基金總規模,,,"67,350,937"
Oct-19,TT99,基金總規模,,,"63,118,613"
Sep-19,TT99,基金總規模,,,"66,241,103"
Aug-19,TT99,基金總規模,,,"117,368,655"
Jul-19,TT99,基金總規模,,,"125,832,108"
Jun-19,TT99,基金總規模,,,"138,013,832"
May-19,TT99,基金總規模,,,"61,215,584"
Apr-19,TT99,基金總規模,,,"68,575,424"
Mar-19,TT99,基金總規模,,,"68,843,088"
Feb-19,TT99,基金總規模,,,"73,738,801"
Jan-19,TT99,基金總規模,,,"71,817,199"
Dec-18,TT99,基金總規模,,,"70,808,725"
Nov-18,TT99,基金總規模,,,"66,910,476"
Oct-18,TT99,基金總規模,,,"63,079,665"
Sep-18,TT99,基金總規模,,,"50,591,991"
Aug-18,TT99,基金總規模,,,"63,796,139"
Jul-18,TT99,基金總規模,,,"71,832,066"
Jun-18,TT99,基金總規模,,,"79,327,908"
May-18,TT99,基金總規模,,,"48,630,644"
Apr-18,TT99,基金總規模,,,"46,320,979"
Mar-18,TT99,基金總規模,,,"42,500,902"
Feb-18,TT99,基金總規模,,,"42,310,984"
