0050 元大台灣50--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,"122,716",1.17,"5,362,676",0.98,8.7064,TW0002303005
2025/02,2308,台達電,"22,559",1.97,"9,068,658",0.87,-8.1142,TW0002308004
2025/02,2317,鴻海,"123,947",4.69,"21,566,834",0.89,-3.3333,TW0002317005
2025/02,2330,台積電,"251,595",56.96,"261,659,217",0.97,-8.3701,TW0002330008
2025/02,2382,廣達,"28,584",1.56,"7,160,248",0.74,-7.0501,TW0002382009
2025/02,2454,聯發科,"15,664",5.17,"23,730,374",0.98,3.4131,TW0002454006
2025/02,2881,富邦金,"84,852",1.7,"7,831,816",0.62,-0.5386,TW0002881000
2025/02,2882,國泰金,"96,117",1.43,"6,574,382",0.66,2.3953,TW0002882008
2025/02,2891,中信金,"170,969",1.52,"6,967,003",0.87,4.2199,TW0002891009
2025/02,3711,日月光投控,"33,712",1.25,"5,764,679",0.76,-3.3896,TW0003711008
2025/02,M2300,電子工業,,72.77,"334,312,686",,-4.4381,
2025/02,M2800,金融業(合計),,4.65,"21,373,200",,1.978,
2025/02,MTSE,國內上市,,77.42,"355,685,886",,-2.0073,
2025/02,TT99,基金總規模,,,"459,407,963",,,
2025/01,2308,台達電,"20,917",2.05,"9,151,162",0.81,1.626,TW0002308004
2025/01,2317,鴻海,"114,878",4.63,"20,678,013",0.83,-2.1738,TW0002317005
2025/01,2330,台積電,"233,340",59.26,"264,840,863",0.9,5.5815,TW0002330008
2025/01,2382,廣達,"26,566",1.6,"7,159,505",0.69,-6.0974,TW0002382009
2025/01,2412,中華電,"36,825",1.03,"4,584,763",0.47,0.8096,TW0002412004
2025/01,2454,聯發科,"14,538",4.77,"21,298,500",0.91,5.7576,TW0002454006
2025/01,2881,富邦金,"78,708",1.63,"7,304,107",0.58,2.7687,TW0002881000
2025/01,2882,國泰金,"89,120",1.33,"5,953,244",0.61,-2.1962,TW0002882008
2025/01,2891,中信金,"158,525",1.39,"6,198,311",0.81,-0.0001,TW0002891009
2025/01,3711,日月光投控,"31,258",1.24,"5,532,627",0.71,9.2594,TW0003711008
2025/01,M2300,電子工業,,74.57,"333,245,433",,2.7295,
2025/01,M2800,金融業(合計),,4.35,"19,455,662",,1.3151,
2025/01,MTSE,國內上市,,78.92,"352,701,095",,2.1287,
2025/01,TT99,基金總規模,,,"446,905,350",,,
2024/12,1101,台泥,"64,526",0.47,"2,045,468",0.85,-5.3733,TW0001101004
2024/12,1216,統一,"46,802",0.87,"3,786,292",0.82,-4.2604,TW0001216000
2024/12,1301,台塑,"35,552",0.29,"1,262,097",0.56,-14.1476,TW0001301000
