0053 元大電子--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,146,1.14,"6,398",0,8.7064,TW0002303005
2025/02,2308,台達電,38,2.74,"15,319",0,-8.1142,TW0002308004
2025/02,2317,鴻海,140,4.36,"24,389",0,-3.3333,TW0002317005
2025/02,2330,台積電,280,52.08,"291,600",0,-8.3701,TW0002330008
2025/02,2345,智邦,7,0.81,"4,510",0,-11.7956,TW0002345006
2025/02,2357,華碩,8,0.97,"5,407",0,12.3557,TW0002357001
2025/02,2382,廣達,42,1.87,"10,494",0,-7.0501,TW0002382009
2025/02,2412,中華電,84,1.93,"10,787",0,2.8113,TW0002412004
2025/02,2454,聯發科,20,5.39,"30,173",0,3.4131,TW0002454006
2025/02,3711,日月光投控,48,1.48,"8,287",0,-3.3896,TW0003711008
2025/02,M2300,電子工業,,72.75,"407,365",,-4.4381,
2025/02,MTSE,國內上市,,72.75,"407,365",,-2.0073,
2025/02,TT99,基金總規模,,,"559,925",,,
2025/01,2303,聯電,146,1,"5,886",0,-6.6203,TW0002303005
2025/01,2308,台達電,38,2.84,"16,672",0,1.626,TW0002308004
2025/01,2317,鴻海,140,4.3,"25,230",0,-2.1738,TW0002317005
2025/01,2330,台積電,280,54.18,"318,237",0,5.5815,TW0002330008
2025/01,2345,智邦,7,0.87,"5,114",0,-1.2937,TW0002345006
2025/01,2357,華碩,8,0.82,"4,812",0,-1.461,TW0002357001
2025/01,2382,廣達,42,1.92,"11,290",0,-6.0974,TW0002382009
2025/01,2412,中華電,84,1.79,"10,492",0,0.8096,TW0002412004
2025/01,2454,聯發科,20,4.97,"29,177",0,5.7576,TW0002454006
2025/01,3711,日月光投控,48,1.46,"8,577",0,9.2594,TW0003711008
2025/01,M2300,電子工業,,74.15,"435,488",,2.7295,
2025/01,MTSE,國內上市,,74.15,"435,488",,2.1287,
2025/01,TT99,基金總規模,,,"587,316",,,
2024/12,1582,信錦,4,0.07,399,0,-0.2199,TW0001582005
2024/12,2059,川湖,1,0.36,"2,053",0,6.1644,TW0002059003
2024/12,2301,光寶科,28,0.49,"2,795",0,-4.3269,TW0002301009
2024/12,2303,聯電,147,1.11,"6,331",0,-1.1483,TW0002303005
2024/12,2308,台達電,38,2.88,"16,426",0,12.992,TW0002308004
2024/12,2313,華通,13,0.16,913,0,15.1069,TW0002313004
2024/12,2317,鴻海,140,4.52,"25,779",0,-5.8822,TW0002317005
2024/12,2324,仁寶,48,0.32,"1,825",0,2.1709,TW0002324001
2024/12,2327,國巨,4,0.36,"2,053",0,5.2528,TW0002327004
2024/12,2328,廣宇,7,0.05,285,0,10.0675,TW0002328002
2024/12,2329,華泰,12,0.07,399,0,-2.5283,TW0002329000
2024/12,2330,台積電,280,52.85,"301,421",0,8.3391,TW0002330008
2024/12,2337,旺宏,20,0.07,399,0,-5.4895,TW0002337003
2024/12,2338,光罩,1,0.01,57,0,-8.1157,TW0002338001
2024/12,2340,台亞,6,0.03,171,0,-3.746,TW0002340007
2024/12,2344,華邦電,46,0.12,684,0,-7.7881,TW0002344009
2024/12,2345,智邦,7,0.91,"5,190",0,17.6562,TW0002345006
2024/12,2347,聯強,20,0.25,"1,426",0,-6.3491,TW0002347002
2024/12,2351,順德,2,0.03,171,0,-7.4512,TW0002351004
2024/12,2352,佳世達,22,0.13,741,0,-9.0664,TW0002352002
2024/12,2353,宏碁,34,0.24,"1,369",0,5.1518,TW0002353000
2024/12,2354,鴻準,15,0.2,"1,141",0,-7.4629,TW0002354008
2024/12,2355,敬鵬,7,0.05,285,0,1.4379,TW0002355005
2024/12,2356,英業達,38,0.33,"1,882",0,2.2451,TW0002356003
2024/12,2357,華碩,8,0.86,"4,905",0,4.762,TW0002357001
2024/12,2360,致茂,5,0.34,"1,939",0,-0.8486,TW0002360005
