0056 元大高股息--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,"270,468",2.95,"11,819,447",2.15,8.7064,TW0002303005
2025/02,2357,華碩,"19,912",3.39,"13,579,808",2.68,12.3557,TW0002357001
2025/02,2379,瑞昱,"23,467",3.22,"12,906,953",4.58,1.4761,TW0002379005
2025/02,2383,台光電,"15,874",2.5,"10,032,372",4.58,2.9316,TW0002383007
2025/02,2454,聯發科,"7,910",2.99,"11,983,991",0.49,3.4131,TW0002454006
2025/02,2603,長榮,"68,947",3.72,"14,892,659",3.18,5.6234,TW0002603008
2025/02,2618,長榮航,"246,459",2.64,"10,597,750",4.56,-9.8531,TW0002618006
2025/02,2880,華南金,"394,575",2.74,"10,988,919",2.86,-0.5357,TW0002880002
2025/02,2891,中信金,"321,969",3.27,"13,120,218",1.64,4.2199,TW0002891009
2025/02,3034,聯詠,"26,358",3.58,"14,365,253",4.33,4.0076,TW0003034005
2025/02,M2300,電子工業,,18.63,"74,687,824",,-4.4381,
2025/02,M2600,航運業,,6.36,"25,490,409",,3.5662,
2025/02,M2800,金融業(合計),,6.02,"24,109,138",,1.978,
2025/02,MTSE,國內上市,,31.01,"124,287,371",,-2.0073,
2025/02,TT99,基金總規模,,,"400,819,346",,,
2025/01,2303,聯電,"261,566",2.73,"10,514,948",2.08,-6.6203,TW0002303005
2025/01,2357,華碩,"19,776",3.11,"12,003,730",2.66,-1.461,TW0002357001
2025/01,2379,瑞昱,"23,297",3.27,"12,627,142",4.54,-4.5773,TW0002379005
2025/01,2454,聯發科,"7,853",2.98,"11,504,334",0.49,5.7576,TW0002454006
2025/01,2603,長榮,"70,203",3.72,"14,356,467",3.24,-9.1111,TW0002603008
2025/01,2618,長榮航,"244,419",3.02,"11,658,789",4.53,7.5538,TW0002618006
2025/01,2880,華南金,"382,607",2.78,"10,713,007",2.78,7.0747,TW0002880002
2025/01,2891,中信金,"318,469",3.23,"12,452,136",1.62,-0.0001,TW0002891009
2025/01,3034,聯詠,"26,315",3.58,"13,789,133",4.32,4.3822,TW0003034005
2025/01,4938,和碩,"105,742",2.65,"10,225,293",3.97,5.2231,TW0004938006
2025/01,M2300,電子工業,,18.33,"70,664,581",,2.7295,
2025/01,M2600,航運業,,6.75,"26,015,257",,-3.3957,
2025/01,M2800,金融業(合計),,6.01,"23,165,143",,1.3151,
2025/01,MTSE,國內上市,,31.08,"119,844,981",,2.1287,
2025/01,TT99,基金總規模,,,"385,600,310",,,
2024/12,1102,亞泥,"189,133",2.11,"7,640,968",5.33,-3.9241,TW0001102002
2024/12,1303,南亞,"147,759",1.22,"4,418,000",1.86,-22.7391,TW0001303006
2024/12,1319,東陽,"30,393",0.94,"3,404,033",5.14,-5.4852,TW0001319002
2024/12,1477,聚陽,"13,199",1.17,"4,236,935",5.35,0.156,TW0001477008
2024/12,1504,東元,"103,367",1.49,"5,395,755",4.83,-1.6949,TW0001504009
2024/12,2006,東和鋼鐵,"38,933",0.73,"2,643,558",5.33,-3.6881,TW0002006004
2024/12,2027,大成鋼,"114,924",0.96,"3,476,459",4.72,-12.8241,TW0002027000
2024/12,2105,正新,"172,760",2.34,"8,473,870",5.33,-3.0631,TW0002105004
2024/12,2301,光寶科,"80,433",2.21,"8,003,099",3.43,-4.3269,TW0002301009
2024/12,2303,聯電,"238,056",2.83,"10,248,312",1.9,-1.1483,TW0002303005
2024/12,2317,鴻海,"32,080",1.63,"5,902,738",0.23,-5.8822,TW0002317005
2024/12,2324,仁寶,"232,764",2.42,"8,763,574",5.28,2.1709,TW0002324001
2024/12,2347,聯強,"88,487",1.73,"6,264,869",5.31,-6.3491,TW0002347002
2024/12,2353,宏碁,"154,679",1.7,"6,156,230",5.08,5.1518,TW0002353000
2024/12,2356,英業達,"160,465",2.22,"8,039,312",4.47,2.2451,TW0002356003
2024/12,2357,華碩,"18,459",3.14,"11,370,919",2.49,4.762,TW0002357001
2024/12,2376,技嘉,"27,110",2.04,"7,387,476",4.05,0.3681,TW0002376001
2024/12,2377,微星,"44,995",2.28,"8,256,591",5.33,7.3101,TW0002377009
2024/12,2379,瑞昱,"21,422",3.36,"12,167,608",4.18,19.3278,TW0002379005
2024/12,2382,廣達,"30,914",2.45,"8,872,214",0.8,-1.3747,TW0002382009
2024/12,2383,台光電,"14,474",2.47,"8,944,640",4.18,31.9101,TW0002383007
2024/12,2385,群光,"38,834",1.63,"5,902,738",5.11,-3.1846,TW0002385002
2024/12,2449,京元電子,"62,033",1.91,"6,916,705",5.07,-11.8578,TW0002449006
2024/12,2454,聯發科,"7,217",2.82,"10,212,099",0.45,12.7491,TW0002454006
2024/12,2474,可成,"31,173",1.67,"6,047,591",4.58,2.698,TW0002474004
2024/12,2542,興富發,"5,001",0.06,"217,279",0.24,-9.3849,TW0002542008
2024/12,2603,長榮,"64,701",4.02,"14,557,673",2.99,3.6868,TW0002603008
2024/12,2609,陽明,"110,983",2.32,"8,401,443",3.18,3.4154,TW0002609005
2024/12,2618,長榮航,"220,463",2.7,"9,777,542",4.08,6.7389,TW0002618006
2024/12,2880,華南金,"318,509",2.3,"8,329,017",2.31,0.3839,TW0002880002
2024/12,2885,元大金,"249,231",2.34,"8,473,870",1.93,2.2557,TW0002885001
2024/12,2886,兆豐金,"237,678",2.54,"9,198,132",1.6,-2.6417,TW0002886009
2024/12,2890,永豐金,"373,201",2.36,"8,546,296",2.94,-1.5054,TW0002890001
2024/12,2891,中信金,"301,004",3.25,"11,769,263",1.53,4.5454,TW0002891009
2024/12,3005,神基,"32,455",0.95,"3,440,246",5.25,1.4354,TW0003005005
2024/12,3034,聯詠,"24,022",3.33,"12,058,968",3.95,3.7189,TW0003034005
2024/12,3036,文曄,"58,929",1.79,"6,482,148",5.27,-0.0001,TW0003036000
2024/12,3044,健鼎,"25,670",1.4,"5,069,836",4.88,4.4974,TW0003044004
2024/12,3231,緯創,"61,284",1.76,"6,373,509",2.12,-8.3701,TW0003231007
2024/12,3702,大聯大,"89,474",1.69,"6,120,017",5.33,-2.8409,TW0003702007
2024/12,3711,日月光投控,"52,755",2.36,"8,546,296",1.19,6.9306,TW0003711008
2024/12,4763,材料-KY,"3,755",0.93,"3,367,820",3.8,3.42,KYG5138S1057
2024/12,4938,和碩,"97,330",2.47,"8,944,640",3.65,-2.5454,TW0004938006
2024/12,4958,臻鼎-KY,"51,000",1.69,"6,120,017",5.33,4.8036,KYG989221000
2024/12,5871,中租-KY,"24,676",0.77,"2,788,410",1.47,-4.6415,KYG202881093
2024/12,5876,上海商銀,"160,033",1.75,"6,337,296",3.29,0.8916,TW0005876007
2024/12,6176,瑞儀,"21,746",1.18,"4,273,148",4.68,3.1495,TW0006176001
2024/12,6239,力成,"36,213",1.22,"4,418,000",4.77,-0.4082,TW0006239007
2024/12,6285,啟碁,"25,020",0.95,"3,440,246",5.16,18.5344,TW0006285000
2024/12,9941,裕融,"12,884",0.37,"1,339,885",2.35,-11.4894,TW0009941005
2024/12,M1100,水泥工業,,2.11,"7,640,968",,-4.626,
2024/12,M1300,塑膠工業,,1.22,"4,418,000",,-17.3582,
2024/12,M1400,紡織纖維,,1.17,"4,236,935",,-4.1986,
2024/12,M1500,電機機械,,1.49,"5,395,755",,5.9027,
2024/12,M1700,化學生技醫療,,0.93,"3,367,820",,-3.3812,
2024/12,M2000,鋼鐵工業,,1.69,"6,120,017",,-7.0871,
2024/12,M2100,橡膠工業,,2.34,"8,473,870",,-4.8752,
2024/12,M2200,汽車工業,,0.94,"3,404,033",,-1.6795,
2024/12,M2300,電子工業,,59.3,"214,743,788",,5.8726,
2024/12,M2500,建材營造,,0.06,"217,279",,-4.7719,
2024/12,M2600,航運業,,9.04,"32,736,658",,1.768,
2024/12,M2800,金融業(合計),,14.54,"52,653,873",,1.3001,
2024/12,M9900,其他,,1.14,"4,128,295",,-3.8152,
2024/12,MTSE,國內上市,,95.97,"347,537,291",,3.4705,
2024/12,TT99,基金總規模,,,"362,131,177",,,
2024/11,2303,聯電,"228,922",2.88,"9,969,553",1.83,-9.5535,TW0002303005
2024/11,2357,華碩,"21,652",3.67,"12,731,288",2.92,2.2608,TW0002357001
2024/11,2379,瑞昱,"21,380",2.94,"10,176,645",4.17,-0.5226,TW0002379005
2024/11,2382,廣達,"34,289",2.88,"9,978,036",0.89,-4.1186,TW0002382009
2024/11,2454,聯發科,"8,934",3.23,"11,212,737",0.56,-2.7132,TW0002454006
2024/11,2885,元大金,"317,291",3.04,"10,549,942",2.45,2.465,TW0002885001
2024/11,2886,兆豐金,"330,540",3.79,"13,138,947",2.23,1.145,TW0002886009
2024/11,2890,永豐金,"440,045",2.95,"10,231,037",3.47,1.087,TW0002890001
2024/11,2891,中信金,"301,163",3.25,"11,263,490",1.53,4.1783,TW0002891009
2024/11,3034,聯詠,"22,484",3.14,"10,882,125",3.69,-3.7774,TW0003034005
2024/11,M2300,電子工業,,18.74,"64,950,385",,-2.7378,
2024/11,M2800,金融業(合計),,13.03,"45,183,415",,-0.3813,
2024/11,MTSE,國內上市,,31.77,"110,133,800",,-2.4448,
2024/11,TT99,基金總規模,,,"346,666,035",,,
2024/10,1402,遠東新,"274,438",3.04,"10,181,655",5.13,-3.3854,TW0001402006
2024/10,2303,聯電,"216,340",3.11,"10,416,793",1.73,-10.5018,TW0002303005
2024/10,2357,華碩,"20,476",3.52,"11,773,600",2.76,3.9782,TW0002357001
2024/10,2382,廣達,"32,428",2.94,"9,841,840",0.84,14.962,TW0002382009
2024/10,2454,聯發科,"8,444",3.25,"10,892,777",0.53,9.7872,TW0002454006
2024/10,2885,元大金,"298,729",2.9,"9,693,748",2.31,2.3658,TW0002885001
2024/10,2886,兆豐金,"311,684",3.66,"12,249,177",2.1,0.0001,TW0002886009
2024/10,2890,永豐金,"432,342",2.97,"9,943,874",3.41,-5.1545,TW0002890001
2024/10,2891,中信金,"283,087",3.04,"10,162,817",1.44,4.3603,TW0002891009
