006203 元大MSCI台灣--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,206,0.99,"9,007",0,8.7064,TW0002303005
2025/02,2308,台達電,36,1.58,"14,364",0,-8.1142,TW0002308004
2025/02,2317,鴻海,218,4.17,"37,947",0,-3.3333,TW0002317005
2025/02,2330,台積電,455,51.97,"472,773",0,-8.3701,TW0002330008
2025/02,2382,廣達,49,1.36,"12,369",0,-7.0501,TW0002382009
2025/02,2454,聯發科,28,4.7,"42,737",0,3.4131,TW0002454006
2025/02,2881,富邦金,151,1.53,"13,951",0,-0.5386,TW0002881000
2025/02,2882,國泰金,174,1.31,"11,921",0,2.3953,TW0002882008
2025/02,2891,中信金,304,1.36,"12,390",0,4.2199,TW0002891009
2025/02,3711,日月光投控,60,1.14,"10,345",0,-3.3896,TW0003711008
2025/02,M2300,電子工業,,65.9,"599,541",,-4.4381,
2025/02,M2800,金融業(合計),,4.21,"38,262",,1.978,
2025/02,MTSE,國內上市,,70.11,"637,803",,-2.0073,
2025/02,TT99,基金總規模,,,"909,710",,,
2025/01,2308,台達電,36,1.65,"15,632",0,1.626,TW0002308004
2025/01,2317,鴻海,206,3.91,"37,096",0,-2.1738,TW0002317005
2025/01,2330,台積電,457,54.63,"518,796",0,5.5815,TW0002330008
2025/01,2382,廣達,50,1.42,"13,522",0,-6.0974,TW0002382009
2025/01,2412,中華電,69,0.91,"8,611",0,0.8096,TW0002412004
2025/01,2454,聯發科,28,4.35,"41,326",0,5.7576,TW0002454006
2025/01,2881,富邦金,151,1.48,"14,026",0,2.7687,TW0002881000
2025/01,2882,國泰金,175,1.23,"11,709",0,-2.1962,TW0002882008
2025/01,2891,中信金,308,1.27,"12,045",0,-0.0001,TW0002891009
2025/01,3711,日月光投控,61,1.14,"10,832",0,9.2594,TW0003711008
2025/01,M2300,電子工業,,68,"645,816",,2.7295,
2025/01,M2800,金融業(合計),,3.98,"37,780",,1.3151,
2025/01,MTSE,國內上市,,71.98,"683,596",,2.1287,
2025/01,TT99,基金總規模,,,"949,664",,,
2024/12,1101,台泥,128,0.43,"4,044",0,-5.3733,TW0001101004
2024/12,1102,亞泥,44,0.19,"1,787",0,-3.9241,TW0001102002
2024/12,1216,統一,91,0.78,"7,336",0,-4.2604,TW0001216000
2024/12,1301,台塑,72,0.27,"2,539",0,-14.1476,TW0001301000
2024/12,1303,南亞,98,0.31,"2,916",0,-22.7391,TW0001303006
2024/12,1326,台化,65,0.19,"1,787",0,-19.3501,TW0001326007
2024/12,1402,遠東新,54,0.18,"1,693",0,-5.3891,TW0001402006
2024/12,1476,儒鴻,4,0.21,"1,975",0,-3.9624,TW0001476000
2024/12,1519,華城,3,0.17,"1,599",0,2.3639,TW0001519007
2024/12,1590,亞德客-KY,3,0.24,"2,257",0,6.8355,KYG014081064
2024/12,1605,華新,52,0.13,"1,223",0,-9.1953,TW0001605004
2024/12,2002,中鋼,220,0.46,"4,326",0,-7.3114,TW0002002003
2024/12,2105,正新,33,0.17,"1,599",0,-3.0631,TW0002105004
2024/12,2207,和泰車,6,0.39,"3,668",0,0.8142,TW0002207008
2024/12,2301,光寶科,40,0.42,"3,950",0,-4.3269,TW0002301009
2024/12,2303,聯電,212,0.97,"9,123",0,-1.1483,TW0002303005
2024/12,2308,台達電,36,1.67,"15,707",0,12.992,TW0002308004
2024/12,2317,鴻海,233,4.56,"42,887",0,-5.8822,TW0002317005
2024/12,2324,仁寶,77,0.31,"2,916",0,2.1709,TW0002324001
2024/12,2327,國巨,7,0.38,"3,574",0,5.2528,TW0002327004
2024/12,2330,台積電,464,53,"498,470",0,8.3391,TW0002330008
2024/12,2345,智邦,10,0.79,"7,430",0,17.6562,TW0002345006
2024/12,2347,聯強,24,0.18,"1,693",0,-6.3491,TW0002347002
2024/12,2353,宏碁,54,0.23,"2,163",0,5.1518,TW0002353000
2024/12,2356,英業達,51,0.27,"2,539",0,2.2451,TW0002356003
2024/12,2357,華碩,13,0.87,"8,182",0,4.762,TW0002357001
2024/12,2376,技嘉,10,0.29,"2,727",0,0.3681,TW0002376001
2024/12,2377,微星,14,0.27,"2,539",0,7.3101,TW0002377009
2024/12,2379,瑞昱,9,0.57,"5,361",0,19.3278,TW0002379005
2024/12,2382,廣達,51,1.56,"14,672",0,-1.3747,TW0002382009
2024/12,2395,研華,9,0.32,"3,010",0,3.2785,TW0002395001
2024/12,2408,南亞科,23,0.07,658,0,-12.5564,TW0002408002
2024/12,2409,友達,122,0.19,"1,787",0,-6.0899,TW0002409000
2024/12,2412,中華電,71,0.93,"8,747",0,0.4065,TW0002412004
2024/12,2454,聯發科,29,4.32,"40,630",0,12.7491,TW0002454006
2024/12,2474,可成,12,0.24,"2,257",0,2.698,TW0002474004
2024/12,2603,長榮,19,0.46,"4,326",0,3.6868,TW0002603008
2024/12,2609,陽明,34,0.27,"2,539",0,3.4154,TW0002609005
2024/12,2610,華航,55,0.15,"1,411",0,3.0121,TW0002610003
2024/12,2615,萬海,14,0.12,"1,129",0,-2.2892,TW0002615002
2024/12,2618,長榮航,51,0.24,"2,257",0,6.7389,TW0002618006
2024/12,2633,台灣高鐵,37,0.11,"1,035",0,-1.5929,TW0002633005
2024/12,2801,彰銀,116,0.22,"2,069",0,1.4205,TW0002801008
2024/12,2834,臺企銀,127,0.2,"1,881",0,0.3376,TW0002834009
2024/12,2880,華南金,165,0.46,"4,326",0,0.3839,TW0002880002
2024/12,2881,富邦金,154,1.48,"13,920",0,2.6134,TW0002881000
2024/12,2882,國泰金,179,1.3,"12,227",0,3.9575,TW0002882008
2024/12,2883,凱基金,301,0.55,"5,173",0,0.0002,TW0002883006
2024/12,2884,玉山金,269,0.77,"7,242",0,-0.1852,TW0002884004
2024/12,2885,元大金,194,0.7,"6,584",0,2.2557,TW0002885001
2024/12,2886,兆豐金,221,0.91,"8,559",0,-2.6417,TW0002886009
2024/12,2887,台新金,222,0.41,"3,856",0,1.7544,TW0002887007
2024/12,2888,新光金,271,0.34,"3,198",0,2.1644,TW0002888005
2024/12,2890,永豐金,201,0.49,"4,608",0,-1.5054,TW0002890001
2024/12,2891,中信金,313,1.3,"12,227",0,4.5454,TW0002891009
2024/12,2892,第一金,212,0.61,"5,737",0,-0.3678,TW0002892007
2024/12,2912,統一超,11,0.31,"2,916",0,-2.7726,TW0002912003
2024/12,3008,大立光,2,0.53,"4,985",0,9.8564,TW0003008009
2024/12,3017,奇鋐,6,0.4,"3,762",0,-3.1103,TW0003017000
2024/12,3034,聯詠,11,0.59,"5,549",0,3.7189,TW0003034005
2024/12,3037,欣興,25,0.38,"3,574",0,-5.3693,TW0003037008
2024/12,3045,台灣大,34,0.41,"3,856",0,0.4425,TW0003045001
2024/12,3231,緯創,52,0.57,"5,361",0,-8.3701,TW0003231007
2024/12,3293,鈊象,5,0.47,"4,420",0,1.4584,TW0003293007
2024/12,3443,創意,2,0.24,"2,257",0,14.2856,TW0003443008
2024/12,3481,群創,144,0.22,"2,069",0,-5.2805,TW0003481008
2024/12,3529,力旺,1,0.43,"4,044",0,15.0943,TW0003529004
2024/12,3653,健策,2,0.26,"2,445",0,10.1085,TW0003653002
2024/12,3661,世芯-KY,1,0.52,"4,891",0,48.0812,KYG022421088
2024/12,3702,大聯大,30,0.22,"2,069",0,-2.8409,TW0003702007
2024/12,3711,日月光投控,62,1.07,"10,063",0,6.9306,TW0003711008
2024/12,4904,遠傳,33,0.31,"2,916",0,-0.5561,TW0004904008
2024/12,4938,和碩,38,0.37,"3,480",0,-2.5454,TW0004938006
2024/12,4958,臻鼎-KY,13,0.16,"1,505",0,4.8036,KYG989221000
2024/12,5347,世界,19,0.2,"1,881",0,11.6199,TW0005347009
2024/12,5871,中租-KY,13,0.16,"1,505",0,-4.6415,KYG202881093
2024/12,5876,上海商銀,74,0.31,"2,916",0,0.8916,TW0005876007
2024/12,5880,合庫金,201,0.52,"4,891",0,-2.4096,TW0005880009
2024/12,6409,旭隼,1,0.24,"2,257",0,1.0871,TW0006409006
2024/12,6415,矽力*-KY,6,0.27,"2,539",0,-4.2704,KYG8190F1028
2024/12,6446,藥華藥,4,0.29,"2,727",0,5.8521,TW0006446008
2024/12,6488,環球晶,5,0.21,"1,975",0,-6.9513,TW0006488000
2024/12,6669,緯穎,2,0.59,"5,549",0,35.4005,TW0006669005
2024/12,8069,元太,17,0.48,"4,514",0,-2.847,TW0008069006
2024/12,8464,億豐,3,0.13,"1,223",0,-8.375,TW0008464009
2024/12,9904,寶成,41,0.16,"1,505",0,-9.5587,TW0009904003
2024/12,9910,豐泰,10,0.14,"1,317",0,1.5267,TW0009910000
2024/12,9945,潤泰新,29,0.13,"1,223",0,-4.2412,TW0009945006
2024/12,M1100,水泥工業,,0.62,"5,831",,-4.626,
2024/12,M1200,食品工業,,0.78,"7,336",,-6.4639,
2024/12,M1300,塑膠工業,,0.77,"7,242",,-17.3582,
2024/12,M1400,紡織纖維,,0.39,"3,668",,-4.1986,
2024/12,M1500,電機機械,,0.41,"3,856",,5.9027,
2024/12,M1600,電器電纜,,0.13,"1,223",,-6.2632,
2024/12,M1700,化學生技醫療,,0.29,"2,727",,-3.3812,
2024/12,M2000,鋼鐵工業,,0.46,"4,326",,-7.0871,
2024/12,M2100,橡膠工業,,0.17,"1,599",,-4.8752,
2024/12,M2200,汽車工業,,0.39,"3,668",,-1.6795,
2024/12,M2300,電子工業,,81.08,"762,565",,5.8726,
2024/12,M2600,航運業,,1.35,"12,697",,1.768,
2024/12,M2800,金融業(合計),,10.57,"99,412",,1.3001,
2024/12,M2900,貿易百貨,,0.31,"2,916",,-4.2879,
2024/12,M3200,文化創意業,,0.47,"4,420",,,
2024/12,M3700,運動休閒,,0.3,"2,822",,-2.1691,
2024/12,M3800,居家生活,,0.13,"1,223",,-4.6838,
2024/12,M9900,其他,,0.29,"2,727",,-3.8152,
2024/12,MOTC,國內上櫃,,1.79,"16,835",,-0.3428,
2024/12,MTSE,國內上市,,97.12,"913,422",,3.4705,
2024/12,TT99,基金總規模,,,"940,509",,,
2024/11,2303,聯電,211,1.03,"9,193",0,-9.5535,TW0002303005
2024/11,2308,台達電,36,1.55,"13,880",0,-5.6931,TW0002308004
2024/11,2317,鴻海,234,5.12,"45,764",0,-7.5652,TW0002317005
2024/11,2330,台積電,463,51.57,"460,739",0,-3.3009,TW0002330008
2024/11,2382,廣達,51,1.67,"14,892",0,-4.1186,TW0002382009
2024/11,2454,聯發科,29,4.03,"36,030",0,-2.7132,TW0002454006
2024/11,2881,富邦金,154,1.52,"13,565",0,-3.0837,TW0002881000
2024/11,2882,國泰金,179,1.32,"11,779",0,-4.6443,TW0002882008
2024/11,2891,中信金,313,1.31,"11,708",0,4.1783,TW0002891009
2024/11,3711,日月光投控,62,1.05,"9,423",0,-3.503,TW0003711008
2024/11,M2300,電子工業,,66.04,"589,922",,-2.7378,
2024/11,M2800,金融業(合計),,4.15,"37,052",,-0.3813,
2024/11,MTSE,國內上市,,70.18,"626,974",,-2.4448,
2024/11,TT99,基金總規模,,,"893,342",,,
2024/10,2303,聯電,213,1.11,"10,261",0,-10.5018,TW0002303005
2024/10,2308,台達電,36,1.59,"14,718",0,6.1761,TW0002308004
2024/10,2317,鴻海,235,5.39,"49,721",0,12.7999,TW0002317005
2024/10,2330,台積電,466,52.06,"480,457",0,7.628,TW0002330008
2024/10,2382,廣達,51,1.68,"15,532",0,14.962,TW0002382009
