006208 富邦台50--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,"54,522",1.16,"2,382,607",0.43,8.7064,TW0002303005
2025/02,2308,台達電,"10,023",1.97,"4,029,078",0.39,-8.1142,TW0002308004
2025/02,2317,鴻海,"55,359",4.7,"9,632,410",0.4,-3.3333,TW0002317005
2025/02,2330,台積電,"111,898",56.78,"116,373,987",0.43,-8.3701,TW0002330008
2025/02,2382,廣達,"12,317",1.51,"3,085,484",0.32,-7.0501,TW0002382009
2025/02,2454,聯發科,"6,870",5.08,"10,408,114",0.43,3.4131,TW0002454006
2025/02,2881,富邦金,"37,714",1.7,"3,480,984",0.28,-0.5386,TW0002881000
2025/02,2882,國泰金,"42,704",1.43,"2,920,967",0.29,2.3953,TW0002882008
2025/02,2891,中信金,"75,961",1.51,"3,095,391",0.39,4.2199,TW0002891009
2025/02,3711,日月光投控,"14,978",1.25,"2,561,166",0.34,-3.3896,TW0003711008
2025/02,M2300,電子工業,,72.45,"148,472,844",,-4.4381,
2025/02,M2800,金融業(合計),,4.63,"9,497,342",,1.978,
2025/02,MTSE,國內上市,,77.08,"157,970,186",,-2.0073,
2025/02,TT99,基金總規模,,,"204,939,725",,,
2025/01,2308,台達電,"9,248",2.04,"4,045,817",0.36,1.626,TW0002308004
2025/01,2317,鴻海,"51,080",4.63,"9,194,342",0.37,-2.1738,TW0002317005
2025/01,2330,台積電,"103,285",59.09,"117,228,548",0.4,5.5815,TW0002330008
2025/01,2382,廣達,"11,365",1.54,"3,062,949",0.29,-6.0974,TW0002382009
2025/01,2412,中華電,"16,281",1.02,"2,026,993",0.21,0.8096,TW0002412004
2025/01,2454,聯發科,"6,339",4.68,"9,286,697",0.4,5.7576,TW0002454006
2025/01,2881,富邦金,"34,799",1.63,"3,229,329",0.25,2.7687,TW0002881000
2025/01,2882,國泰金,"39,403",1.33,"2,632,134",0.27,-2.1962,TW0002882008
2025/01,2891,中信金,"70,090",1.38,"2,740,500",0.36,-0.0001,TW0002891009
2025/01,3711,日月光投控,"13,820",1.23,"2,446,065",0.31,9.2594,TW0003711008
2025/01,M2300,電子工業,,74.24,"147,291,410",,2.7295,
2025/01,M2800,金融業(合計),,4.34,"8,601,962",,1.3151,
2025/01,MTSE,國內上市,,78.58,"155,893,372",,2.1287,
2025/01,TT99,基金總規模,,,"198,391,935",,,
2024/12,1101,台泥,"27,568",0.47,"873,902",0.37,-5.3733,TW0001101004
2024/12,1216,統一,"19,996",0.87,"1,617,648",0.35,-4.2604,TW0001216000
2024/12,1301,台塑,"15,713",0.3,"557,810",0.25,-14.1476,TW0001301000
2024/12,1303,南亞,"21,765",0.35,"650,778",0.27,-22.7391,TW0001303006
2024/12,1326,台化,"14,303",0.21,"390,467",0.24,-19.3501,TW0001326007
2024/12,2002,中鋼,"47,312",0.5,"929,683",0.3,-7.3114,TW0002002003
2024/12,2207,和泰車,"1,352",0.45,"836,714",0.24,0.8142,TW0002207008
2024/12,2301,光寶科,"8,222",0.44,"818,121",0.35,-4.3269,TW0002301009
2024/12,2303,聯電,"48,806",1.13,"2,101,083",0.39,-1.1483,TW0002303005
2024/12,2308,台達電,"8,984",2.08,"3,867,479",0.35,12.992,TW0002308004
2024/12,2317,鴻海,"49,516",4.9,"9,110,889",0.36,-5.8822,TW0002317005
2024/12,2327,國巨,"1,925",0.56,"1,041,244",0.37,5.2528,TW0002327004
2024/12,2330,台積電,"100,129",57.89,"107,638,643",0.39,8.3391,TW0002330008
2024/12,2345,智邦,"2,093",0.87,"1,617,648",0.37,17.6562,TW0002345006
2024/12,2357,華碩,"2,928",0.97,"1,803,584",0.39,4.762,TW0002357001
2024/12,2379,瑞昱,"1,964",0.6,"1,115,619",0.38,19.3278,TW0002379005
2024/12,2382,廣達,"11,014",1.7,"3,160,921",0.29,-1.3747,TW0002382009
2024/12,2395,研華,"1,878",0.35,"650,778",0.22,3.2785,TW0002395001
2024/12,2412,中華電,"15,808",1.05,"1,952,333",0.2,0.4065,TW0002412004
2024/12,2454,聯發科,"6,150",4.68,"8,701,828",0.38,12.7491,TW0002454006
2024/12,2603,長榮,"4,215",0.51,"948,276",0.19,3.6868,TW0002603008
2024/12,2609,陽明,"7,369",0.3,"557,810",0.21,3.4154,TW0002609005
2024/12,2880,華南金,"37,685",0.53,"985,463",0.27,0.3839,TW0002880002
2024/12,2881,富邦金,"33,769",1.64,"3,049,359",0.25,2.6134,TW0002881000
2024/12,2882,國泰金,"38,113",1.4,"2,603,111",0.26,3.9575,TW0002882008
2024/12,2883,凱基金,"64,862",0.6,"1,115,619",0.39,0.0002,TW0002883006
2024/12,2884,玉山金,"62,784",0.91,"1,692,022",0.39,-0.1852,TW0002884004
2024/12,2885,元大金,"47,578",0.87,"1,617,648",0.37,2.2557,TW0002885001
2024/12,2886,兆豐金,"49,007",1.02,"1,896,552",0.33,-2.6417,TW0002886009
2024/12,2887,台新金,"49,156",0.46,"855,308",0.38,1.7544,TW0002887007
2024/12,2890,永豐金,"48,717",0.6,"1,115,619",0.38,-1.5054,TW0002890001
2024/12,2891,中信金,"68,002",1.43,"2,658,892",0.35,4.5454,TW0002891009
2024/12,2892,第一金,"43,911",0.64,"1,189,994",0.31,-0.3678,TW0002892007
2024/12,2912,統一超,"2,192",0.31,"576,403",0.21,-2.7726,TW0002912003
2024/12,3008,大立光,389,0.56,"1,041,244",0.29,9.8564,TW0003008009
2024/12,3017,奇鋐,"1,313",0.44,"818,121",0.34,-3.1103,TW0003017000
2024/12,3034,聯詠,"2,371",0.64,"1,189,994",0.39,3.7189,TW0003034005
2024/12,3037,欣興,"5,407",0.41,"762,340",0.35,-5.3693,TW0003037008
2024/12,3045,台灣大,"6,225",0.38,"706,559",0.17,0.4425,TW0003045001
2024/12,3231,緯創,"11,263",0.63,"1,171,400",0.39,-8.3701,TW0003231007
2024/12,3661,世芯-KY,317,0.56,"1,041,244",0.39,48.0812,KYG022421088
2024/12,3711,日月光投控,"13,429",1.17,"2,175,457",0.3,6.9306,TW0003711008
2024/12,4904,遠傳,"7,279",0.35,"650,778",0.2,-0.5561,TW0004904008
2024/12,4938,和碩,"8,498",0.42,"780,933",0.32,-2.5454,TW0004938006
2024/12,5871,中租-KY,"6,253",0.38,"706,559",0.37,-4.6415,KYG202881093
2024/12,5876,上海商銀,"15,495",0.33,"613,590",0.32,0.8916,TW0005876007
2024/12,5880,合庫金,"42,084",0.55,"1,022,651",0.28,-2.4096,TW0005880009
2024/12,6446,藥華藥,"1,058",0.35,"650,778",0.31,5.8521,TW0006446008
2024/12,6505,台塑化,"5,920",0.11,"204,530",0.06,-15.5258,TW0006505001
2024/12,6669,緯穎,426,0.6,"1,115,619",0.23,35.4005,TW0006669005
2024/12,M1100,水泥工業,,0.47,"873,902",,-4.626,
2024/12,M1200,食品工業,,0.87,"1,617,648",,-6.4639,
2024/12,M1300,塑膠工業,,0.86,"1,599,054",,-17.3582,
2024/12,M1700,化學生技醫療,,0.35,"650,778",,-3.3812,
2024/12,M2000,鋼鐵工業,,0.5,"929,683",,-7.0871,
2024/12,M2200,汽車工業,,0.45,"836,714",,-1.6795,
2024/12,M2300,電子工業,,83.38,"155,033,858",,5.8726,
2024/12,M2600,航運業,,0.81,"1,506,086",,1.768,
2024/12,M2800,金融業(合計),,10.98,"20,415,828",,1.3001,
2024/12,M2900,貿易百貨,,0.31,"576,403",,-4.2879,
2024/12,M9700,油電燃氣業,,0.11,"204,530",,-13.0682,
2024/12,M9900,其他,,0.38,"706,559",,-3.8152,
2024/12,MTSE,國內上市,,99.47,"184,951,042",,3.4705,
2024/12,TT99,基金總規模,,,"185,936,505",,,
2024/11,2303,聯電,"47,640",1.2,"2,074,717",0.38,-9.5535,TW0002303005
2024/11,2308,台達電,"8,758",1.94,"3,336,638",0.34,-5.6931,TW0002308004
2024/11,2317,鴻海,"48,371",5.49,"9,456,468",0.35,-7.5652,TW0002317005
2024/11,2330,台積電,"97,833",56.52,"97,441,732",0.38,-3.3009,TW0002330008
2024/11,2382,廣達,"10,762",1.82,"3,131,830",0.28,-4.1186,TW0002382009
2024/11,2454,聯發科,"6,003",4.37,"7,533,818",0.37,-2.7132,TW0002454006
2024/11,2881,富邦金,"32,954",1.68,"2,899,934",0.24,-3.0837,TW0002881000
2024/11,2882,國泰金,"37,313",1.42,"2,451,477",0.25,-4.6443,TW0002882008
2024/11,2891,中信金,"66,373",1.44,"2,482,332",0.34,4.1783,TW0002891009
2024/11,3711,日月光投控,"13,679",1.2,"2,072,304",0.31,-3.503,TW0003711008
2024/11,M2300,電子工業,,72.54,"125,047,507",,-2.7378,
2024/11,M2800,金融業(合計),,4.54,"7,833,743",,-0.3813,
2024/11,MTSE,國內上市,,77.08,"132,881,250",,-2.4448,
2024/11,TT99,基金總規模,,,"172,395,977",,,
2024/10,2303,聯電,"42,700",1.29,"2,056,000",0.34,-10.5018,TW0002303005
2024/10,2308,台達電,"7,850",1.99,"3,171,231",0.3,6.1761,TW0002308004
2024/10,2317,鴻海,"43,355",5.75,"9,169,515",0.31,12.7999,TW0002317005
2024/10,2330,台積電,"87,649",56.6,"90,278,536",0.34,7.628,TW0002330008
2024/10,2382,廣達,"9,646",1.84,"2,927,652",0.25,14.962,TW0002382009
2024/10,2454,聯發科,"5,380",4.35,"6,940,254",0.34,9.7872,TW0002454006
2024/10,2881,富邦金,"29,537",1.68,"2,681,941",0.22,0.4426,TW0002881000
2024/10,2882,國泰金,"33,444",1.44,"2,304,305",0.23,3.6089,TW0002882008
2024/10,2891,中信金,"59,491",1.34,"2,135,709",0.3,4.3603,TW0002891009
2024/10,3711,日月光投控,"12,261",1.21,"1,924,911",0.28,3.9735,TW0003711008
2024/10,M2300,電子工業,,73.03,"116,468,098",,5.4933,
2024/10,M2800,金融業(合計),,4.47,"7,121,956",,-0.1234,
2024/10,MTSE,國內上市,,77.49,"123,590,054",,2.6812,
2024/10,TT99,基金總規模,,,"159,490,816",,,
2024/09,1101,台泥,"22,450",0.54,"758,801",0.3,2.5797,TW0001101004
