00690 兆豐臺灣藍籌30--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,"2,476",3.59,"108,197",0.02,8.7064,TW0002303005
2025/02,2308,台達電,447,5.96,"179,727",0.02,-8.1142,TW0002308004
2025/02,2327,國巨,98,1.84,"55,384",0.02,5.4002,TW0002327004
2025/02,2330,台積電,933,32.2,"970,477",0,-8.3701,TW0002330008
2025/02,2379,瑞昱,100,1.83,"55,143",0.02,1.4761,TW0002379005
2025/02,2412,中華電,"1,071",4.55,"137,145",0.01,2.8113,TW0002412004
2025/02,2454,聯發科,320,16.06,"484,053",0.02,3.4131,TW0002454006
2025/02,2603,長榮,413,2.96,"89,227",0.02,5.6234,TW0002603008
2025/02,2881,富邦金,"2,093",6.41,"193,152",0.02,-0.5386,TW0002881000
2025/02,3034,聯詠,122,2.2,"66,241",0.02,4.0076,TW0003034005
2025/02,M2300,電子工業,,68.23,"2,056,368",,-4.4381,
2025/02,M2600,航運業,,2.96,"89,227",,3.5662,
2025/02,M2800,金融業(合計),,6.41,"193,152",,1.978,
2025/02,MTSE,國內上市,,77.6,"2,338,747",,-2.0073,
2025/02,TT99,基金總規模,,,"3,013,845",,,
2025/01,2303,聯電,"2,318",3.23,"93,173",0.02,-6.6203,TW0002303005
2025/01,2308,台達電,419,6.35,"183,103",0.02,1.626,TW0002308004
2025/01,2330,台積電,874,34.36,"991,467",0,5.5815,TW0002330008
2025/01,2379,瑞昱,94,1.76,"50,870",0.02,-4.5773,TW0002379005
2025/01,2412,中華電,"1,003",4.33,"124,873",0.01,0.8096,TW0002412004
2025/01,2454,聯發科,299,15.18,"438,180",0.02,5.7576,TW0002454006
2025/01,2603,長榮,387,2.74,"79,080",0.02,-9.1111,TW0002603008
2025/01,2881,富邦金,"1,959",6.3,"181,804",0.01,2.7687,TW0002881000
2025/01,3008,大立光,19,1.8,"51,843",0.01,2.8037,TW0003008009
2025/01,3034,聯詠,114,2.07,"59,619",0.02,4.3822,TW0003034005
2025/01,M2300,電子工業,,69.07,"1,993,128",,2.7295,
2025/01,M2600,航運業,,2.74,"79,080",,-3.3957,
2025/01,M2800,金融業(合計),,6.3,"181,804",,1.3151,
2025/01,MTSE,國內上市,,78.11,"2,254,012",,2.1287,
2025/01,TT99,基金總規模,,,"2,885,644",,,
2024/12,1102,亞泥,512,0.73,"20,666",0.01,-3.9241,TW0001102002
2024/12,1229,聯華,229,0.41,"11,607",0.01,-13.4813,TW0001229003
2024/12,1476,儒鴻,37,0.66,"18,684",0.01,-3.9624,TW0001476000
2024/12,1590,亞德客-KY,27,0.81,"22,930",0.01,6.8355,KYG014081064
2024/12,2303,聯電,"2,334",3.55,"100,498",0.02,-1.1483,TW0002303005
2024/12,2308,台達電,422,6.41,"181,462",0.02,12.992,TW0002308004
2024/12,2327,國巨,92,1.76,"49,824",0.02,5.2528,TW0002327004
2024/12,2330,台積電,879,33.38,"944,963",0,8.3391,TW0002330008
2024/12,2379,瑞昱,95,1.9,"53,788",0.02,19.3278,TW0002379005
2024/12,2383,台光電,62,1.36,"38,501",0.02,31.9101,TW0002383007
2024/12,2395,研華,98,1.2,"33,971",0.01,3.2785,TW0002395001
2024/12,2412,中華電,"1,009",4.4,"124,561",0.01,0.4065,TW0002412004
2024/12,2449,京元電子,223,0.88,"24,912",0.02,-11.8578,TW0002449006
2024/12,2454,聯發科,301,15.05,"426,054",0.02,12.7491,TW0002454006
2024/12,2474,可成,125,0.86,"24,346",0.02,2.698,TW0002474004
2024/12,2603,長榮,389,3.09,"87,476",0.02,3.6868,TW0002603008
2024/12,2881,富邦金,"1,972",6.29,"178,065",0.01,2.6134,TW0002881000
2024/12,3008,大立光,19,1.79,"50,674",0.01,9.8564,TW0003008009
2024/12,3034,聯詠,114,2.03,"57,468",0.02,3.7189,TW0003034005
2024/12,3037,欣興,257,1.28,"36,236",0.02,-5.3693,TW0003037008
2024/12,3443,創意,17,0.84,"23,780",0.01,14.2856,TW0003443008
2024/12,3533,嘉澤,19,1.29,"36,519",0.02,9.2179,TW0003533006
2024/12,3653,健策,21,1.11,"31,423",0.01,10.1085,TW0003653002
2024/12,3661,世芯-KY,15,1.72,"48,692",0.02,48.0812,KYG022421088
2024/12,4904,遠傳,484,1.53,"43,313",0.01,-0.5561,TW0004904008
2024/12,5269,祥碩,7,0.49,"13,872",0.01,22.9102,TW0005269005
2024/12,5871,中租-KY,296,1.18,"33,405",0.02,-4.6415,KYG202881093
2024/12,5876,上海商銀,908,1.27,"35,953",0.02,0.8916,TW0005876007
2024/12,6239,力成,139,0.6,"16,986",0.02,-0.4082,TW0006239007
2024/12,6409,旭隼,14,0.92,"26,045",0.02,1.0871,TW0006409006
2024/12,M1100,水泥工業,,0.73,"20,666",,-4.626,
2024/12,M1200,食品工業,,0.41,"11,607",,-6.4639,
2024/12,M1400,紡織纖維,,0.66,"18,684",,-4.1986,
2024/12,M1500,電機機械,,0.81,"22,930",,5.9027,
2024/12,M2300,電子工業,,84.35,"2,387,885",,5.8726,
2024/12,M2600,航運業,,3.09,"87,476",,1.768,
2024/12,M2800,金融業(合計),,7.56,"214,018",,1.3001,
2024/12,M9900,其他,,1.18,"33,405",,-3.8152,
2024/12,MTSE,國內上市,,98.79,"2,796,670",,3.4705,
2024/12,TT99,基金總規模,,,"2,830,924",,,
2024/11,2303,聯電,"2,436",3.86,"106,091",0.02,-9.5535,TW0002303005
2024/11,2308,台達電,440,6.09,"167,598",0.02,-5.6931,TW0002308004
2024/11,2327,國巨,96,1.8,"49,487",0.02,-7.8854,TW0002327004
2024/11,2330,台積電,918,33.26,"914,470",0,-3.3009,TW0002330008
2024/11,2412,中華電,"1,054",4.72,"129,668",0.01,0.8198,TW0002412004
2024/11,2454,聯發科,314,14.35,"394,536",0.02,-2.7132,TW0002454006
2024/11,2603,長榮,406,3.21,"88,198",0.02,5.5962,TW0002603008
2024/11,2881,富邦金,"2,059",6.59,"181,194",0.02,-3.0837,TW0002881000
2024/11,3008,大立光,20,1.75,"48,247",0.01,6.5645,TW0003008009
2024/11,3034,聯詠,120,2.1,"57,880",0.02,-3.7774,TW0003034005
2024/11,M2300,電子工業,,67.93,"1,867,978",,-2.7378,
2024/11,M2600,航運業,,3.21,"88,198",,4.7764,
2024/11,M2800,金融業(合計),,6.59,"181,194",,-0.3813,
2024/11,MTSE,國內上市,,77.73,"2,137,370",,-2.4448,
2024/11,TT99,基金總規模,,,"2,749,840",,,
2024/10,2303,聯電,"2,148",4.12,"103,411",0.02,-10.5018,TW0002303005
2024/10,2308,台達電,388,6.25,"156,676",0.01,6.1761,TW0002308004
2024/10,2327,國巨,85,1.89,"47,363",0.02,-10.4334,TW0002327004
2024/10,2330,台積電,809,33.25,"833,729",0,7.628,TW0002330008
2024/10,2379,瑞昱,87,1.66,"41,615",0.02,1.592,TW0002379005
2024/10,2412,中華電,929,4.52,"113,387",0.01,-2.7889,TW0002412004
2024/10,2454,聯發科,277,14.26,"357,529",0.02,9.7872,TW0002454006
2024/10,2603,長榮,358,2.94,"73,635",0.02,2.2387,TW0002603008
2024/10,2881,富邦金,"1,815",6.57,"164,846",0.01,0.4426,TW0002881000
2024/10,3034,聯詠,105,2.11,"53,030",0.02,-2.8957,TW0003034005
2024/10,M2300,電子工業,,68.06,"1,706,740",,5.4933,
2024/10,M2600,航運業,,2.94,"73,635",,-2.5662,
2024/10,M2800,金融業(合計),,6.57,"164,846",,-0.1234,
2024/10,MTSE,國內上市,,77.57,"1,945,222",,2.6812,
2024/10,TT99,基金總規模,,,"2,507,653",,,
2024/09,1102,亞泥,448,0.93,"21,406",0.01,5.8758,TW0001102002
2024/09,1229,聯華,201,0.54,"12,429",0.01,-2.0633,TW0001229003
2024/09,1476,儒鴻,32,0.76,"17,493",0.01,1.679,TW0001476000
2024/09,1590,亞德客-KY,24,0.95,"21,866",0.01,7.7705,KYG014081064
2024/09,2303,聯電,"2,041",4.77,"109,792",0.02,-3.0634,TW0002303005
2024/09,2308,台達電,368,6.09,"140,174",0.01,-4.7561,TW0002308004
2024/09,2327,國巨,81,2.18,"50,177",0.02,-5.175,TW0002327004
2024/09,2330,台積電,770,32,"736,548",0,1.8084,TW0002330008
2024/09,2379,瑞昱,83,1.69,"38,899",0.02,-9.1693,TW0002379005
2024/09,2383,台光電,55,1.06,"24,398",0.02,-3.8708,TW0002383007
2024/09,2395,研華,86,1.2,"27,621",0.01,-7.8797,TW0002395001
2024/09,2412,中華電,884,4.82,"110,943",0.01,1.2098,TW0002412004
2024/09,2449,京元電子,194,0.95,"21,866",0.02,-7.0248,TW0002449006
2024/09,2454,聯發科,263,13.45,"309,580",0.02,-5.2418,TW0002454006
2024/09,2474,可成,110,1.13,"26,009",0.02,0.2119,TW0002474004
2024/09,2603,長榮,340,2.97,"68,361",0.02,6.9149,TW0002603008
2024/09,2881,富邦金,"1,726",6.78,"156,056",0.01,3.2861,TW0002881000
2024/09,3008,大立光,17,1.83,"42,121",0.01,-18.5899,TW0003008009
2024/09,3034,聯詠,100,2.26,"52,019",0.02,-4.0741,TW0003034005
2024/09,3037,欣興,224,1.4,"32,224",0.01,-11.9266,TW0003037008
2024/09,3443,創意,15,0.73,"16,803",0.01,-1.3451,TW0003443008
2024/09,3533,嘉澤,16,0.99,"22,787",0.01,-9.4771,TW0003533006
2024/09,3653,健策,18,1.01,"23,247",0.01,-4.428,TW0003653002
2024/09,3661,世芯-KY,13,1.11,"25,549",0.02,-24.7858,KYG022421088
2024/09,4904,遠傳,424,1.67,"38,439",0.01,0.221,TW0004904008
2024/09,5269,祥碩,6,0.43,"9,897",0.01,-8.7573,TW0005269005
2024/09,5871,中租-KY,260,1.85,"42,582",0.02,12.5522,KYG202881093
