00713 元大台灣高息低波--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,1216,統一,"145,691",9.28,"11,873,817",2.56,3.9542,TW0001216000
2025/02,2454,聯發科,"2,550",3.02,"3,863,250",0.16,3.4131,TW0002454006
2025/02,2880,華南金,"161,612",3.52,"4,500,907",1.17,-0.5357,TW0002880002
2025/02,2884,玉山金,"105,456",2.4,"3,074,042",0.66,4.8562,TW0002884004
2025/02,2887,台新金,"263,177",3.58,"4,579,280",2.03,-0.2865,TW0002887007
2025/02,2891,中信金,"92,513",2.95,"3,769,905",0.47,4.2199,TW0002891009
2025/02,2912,統一超,"29,055",5.96,"7,626,938",2.79,0.9616,TW0002912003
2025/02,3045,台灣大,"107,447",9.61,"12,302,682",2.89,4.0912,TW0003045001
2025/02,4904,遠傳,"124,759",8.77,"11,215,834",3.46,2.0431,TW0004904008
2025/02,6691,洋基工程,"6,747",2.33,"2,985,725",6.38,-7.1356,TW0006691009
2025/02,M1200,食品工業,,9.28,"11,873,817",,3.9213,
2025/02,M2300,電子工業,,23.73,"30,367,490",,-4.4381,
2025/02,M2800,金融業(合計),,12.44,"15,924,134",,1.978,
2025/02,M2900,貿易百貨,,5.96,"7,626,938",,1.568,
2025/02,MTSE,國內上市,,51.42,"65,792,378",,-2.0073,
2025/02,TT99,基金總規模,,,"127,961,585",,,
2025/01,1216,統一,"140,413",9.05,"11,008,379",2.47,-3.0901,TW0001216000
2025/01,2454,聯發科,"2,754",3.32,"4,034,610",0.17,5.7576,TW0002454006
2025/01,2880,華南金,"156,261",3.6,"4,375,321",1.13,7.0747,TW0002880002
2025/01,2884,玉山金,"103,199",2.36,"2,868,932",0.65,3.154,TW0002884004
2025/01,2887,台新金,"255,123",3.66,"4,451,896",1.97,0.2874,TW0002887007
2025/01,2891,中信金,"95,622",3.07,"3,738,820",0.49,-0.0001,TW0002891009
2025/01,2912,統一超,"27,936",5.97,"7,263,360",2.69,-1.1406,TW0002912003
2025/01,3045,台灣大,"103,434",9.35,"11,377,740",2.78,-3.0835,TW0003045001
2025/01,4904,遠傳,"121,648",8.81,"10,717,189",3.37,-1.4541,TW0004904008
2025/01,6691,洋基工程,"6,344",2.48,"3,023,107",6,11.0722,TW0006691009
2025/01,M1200,食品工業,,9.05,"11,008,379",,-1.7356,
2025/01,M2300,電子工業,,23.96,"29,152,645",,2.7295,
2025/01,M2800,金融業(合計),,12.68,"15,434,969",,1.3151,
2025/01,M2900,貿易百貨,,5.97,"7,263,360",,-1.6032,
2025/01,MTSE,國內上市,,51.66,"62,859,354",,2.1287,
2025/01,TT99,基金總規模,,,"121,679,739",,,
2024/12,1102,亞泥,"19,436",0.67,"785,213",0.55,-3.9241,TW0001102002
2024/12,1210,大成,"11,151",0.49,"574,260",1.25,-3.3773,TW0001210003
2024/12,1215,卜蜂,"13,108",1.01,"1,183,679",4.45,-8.7878,TW0001215002
2024/12,1216,統一,"137,767",9.51,"11,145,330",2.42,-4.2604,TW0001216000
2024/12,1477,聚陽,"3,651",1,"1,171,959",1.48,0.156,TW0001477008
2024/12,2006,東和鋼鐵,"31,759",1.84,"2,156,405",4.35,-3.6881,TW0002006004
2024/12,2015,豐興,"16,838",1,"1,171,959",2.9,-7.0761,TW0002015005
2024/12,2206,三陽工業,"24,084",1.42,"1,664,182",3.02,-2.5389,TW0002206000
2024/12,2211,長榮鋼,"11,825",0.9,"1,054,763",2.84,-9.625,TW0002211000
2024/12,2303,聯電,"19,328",0.71,"832,091",0.15,-1.1483,TW0002303005
2024/12,2347,聯強,"29,465",1.78,"2,086,087",1.77,-6.3491,TW0002347002
2024/12,2385,群光,"2,467",0.32,"375,027",0.32,-3.1846,TW0002385002
2024/12,2393,億光,"11,306",0.82,"961,006",2.55,9.3952,TW0002393006
2024/12,2404,漢唐,"2,042",0.84,"984,446",1.07,12.4854,TW0002404001
2024/12,2441,超豐,"10,382",0.52,"609,419",1.83,3.5274,TW0002441003
2024/12,2451,創見,"1,218",0.09,"105,476",0.28,-5.3551,TW0002451002
2024/12,2454,聯發科,"2,808",3.39,"3,972,941",0.18,12.7491,TW0002454006
2024/12,2597,潤弘,"3,920",0.5,"585,980",1.51,4.5455,TW0002597002
2024/12,2606,裕民,"19,566",0.97,"1,136,800",2.32,-2.5168,TW0002606001
2024/12,2618,長榮航,"28,011",1.06,"1,242,277",0.52,6.7389,TW0002618006
2024/12,2845,遠東銀,"89,673",1.01,"1,183,679",2.1,-2.583,TW0002845005
2024/12,2850,新產,"11,665",1.06,"1,242,277",3.69,6.5,TW0002850005
2024/12,2855,統一證,"24,122",0.53,"621,138",1.66,-2.6464,TW0002855004
2024/12,2880,華南金,"150,136",3.35,"3,926,063",1.09,0.3839,TW0002880002
2024/12,2883,凱基金,"87,897",1.29,"1,511,827",0.52,0.0002,TW0002883006
2024/12,2884,玉山金,"96,540",2.22,"2,601,749",0.6,-0.1852,TW0002884004
2024/12,2885,元大金,"34,469",1,"1,171,959",0.27,2.2557,TW0002885001
2024/12,2887,台新金,"248,536",3.69,"4,324,529",1.92,1.7544,TW0002887007
2024/12,2890,永豐金,"50,154",0.98,"1,148,520",0.4,-1.5054,TW0002890001
2024/12,2891,中信金,"95,615",3.19,"3,738,549",0.49,4.5454,TW0002891009
2024/12,2903,遠百,"45,316",0.87,"1,019,604",3.2,-10.7144,TW0002903002
2024/12,2912,統一超,"27,138",6.09,"7,137,230",2.61,-2.7726,TW0002912003
2024/12,3010,華立,"6,860",0.72,"843,811",2.64,1.2346,TW0003010005
2024/12,3034,聯詠,"1,844",0.79,"925,848",0.3,3.7189,TW0003034005
2024/12,3044,健鼎,"1,721",0.29,"339,868",0.33,4.4974,TW0003044004
2024/12,3045,台灣大,"101,398",9.82,"11,508,638",2.72,0.4425,TW0003045001
2024/12,3596,智易,"5,342",0.8,"937,567",2.42,6.0425,TW0003596003
2024/12,4766,南寶,"3,620",0.97,"1,136,800",3,-2.4847,TW0004766001
2024/12,4904,遠傳,"118,507",9.04,"10,594,510",3.29,-0.5561,TW0004904008
2024/12,4915,致伸,"10,332",0.67,"785,213",2.22,-3.6756,TW0004915004
2024/12,4938,和碩,"16,196",1.27,"1,488,388",0.61,-2.5454,TW0004938006
2024/12,5388,中磊,"8,069",0.84,"984,446",2.69,11.9264,TW0005388003
2024/12,5434,崇越,"5,651",1.35,"1,582,145",2.96,-5.2453,TW0005434005
2024/12,5876,上海商銀,"47,352",1.6,"1,875,134",0.97,0.8916,TW0005876007
2024/12,6005,群益證,"51,347",1.08,"1,265,716",2.37,7.8776,TW0006005002
2024/12,6176,瑞儀,"10,258",1.72,"2,015,770",2.21,3.1495,TW0006176001
2024/12,6196,帆宣,"2,622",0.33,"386,746",1.3,0.3401,TW0006196009
2024/12,6239,力成,"6,820",0.71,"832,091",0.9,-0.4082,TW0006239007
2024/12,6278,台表科,"8,171",0.76,"890,689",2.79,5.314,TW0006278005
2024/12,6670,復盛應用,"2,939",0.79,"925,848",2.14,0.9615,TW0006670003
2024/12,6691,洋基工程,"5,300",1.94,"2,273,601",5.01,36.6238,TW0006691009
2024/12,8112,至上,"12,451",0.63,"738,334",2.37,-7.7761,TW0008112004
2024/12,9904,寶成,"28,584",0.9,"1,054,763",0.97,-9.5587,TW0009904003
2024/12,9917,中保科,"18,220",1.92,"2,250,161",4.04,-3.8911,TW0009917005
2024/12,9933,中鼎,"20,039",0.66,"773,493",2.47,-5.5079,TW0009933002
2024/12,9939,宏全,"14,779",1.86,"2,179,844",5,0.3401,TW0009939009
2024/12,M1100,水泥工業,,0.67,"785,213",,-4.626,
2024/12,M1200,食品工業,,11.01,"12,903,269",,-6.4639,
2024/12,M1400,紡織纖維,,1,"1,171,959",,-4.1986,
2024/12,M1700,化學生技醫療,,0.97,"1,136,800",,-3.3812,
2024/12,M2000,鋼鐵工業,,3.74,"4,383,127",,-7.0871,
2024/12,M2200,汽車工業,,1.42,"1,664,182",,-1.6795,
2024/12,M2300,電子工業,,40.15,"47,054,155",,5.8726,
2024/12,M2500,建材營造,,0.5,"585,980",,-4.7719,
2024/12,M2600,航運業,,2.03,"2,379,077",,1.768,
2024/12,M2800,金融業(合計),,21,"24,611,140",,1.3001,
2024/12,M2900,貿易百貨,,6.96,"8,156,835",,-4.2879,
2024/12,M3700,運動休閒,,1.69,"1,980,611",,-2.1691,
2024/12,M9900,其他,,4.44,"5,203,498",,-3.8152,
2024/12,MTSE,國內上市,,95.58,"112,015,844",,3.4705,
2024/12,TT99,基金總規模,,,"117,195,903",,,
2024/11,1102,亞泥,"100,251",3.73,"4,215,555",2.83,-9.8606,TW0001102002
2024/11,1216,統一,"130,276",9.73,"11,008,322",2.29,-5.797,TW0001216000
2024/11,2474,可成,"23,796",4.13,"4,675,914",3.5,-16.7373,TW0002474004
2024/11,2618,長榮航,"71,440",2.62,"2,968,332",1.32,11.245,TW0002618006
2024/11,2880,華南金,"208,020",4.79,"5,418,933",1.51,2.3578,TW0002880002
