00728 第一金工業30--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,1590,亞德客-KY,51,3.18,"49,218",0.03,11.366,KYG014081064
2025/02,2059,川湖,28,3.56,"55,165",0.03,30.9211,TW0002059003
2025/02,2303,聯電,"3,940",11.12,"172,178",0.03,8.7064,TW0002303005
2025/02,2330,台積電,439,29.48,"456,602",0,-8.3701,TW0002330008
2025/02,2395,研華,168,4.41,"68,364",0.02,7.1242,TW0002395001
2025/02,2474,可成,227,3.03,"46,876",0.03,3.769,TW0002474004
2025/02,3008,大立光,37,6.37,"98,685",0.03,-1.8182,TW0003008009
2025/02,3034,聯詠,198,6.97,"107,910",0.03,4.0076,TW0003034005
2025/02,3533,嘉澤,33,3.55,"54,933",0.03,-11.968,TW0003533006
2025/02,3653,健策,37,3.16,"48,956",0.03,-3.2492,TW0003653002
2025/02,M1500,電機機械,,3.18,"49,218",,4.5146,
2025/02,M2300,電子工業,,71.66,"1,109,668",,-4.4381,
2025/02,MTSE,國內上市,,74.83,"1,158,885",,-2.0073,
2025/02,TT99,基金總規模,,,"1,548,619",,,
2025/01,1590,亞德客-KY,51,2.78,"44,195",0.03,3.199,KYG014081064
2025/01,2303,聯電,"4,033",10.21,"162,127",0.03,-6.6203,TW0002303005
2025/01,2330,台積電,450,32.14,"510,249",0,5.5815,TW0002330008
2025/01,2360,致茂,134,3.2,"50,853",0.03,-7.2125,TW0002360005
2025/01,2395,研華,171,4.09,"64,955",0.02,9.3795,TW0002395001
2025/01,2474,可成,232,2.91,"46,168",0.03,2.5771,TW0002474004
2025/01,3008,大立光,37,6.48,"102,922",0.03,2.8037,TW0003008009
2025/01,3034,聯詠,202,6.67,"105,848",0.03,4.3822,TW0003034005
2025/01,3533,嘉澤,34,4.02,"63,897",0.03,-3.8365,TW0003533006
2025/01,3653,健策,37,3.26,"51,811",0.03,-9.1803,TW0003653002
2025/01,M1500,電機機械,,2.78,"44,195",,-3.1986,
2025/01,M2300,電子工業,,72.98,"1,158,830",,2.7295,
2025/01,MTSE,國內上市,,75.77,"1,203,025",,2.1287,
2025/01,TT99,基金總規模,,,"1,587,793",,,
2024/12,1229,聯華,445,1.42,"22,571",0.03,-13.4813,TW0001229003
2024/12,1476,儒鴻,70,2.24,"35,604",0.03,-3.9624,TW0001476000
2024/12,1477,聚陽,86,1.73,"27,498",0.03,0.156,TW0001477008
2024/12,1590,亞德客-KY,52,2.75,"43,710",0.03,6.8355,KYG014081064
2024/12,1722,台肥,286,0.92,"14,623",0.03,-8.587,TW0001722007
2024/12,1773,勝一,49,0.49,"7,788",0.02,-4.5181,TW0001773000
2024/12,2049,上銀,113,2.34,"37,194",0.03,42.1165,TW0002049004
2024/12,2059,川湖,29,2.8,"44,505",0.03,6.1644,TW0002059003
2024/12,2211,長榮鋼,107,0.6,"9,537",0.03,-9.625,TW0002211000
2024/12,2303,聯電,"4,076",11.04,"175,478",0.03,-1.1483,TW0002303005
2024/12,2330,台積電,454,30.72,"488,286",0,8.3391,TW0002330008
2024/12,2360,致茂,135,3.47,"55,155",0.03,-0.8486,TW0002360005
2024/12,2395,研華,173,3.78,"60,082",0.02,3.2785,TW0002395001
2024/12,2441,超豐,127,0.47,"7,471",0.02,3.5274,TW0002441003
2024/12,2451,創見,132,0.72,"11,444",0.03,-5.3551,TW0002451002
2024/12,2458,義隆,103,0.98,"15,577",0.03,3.0715,TW0002458007
2024/12,2474,可成,234,2.86,"45,459",0.03,2.698,TW0002474004
2024/12,2504,國產,376,1.17,"18,597",0.03,-8.3334,TW0002504008
2024/12,3008,大立光,38,6.36,"101,090",0.03,9.8564,TW0003008009
2024/12,3034,聯詠,204,6.44,"102,362",0.03,3.7189,TW0003034005
2024/12,3042,晶技,122,0.77,"12,239",0.04,-4.2858,TW0003042008
2024/12,3533,嘉澤,34,4.22,"67,076",0.03,9.2179,TW0003533006
2024/12,3653,健策,38,3.63,"57,698",0.03,10.1085,TW0003653002
