00733 富邦臺灣中小--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2049,上銀,"1,511",5.98,"472,943",0.43,6.8258,TW0002049004
2025/02,2313,華通,"5,271",4.55,"359,482",0.44,-0.8723,TW0002313004
2025/02,2368,金像電,"1,625",4.56,"360,750",0.33,-0.4486,TW0002368008
2025/02,2383,台光電,"1,597",12.77,"1,009,304",0.46,2.9316,TW0002383007
2025/02,2404,漢唐,862,4.74,"374,539",0.45,-15.1367,TW0002404001
2025/02,3019,亞光,"1,207",3.1,"245,021",0.43,28.4811,TW0003019006
2025/02,3035,智原,"1,139",3.44,"271,652",0.44,6.0002,TW0003035002
2025/02,3376,新日興,876,3.07,"242,652",0.45,29.4391,TW0003376000
2025/02,3443,創意,443,7.51,"593,620",0.33,1.515,TW0003443008
2025/02,5269,祥碩,247,6.42,"507,585",0.33,-0.7248,TW0005269005
2025/02,M1500,電機機械,,5.98,"472,943",,4.5146,
2025/02,M2300,電子工業,,50.15,"3,964,605",,-4.4381,
2025/02,MTSE,國內上市,,56.13,"4,437,548",,-2.0073,
2025/02,TT99,基金總規模,,,"7,906,260",,,
2025/01,2049,上銀,"1,133",4.43,"331,969",0.32,-10.9423,TW0002049004
2025/01,2313,華通,"3,953",3.63,"271,966",0.33,-1.8547,TW0002313004
2025/01,2360,致茂,800,4.05,"303,600",0.19,-7.2125,TW0002360005
2025/01,2368,金像電,"1,219",3.63,"271,837",0.25,-7.6604,TW0002368008
2025/01,2383,台光電,"1,198",9.82,"735,572",0.35,-0.6473,TW0002383007
2025/01,2404,漢唐,647,4.42,"331,264",0.34,6.2241,TW0002404001
2025/01,3035,智原,854,2.57,"192,150",0.33,-6.639,TW0003035002
2025/01,3443,創意,332,5.85,"438,240",0.25,-2.9411,TW0003443008
2025/01,3450,聯鈞,511,2.28,"170,930",0.35,16.5508,TW0003450003
2025/01,5269,祥碩,185,5.11,"382,950",0.25,4.282,TW0005269005
2025/01,M1500,電機機械,,4.43,"331,969",,-3.1986,
2025/01,M2300,電子工業,,41.37,"3,098,509",,2.7295,
2025/01,MTSE,國內上市,,45.81,"3,430,478",,2.1287,
2025/01,TT99,基金總規模,,,"7,489,155",,,
2024/12,1307,三芳,"3,502",1.72,"129,059",0.88,-8.3332,TW0001307007
2024/12,1319,東陽,"4,515",6.74,"505,730",0.76,-5.4852,TW0001319002
2024/12,1524,耿鼎,"1,203",0.61,"45,771",0.73,-2.8095,TW0001524007
2024/12,1540,喬福,707,0.35,"26,262",0.83,-6.4231,TW0001540003
2024/12,1727,中華化,978,0.38,"28,513",0.78,-14.8905,TW0001727006
2024/12,1736,喬山,996,2.45,"183,834",0.33,17.1426,TW0001736007
2024/12,2030,彰源,"2,131",0.47,"35,266",0.76,-5.698,TW0002030004
2024/12,2033,佳大,670,0.2,"15,007",0.83,-3.2396,TW0002033008
2024/12,2038,海光,"1,234",0.25,"18,759",0.65,-10.5883,TW0002038007
2024/12,2201,裕隆,"7,030",4.75,"356,412",0.66,-9.1397,TW0002201001
2024/12,2360,致茂,"3,974",21.66,"1,625,239",0.93,-0.8486,TW0002360005
2024/12,2399,映泰,"1,703",0.58,"43,520",0.96,-12.6495,TW0002399003
2024/12,2420,新巨,"1,101",0.96,"72,033",0.72,-1.0587,TW0002420007
2024/12,2436,偉詮電,"1,720",1.27,"95,293",0.97,8.4151,TW0002436003
2024/12,2455,全新,"1,843",4.09,"306,890",1,-2.0588,TW0002455003
2024/12,2477,美隆電,"1,235",0.46,"34,516",0.78,-10.4166,TW0002477007
2024/12,2495,普安,"2,466",1.05,"78,786",0.9,-13.1792,TW0002495009
2024/12,2613,中櫃,654,0.3,"22,510",0.44,4.8781,TW0002613007
2024/12,2637,慧洋-KY,"5,302",4.77,"357,913",0.71,-9.3961,KYG9721M1033
2024/12,3013,晟銘電,"1,358",2.56,"192,087",0.66,-3.0822,TW0003013009
2024/12,3021,鴻名,801,0.29,"21,760",0.84,-19.4361,TW0003021002
2024/12,3167,大量,656,0.94,"70,532",0.74,-6.9264,TW0003167003
2024/12,3588,通嘉,581,0.52,"39,018",0.96,-4,TW0003588000
2024/12,3617,碩天,690,3.57,"267,872",0.73,9.1293,TW0003617007
2024/12,3622,洋華,"1,042",0.84,"63,029",0.69,-15.6204,TW0003622007
2024/12,3715,定穎投控,"2,673",2.18,"163,574",0.96,-0.8103,TW0003715009
2024/12,4557,永新-KY,348,0.57,"42,769",0.83,-10.5456,KYG988461011
2024/12,4571,鈞興-KY,377,1.38,"103,547",0.71,66.8694,KYG5258M1024
2024/12,4583,台灣精銳,170,2.1,"157,572",0.21,37.0206,TW0004583000
2024/12,4763,材料-KY,568,6.79,"509,482",0.57,3.42,KYG5138S1057
2024/12,4935,茂林-KY,793,0.65,"48,772",0.62,-0.4852,KYG3931M1024
2024/12,5234,達興材料,600,1.52,"114,052",0.58,-7.0904,TW0005234009
2024/12,5243,乙盛-KY,"1,145",1.07,"80,286",0.68,1.4473,KYG312361051
2024/12,5284,jpp-KY,333,0.7,"52,524",0.65,5.7047,KYG521131006
2024/12,5521,工信,"3,824",0.53,"39,768",0.78,-8.3701,TW0005521009
2024/12,6216,居易,723,0.39,"29,263",0.76,-1.5816,TW0006216005
2024/12,6224,聚鼎,684,0.53,"39,768",0.8,-6.2904,TW0006224009
2024/12,6243,迅杰,383,0.24,"18,008",0.85,-0.2125,TW0006243009
2024/12,6438,迅得,645,1.78,"133,561",0.83,-1.4003,TW0006438005
2024/12,6768,志強-KY,707,1.13,"84,789",0.36,-13.3573,KYG8368S1003
2024/12,6782,視陽,528,1.26,"94,543",0.84,-10.0503,TW0006782006
2024/12,6830,汎銓,355,0.75,"56,276",0.69,-3.3535,TW0006830003
2024/12,6863,永道-KY,269,0.84,"63,029",0.36,6.8491,KYG0478A1031
2024/12,8114,振樺電,666,3.26,"244,611",0.87,18.3575,TW0008114000
2024/12,8249,菱光,720,0.6,"45,020",0.54,16.1708,TW0008249004
2024/12,8404,百和興業-KY,"1,643",0.61,"45,771",0.41,-6.3866,KYG684631016
2024/12,8467,波力-KY,375,1.42,"106,548",0.72,4.604,KYG144971044
2024/12,8996,高力,892,3.77,"282,879",0.98,-6.6275,TW0008996000
2024/12,9935,慶豐富,"1,587",0.61,"45,771",0.89,-6.6341,TW0009935007
2024/12,9938,百和,"2,784",2.53,"189,836",0.93,-12.3392,TW0009938001
