00850 元大臺灣ESG永續--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,"6,929",1.52,"302,797",0.06,8.7064,TW0002303005
2025/02,2308,台達電,"1,311",2.64,"527,022",0.05,-8.1142,TW0002308004
2025/02,2317,鴻海,"6,933",6.05,"1,206,342",0.05,-3.3333,TW0002317005
2025/02,2330,台積電,"5,491",28.62,"5,710,640",0.02,-8.3701,TW0002330008
2025/02,2382,廣達,"1,629",2.05,"408,065",0.04,-7.0501,TW0002382009
2025/02,2454,聯發科,901,6.84,"1,365,015",0.06,3.4131,TW0002454006
2025/02,2881,富邦金,"4,889",2.26,"451,245",0.04,-0.5386,TW0002881000
2025/02,2882,國泰金,"5,535",1.9,"378,605",0.04,2.3953,TW0002882008
2025/02,2891,中信金,"9,937",2.03,"404,933",0.05,4.2199,TW0002891009
2025/02,3711,日月光投控,"1,982",1.7,"338,922",0.04,-3.3896,TW0003711008
2025/02,M2300,電子工業,,49.41,"9,858,803",,-4.4381,
2025/02,M2800,金融業(合計),,6.19,"1,234,782",,1.978,
2025/02,MTSE,國內上市,,55.6,"11,093,585",,-2.0073,
2025/02,TT99,基金總規模,,,"19,954,038",,,
2025/01,2308,台達電,"1,321",2.87,"577,938",0.05,1.626,TW0002308004
2025/01,2317,鴻海,"6,933",6.19,"1,247,940",0.05,-2.1738,TW0002317005
2025/01,2330,台積電,"5,551",31.28,"6,300,385",0.02,5.5815,TW0002330008
2025/01,2382,廣達,"1,647",2.2,"443,867",0.04,-6.0974,TW0002382009
2025/01,2412,中華電,"2,371",1.47,"295,190",0.03,0.8096,TW0002412004
2025/01,2454,聯發科,911,6.63,"1,334,615",0.06,5.7576,TW0002454006
2025/01,2881,富邦金,"4,889",2.25,"453,689",0.04,2.7687,TW0002881000
2025/01,2882,國泰金,"5,535",1.84,"369,748",0.04,-2.1962,TW0002882008
2025/01,2891,中信金,"10,043",1.95,"392,681",0.05,-0.0001,TW0002891009
2025/01,3711,日月光投控,"2,004",1.76,"354,708",0.05,9.2594,TW0003711008
2025/01,M2300,電子工業,,52.39,"10,554,642",,2.7295,
2025/01,M2800,金融業(合計),,6.04,"1,216,119",,1.3151,
2025/01,MTSE,國內上市,,58.43,"11,770,760",,2.1287,
2025/01,TT99,基金總規模,,,"20,144,943",,,
2024/12,1101,台泥,"4,123",0.67,"130,688",0.05,-5.3733,TW0001101004
2024/12,1102,亞泥,"1,593",0.33,"64,369",0.04,-3.9241,TW0001102002
2024/12,1216,統一,"2,893",1.2,"234,068",0.05,-4.2604,TW0001216000
2024/12,1303,南亞,"1,566",0.24,"46,814",0.02,-22.7391,TW0001303006
2024/12,1326,台化,"1,000",0.14,"27,308",0.02,-19.3501,TW0001326007
2024/12,1402,遠東新,"1,728",0.28,"54,616",0.03,-5.3891,TW0001402006
2024/12,1434,福懋,638,0.06,"11,703",0.04,-9.3827,TW0001434009
2024/12,1476,儒鴻,130,0.34,"66,319",0.05,-3.9624,TW0001476000
2024/12,1504,東元,785,0.21,"40,962",0.04,-1.6949,TW0001504009
2024/12,1590,亞德客-KY,81,0.35,"68,270",0.04,6.8355,KYG014081064
2024/12,1605,華新,"1,646",0.2,"39,011",0.04,-9.1953,TW0001605004
2024/12,1717,長興,561,0.08,"15,605",0.05,-6.7115,TW0001717007
2024/12,1722,台肥,534,0.14,"27,308",0.05,-8.587,TW0001722007
2024/12,2002,中鋼,"7,048",0.71,"138,490",0.04,-7.3114,TW0002002003
2024/12,2049,上銀,172,0.29,"56,566",0.05,42.1165,TW0002049004
2024/12,2105,正新,"1,113",0.28,"54,616",0.03,-3.0631,TW0002105004
2024/12,2201,裕隆,192,0.05,"9,753",0.02,-9.1397,TW0002201001
2024/12,2204,中華,74,0.03,"5,852",0.01,-5.8124,TW0002204005
2024/12,2207,和泰車,170,0.54,"105,330",0.03,0.8142,TW0002207008
2024/12,2227,裕日車,26,0.01,"1,951",0.01,-17.1054,TW0002227006
2024/12,2301,光寶科,"1,255",0.64,"124,836",0.05,-4.3269,TW0002301009
2024/12,2303,聯電,"6,796",1.5,"292,584",0.05,-1.1483,TW0002303005
2024/12,2308,台達電,"1,300",2.87,"559,812",0.05,12.992,TW0002308004
2024/12,2317,鴻海,"6,933",6.54,"1,275,668",0.05,-5.8822,TW0002317005
2024/12,2324,仁寶,"2,435",0.47,"91,676",0.06,2.1709,TW0002324001
2024/12,2327,國巨,249,0.69,"134,589",0.05,5.2528,TW0002327004
2024/12,2330,台積電,"5,445",30.01,"5,853,640",0.02,8.3391,TW0002330008
2024/12,2344,華邦電,"1,845",0.14,"27,308",0.04,-7.7881,TW0002344009
2024/12,2345,智邦,303,1.2,"234,068",0.05,17.6562,TW0002345006
2024/12,2353,宏碁,"1,715",0.35,"68,270",0.06,5.1518,TW0002353000
2024/12,2356,英業達,"1,557",0.4,"78,023",0.04,2.2451,TW0002356003
2024/12,2357,華碩,424,1.34,"261,375",0.06,4.762,TW0002357001
2024/12,2371,大同,855,0.21,"40,962",0.04,1.1617,TW0002371002
2024/12,2376,技嘉,308,0.43,"83,874",0.05,0.3681,TW0002376001
2024/12,2377,微星,436,0.41,"79,973",0.05,7.3101,TW0002377009
2024/12,2379,瑞昱,285,0.83,"161,897",0.06,19.3278,TW0002379005
2024/12,2382,廣達,"1,611",2.37,"462,283",0.04,-1.3747,TW0002382009
2024/12,2383,台光電,183,0.58,"113,133",0.05,31.9101,TW0002383007
2024/12,2385,群光,385,0.3,"58,517",0.05,-3.1846,TW0002385002
2024/12,2395,研華,276,0.49,"95,578",0.03,3.2785,TW0002395001
2024/12,2412,中華電,"2,322",1.47,"286,733",0.03,0.4065,TW0002412004
2024/12,2449,京元電子,665,0.38,"74,121",0.05,-11.8578,TW0002449006
2024/12,2451,創見,158,0.07,"13,654",0.04,-5.3551,TW0002451002
2024/12,2454,聯發科,895,6.49,"1,265,916",0.06,12.7491,TW0002454006
2024/12,2474,可成,392,0.39,"76,072",0.06,2.698,TW0002474004
2024/12,2492,華新科,190,0.09,"17,555",0.04,-1.8047,TW0002492006
2024/12,2603,長榮,607,0.7,"136,539",0.03,3.6868,TW0002603008
2024/12,2606,裕民,269,0.08,"15,605",0.03,-2.5168,TW0002606001
2024/12,2609,陽明,"1,056",0.41,"79,973",0.03,3.4154,TW0002609005
2024/12,2610,華航,"1,749",0.23,"44,863",0.03,3.0121,TW0002610003
2024/12,2615,萬海,553,0.23,"44,863",0.02,-2.2892,TW0002615002
2024/12,2618,長榮航,"1,627",0.37,"72,171",0.03,6.7389,TW0002618006
2024/12,2633,台灣高鐵,"1,403",0.2,"39,011",0.02,-1.5929,TW0002633005
2024/12,2801,彰銀,"4,480",0.41,"79,973",0.04,1.4205,TW0002801008
2024/12,2834,臺企銀,"3,941",0.3,"58,517",0.04,0.3376,TW0002834009
2024/12,2845,遠東銀,"1,773",0.12,"23,407",0.04,-2.583,TW0002845005
