0051 元大中型100--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,1590,亞德客-KY,35,1.69,"34,089",0.02,11.366,KYG014081064
2025/02,2324,仁寶,"1,065",2.05,"41,328",0.02,5.8662,TW0002324001
2025/02,2360,致茂,103,1.74,"34,999",0.02,-10.5403,TW0002360005
2025/02,2376,技嘉,136,1.74,"35,044",0.02,1.9722,TW0002376001
2025/02,2377,微星,179,1.64,"33,143",0.02,1.9282,TW0002377009
2025/02,2383,台光電,80,2.5,"50,415",0.02,2.9316,TW0002383007
2025/02,2801,彰銀,"1,837",1.65,"33,346",0.02,-0.0001,TW0002801008
2025/02,2888,新光金,"4,268",2.64,"53,141",0.02,1.2195,TW0002888005
2025/02,3653,健策,27,1.8,"36,326",0.02,-3.2492,TW0003653002
2025/02,6415,矽力*-KY,86,1.94,"39,086",0.02,15.1399,KYG8190F1028
2025/02,M1500,電機機械,,1.69,"34,089",,4.5146,
2025/02,M2300,電子工業,,13.42,"270,343",,-4.4381,
2025/02,M2800,金融業(合計),,4.29,"86,487",,1.978,
2025/02,MTSE,國內上市,,19.4,"390,918",,-2.0073,
2025/02,TT99,基金總規模,,,"2,014,922",,,
2025/01,2324,仁寶,"1,022",1.98,"37,470",0.02,-2.6562,TW0002324001
2025/01,2360,致茂,99,1.98,"37,544",0.02,-7.2125,TW0002360005
2025/01,2376,技嘉,130,1.74,"32,990",0.02,-6.9725,TW0002376001
2025/01,2383,台光電,77,2.48,"47,019",0.02,-0.6473,TW0002383007
2025/01,2618,長榮航,679,1.71,"32,399",0.01,7.5538,TW0002618006
2025/01,2801,彰銀,"1,763",1.69,"32,007",0.02,1.6808,TW0002801008
2025/01,2888,新光金,"4,097",2.66,"50,392",0.02,4.2374,TW0002888005
2025/01,3533,嘉澤,18,1.83,"34,601",0.02,-3.8365,TW0003533006
2025/01,3653,健策,26,1.9,"36,042",0.02,-9.1803,TW0003653002
2025/01,6415,矽力*-KY,83,1.72,"32,587",0.02,-2.6022,KYG8190F1028
2025/01,M2300,電子工業,,13.64,"258,254",,2.7295,
2025/01,M2600,航運業,,1.71,"32,399",,-3.3957,
2025/01,M2800,金融業(合計),,4.35,"82,399",,1.3151,
2025/01,MTSE,國內上市,,19.7,"373,052",,2.1287,
2025/01,TT99,基金總規模,,,"1,893,275",,,
2024/12,1102,亞泥,609,1.33,"24,601",0.02,-3.9241,TW0001102002
2024/12,1229,聯華,303,0.83,"15,352",0.02,-13.4813,TW0001229003
2024/12,1319,東陽,116,0.7,"12,948",0.02,-5.4852,TW0001319002
2024/12,1402,遠東新,720,1.23,"22,751",0.01,-5.3891,TW0001402006
2024/12,1476,儒鴻,49,1.35,"24,971",0.02,-3.9624,TW0001476000
2024/12,1477,聚陽,52,0.9,"16,647",0.02,0.156,TW0001477008
2024/12,1503,士電,69,0.72,"13,318",0.01,-3.2745,TW0001503001
2024/12,1504,東元,308,0.87,"16,092",0.01,-1.6949,TW0001504009
2024/12,1513,中興電,109,0.91,"16,832",0.02,-2.5316,TW0001513000
2024/12,1519,華城,31,0.95,"17,572",0.01,2.3639,TW0001519007
2024/12,1590,亞德客-KY,33,1.51,"27,930",0.02,6.8355,KYG014081064
2024/12,1605,華新,663,0.85,"15,722",0.02,-9.1953,TW0001605004
2024/12,1722,台肥,181,0.5,"9,248",0.02,-8.587,TW0001722007
2024/12,1795,美時,32,0.47,"8,694",0.01,-7.547,TW0001795003
