0052 富邦科技--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,"4,726",1.35,"206,539",0.04,8.7064,TW0002303005
2025/02,2317,鴻海,"4,799",5.46,"835,026",0.03,-3.3333,TW0002317005
2025/02,2327,國巨,187,0.69,"106,070",0.04,5.4002,TW0002327004
2025/02,2330,台積電,"9,668",65.73,"10,054,748",0.04,-8.3701,TW0002330008
2025/02,2357,華碩,284,1.26,"193,427",0.04,12.3557,TW0002357001
2025/02,2382,廣達,"1,067",1.75,"267,355",0.03,-7.0501,TW0002382009
2025/02,2454,聯發科,596,5.9,"902,490",0.04,3.4131,TW0002454006
2025/02,3034,聯詠,230,0.82,"125,253",0.04,4.0076,TW0003034005
2025/02,3231,緯創,"1,094",0.8,"122,474",0.04,1.8183,TW0003231007
2025/02,3711,日月光投控,"1,298",1.45,"222,004",0.03,-3.3896,TW0003711008
2025/02,M2300,電子工業,,85.21,"13,035,385",,-4.4381,
2025/02,MTSE,國內上市,,85.21,"13,035,385",,-2.0073,
2025/02,TT99,基金總規模,,,"15,297,486",,,
2025/01,2303,聯電,"4,697",1.17,"188,831",0.04,-6.6203,TW0002303005
2025/01,2317,鴻海,"4,769",5.33,"858,420",0.03,-2.1738,TW0002317005
2025/01,2330,台積電,"9,609",67.74,"10,906,246",0.04,5.5815,TW0002330008
2025/01,2357,華碩,282,1.06,"170,942",0.04,-1.461,TW0002357001
2025/01,2382,廣達,"1,061",1.78,"286,016",0.03,-6.0974,TW0002382009
2025/01,2454,聯發科,592,5.38,"866,845",0.04,5.7576,TW0002454006
2025/01,3008,大立光,38,0.65,"104,500",0.03,2.8037,TW0003008009
2025/01,3034,聯詠,229,0.74,"119,903",0.04,4.3822,TW0003034005
2025/01,3231,緯創,"1,088",0.74,"119,627",0.04,5.7695,TW0003231007
2025/01,3711,日月光投控,"1,290",1.42,"228,377",0.03,9.2594,TW0003711008
2025/01,M2300,電子工業,,86.03,"13,849,706",,2.7295,
2025/01,MTSE,國內上市,,86.03,"13,849,706",,2.1287,
2025/01,TT99,基金總規模,,,"16,099,058",,,
2024/12,2301,光寶科,781,0.51,"77,687",0.03,-4.3269,TW0002301009
2024/12,2303,聯電,"4,600",1.3,"198,025",0.04,-1.1483,TW0002303005
2024/12,2313,華通,435,0.2,"30,465",0.04,15.1069,TW0002313004
2024/12,2317,鴻海,"4,669",5.64,"859,123",0.03,-5.8822,TW0002317005
2024/12,2324,仁寶,"1,578",0.39,"59,407",0.04,2.1709,TW0002324001
2024/12,2327,國巨,183,0.65,"99,012",0.04,5.2528,TW0002327004
2024/12,2330,台積電,"9,412",66.42,"10,117,544",0.04,8.3391,TW0002330008
2024/12,2344,華邦電,"1,235",0.12,"18,279",0.03,-7.7881,TW0002344009
2024/12,2347,聯強,538,0.25,"38,082",0.03,-6.3491,TW0002347002
2024/12,2352,佳世達,544,0.12,"18,279",0.03,-9.0664,TW0002352002
2024/12,2353,宏碁,"1,110",0.29,"44,175",0.04,5.1518,TW0002353000
2024/12,2354,鴻準,430,0.21,"31,989",0.03,-7.4629,TW0002354008
2024/12,2356,英業達,"1,003",0.33,"50,268",0.03,2.2451,TW0002356003
2024/12,2357,華碩,277,1.12,"170,606",0.04,4.762,TW0002357001
2024/12,2368,金像電,120,0.19,"28,942",0.02,30.1888,TW0002368008
2024/12,2376,技嘉,201,0.36,"54,838",0.03,0.3681,TW0002376001
2024/12,2377,微星,266,0.32,"48,745",0.03,7.3101,TW0002377009
2024/12,2379,瑞昱,185,0.69,"105,105",0.04,19.3278,TW0002379005
2024/12,2382,廣達,"1,040",1.96,"298,560",0.03,-1.3747,TW0002382009
2024/12,2383,台光電,118,0.48,"73,117",0.03,31.9101,TW0002383007
2024/12,2385,群光,230,0.23,"35,035",0.03,-3.1846,TW0002385002
2024/12,2388,威盛,76,0.05,"7,616",0.01,-2.427,TW0002388006
2024/12,2395,研華,180,0.41,"62,454",0.02,3.2785,TW0002395001
2024/12,2408,南亞科,469,0.09,"13,709",0.02,-12.5564,TW0002408002
2024/12,2409,友達,"2,703",0.26,"39,605",0.04,-6.0899,TW0002409000
2024/12,2449,京元電子,437,0.32,"48,745",0.04,-11.8578,TW0002449006
2024/12,2454,聯發科,580,5.39,"821,041",0.04,12.7491,TW0002454006
2024/12,2474,可成,236,0.3,"45,698",0.03,2.698,TW0002474004
2024/12,3005,神基,158,0.11,"16,756",0.03,1.4354,TW0003005005
2024/12,3008,大立光,37,0.65,"99,012",0.03,9.8564,TW0003008009
2024/12,3017,奇鋐,125,0.51,"77,687",0.03,-3.1103,TW0003017000
2024/12,3034,聯詠,225,0.74,"112,722",0.04,3.7189,TW0003034005
2024/12,3035,智原,88,0.14,"21,326",0.03,8.5584,TW0003035002
2024/12,3036,文曄,222,0.16,"24,372",0.02,-0.0001,TW0003036000
2024/12,3037,欣興,508,0.47,"71,594",0.03,-5.3693,TW0003037008
2024/12,3044,健鼎,193,0.25,"38,082",0.04,4.4974,TW0003044004
2024/12,3231,緯創,"1,069",0.73,"111,199",0.04,-8.3701,TW0003231007
2024/12,3406,玉晶光,33,0.11,"16,756",0.03,13.8044,TW0003406005
2024/12,3443,創意,35,0.31,"47,221",0.03,14.2856,TW0003443008
2024/12,3481,群創,"2,866",0.27,"41,128",0.04,-5.2805,TW0003481008
