0055 元大MSCI金融--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2880,華南金,"3,592",4.32,"100,041",0.03,-0.5357,TW0002880002
2025/02,2881,富邦金,"3,326",13.25,"307,000",0.02,-0.5386,TW0002881000
2025/02,2882,國泰金,"3,862",11.4,"264,188",0.03,2.3953,TW0002882008
2025/02,2883,凱基金,"6,467",5.09,"118,022",0.04,5.4912,TW0002883006
2025/02,2884,玉山金,"5,830",7.34,"169,954",0.04,4.8562,TW0002884004
2025/02,2885,元大金,"4,194",6.64,"153,710",0.03,5.9248,TW0002885001
2025/02,2886,兆豐金,"4,807",8.23,"190,596",0.03,2.4547,TW0002886009
2025/02,2891,中信金,"6,755",11.88,"275,255",0.03,4.2199,TW0002891009
2025/02,2892,第一金,"4,547",5.43,"125,724",0.03,-0.3601,TW0002892007
2025/02,5880,合庫金,"4,317",4.57,"105,975",0.03,0.6147,TW0005880009
2025/02,M2800,金融業(合計),,78.15,"1,810,465",,1.978,
2025/02,MTSE,國內上市,,78.15,"1,810,465",,-2.0073,
2025/02,TT99,基金總規模,,,"2,316,593",,,
2025/01,2880,華南金,"3,274",4.44,"91,673",0.02,7.0747,TW0002880002
2025/01,2881,富邦金,"3,032",13.62,"281,369",0.02,2.7687,TW0002881000
2025/01,2882,國泰金,"3,520",11.39,"235,161",0.02,-2.1962,TW0002882008
2025/01,2883,凱基金,"5,894",4.94,"101,969",0.04,0.5814,TW0002883006
2025/01,2884,玉山金,"5,314",7.15,"147,727",0.03,3.154,TW0002884004
2025/01,2885,元大金,"3,823",6.4,"132,261",0.03,1.7648,TW0002885001
2025/01,2886,兆豐金,"4,381",8.21,"169,556",0.03,0.0001,TW0002886009
2025/01,2891,中信金,"6,156",11.65,"240,718",0.03,-0.0001,TW0002891009
2025/01,2892,第一金,"4,144",5.57,"115,007",0.03,2.3986,TW0002892007
2025/01,5880,合庫金,"3,934",4.65,"96,000",0.03,0.4114,TW0005880009
2025/01,M2800,金融業(合計),,78.02,"1,611,442",,1.3151,
2025/01,MTSE,國內上市,,78.02,"1,611,442",,2.1287,
2025/01,TT99,基金總規模,,,"2,065,398",,,
2024/12,2801,彰銀,"2,273",1.99,"40,573",0.02,1.4205,TW0002801008
2024/12,2834,臺企銀,"2,540",1.85,"37,718",0.03,0.3376,TW0002834009
2024/12,2880,華南金,"3,275",4.2,"85,631",0.02,0.3839,TW0002880002
2024/12,2881,富邦金,"3,032",13.43,"273,814",0.02,2.6134,TW0002881000
2024/12,2882,國泰金,"3,519",11.79,"240,378",0.02,3.9575,TW0002882008
2024/12,2883,凱基金,"5,891",4.97,"101,330",0.04,0.0002,TW0002883006
2024/12,2884,玉山金,"5,311",7.02,"143,126",0.03,-0.1852,TW0002884004
2024/12,2885,元大金,"3,820",6.37,"129,873",0.03,2.2557,TW0002885001
2024/12,2886,兆豐金,"4,383",8.32,"169,630",0.03,-2.6417,TW0002886009
2024/12,2887,台新金,"4,312",3.68,"75,029",0.03,1.7544,TW0002887007
2024/12,2888,新光金,"5,391",3.12,"63,611",0.03,2.1644,TW0002888005
2024/12,2890,永豐金,"3,980",4.47,"91,136",0.03,-1.5054,TW0002890001
2024/12,2891,中信金,"6,158",11.81,"240,785",0.03,4.5454,TW0002891009
2024/12,2892,第一金,"4,145",5.51,"112,339",0.03,-0.3678,TW0002892007
2024/12,5871,中租-KY,402,2.23,"45,466",0.02,-4.6415,KYG202881093
2024/12,5876,上海商銀,"1,436",2.79,"56,883",0.03,0.8916,TW0005876007
2024/12,5880,合庫金,"3,935",4.69,"95,621",0.03,-2.4096,TW0005880009
2024/12,M2800,金融業(合計),,96.01,"1,957,478",,1.3001,
2024/12,M9900,其他,,2.23,"45,466",,-3.8152,
2024/12,MTSE,國內上市,,98.24,"2,002,943",,3.4705,
2024/12,TT99,基金總規模,,,"2,038,827",,,
2024/11,2881,富邦金,"3,032",13.23,"266,815",0.02,-3.0837,TW0002881000
2024/11,2882,國泰金,"3,520",11.47,"231,289",0.02,-4.6443,TW0002882008
2024/11,2883,凱基金,"5,894",5.03,"101,380",0.04,2.6864,TW0002883006
2024/11,2884,玉山金,"5,314",7.11,"143,476",0.03,-1.46,TW0002884004
2024/11,2885,元大金,"3,823",6.3,"127,100",0.03,2.465,TW0002885001
2024/11,2886,兆豐金,"4,381",8.64,"174,156",0.03,1.145,TW0002886009
2024/11,2890,永豐金,"3,980",4.59,"92,538",0.03,1.087,TW0002890001
2024/11,2891,中信金,"6,156",11.42,"230,252",0.03,4.1783,TW0002891009
2024/11,2892,第一金,"4,144",5.59,"112,728",0.03,0.1844,TW0002892007
2024/11,5880,合庫金,"3,934",4.86,"97,968",0.03,-1.1904,TW0005880009
2024/11,M2800,金融業(合計),,78.23,"1,577,701",,-0.3813,
2024/11,MTSE,國內上市,,78.23,"1,577,701",,-2.4448,
2024/11,TT99,基金總規模,,,"2,016,815",,,
2024/10,2881,富邦金,"3,075",13.59,"279,175",0.02,0.4426,TW0002881000
2024/10,2882,國泰金,"3,576",11.99,"246,388",0.02,3.6089,TW0002882008
2024/10,2883,凱基金,"5,997",4.89,"100,448",0.04,1.5154,TW0002883006
2024/10,2884,玉山金,"5,391",7.19,"147,723",0.03,-2.3173,TW0002884004
2024/10,2885,元大金,"3,883",6.13,"126,009",0.03,2.3658,TW0002885001
2024/10,2886,兆豐金,"4,451",8.51,"174,907",0.03,0.0001,TW0002886009
2024/10,2890,永豐金,"4,043",4.53,"92,988",0.03,-5.1545,TW0002890001
2024/10,2891,中信金,"5,886",10.28,"211,313",0.03,4.3603,TW0002891009
2024/10,2892,第一金,"4,207",5.56,"114,229",0.03,-0.9123,TW0002892007
2024/10,5880,合庫金,"3,996",4.9,"100,699",0.03,-2.7027,TW0005880009
2024/10,M2800,金融業(合計),,77.57,"1,593,878",,-0.1234,
2024/10,MTSE,國內上市,,77.57,"1,593,878",,2.6812,
2024/10,TT99,基金總規模,,,"2,054,686",,,
2024/09,2801,彰銀,"2,303",2,"41,232",0.02,1.4163,TW0002801008
2024/09,2834,臺企銀,"2,572",1.99,"41,026",0.03,0.9493,TW0002834009
2024/09,2880,華南金,"3,353",4.18,"86,175",0.02,0.7843,TW0002880002
2024/09,2881,富邦金,"3,065",13.44,"277,080",0.02,3.2861,TW0002881000
2024/09,2882,國泰金,"3,568",11.51,"237,291",0.02,4.7244,TW0002882008
2024/09,2883,凱基金,"5,985",4.79,"98,751",0.04,2.4846,TW0002883006
2024/09,2884,玉山金,"5,380",7.32,"150,910",0.03,-0.532,TW0002884004
2024/09,2885,元大金,"3,876",5.96,"122,872",0.03,-0.627,TW0002885001
2024/09,2886,兆豐金,"4,443",8.47,"174,618",0.03,0.8987,TW0002886009
2024/09,2887,台新金,"4,370",3.9,"80,403",0.03,-0.5406,TW0002887007
2024/09,2888,新光金,"5,321",3.11,"64,116",0.03,-6.5891,TW0002888005
2024/09,2890,永豐金,"4,038",4.75,"97,927",0.03,1.0419,TW0002890001
2024/09,2891,中信金,"5,873",9.8,"202,038",0.03,5.3599,TW0002891009
2024/09,2892,第一金,"4,198",5.58,"115,038",0.03,0.5507,TW0002892007
2024/09,5871,中租-KY,562,4.46,"91,948",0.03,12.5522,KYG202881093
2024/09,5876,上海商銀,"1,442",2.7,"55,663",0.03,-4.0992,TW0005876007
2024/09,5880,合庫金,"3,988",5.01,"103,287",0.03,0,TW0005880009
2024/09,M2800,金融業(合計),,94.51,"1,948,428",,1.4469,
2024/09,M9900,其他,,4.46,"91,948",,1.0401,
2024/09,MTSE,國內上市,,98.97,"2,040,376",,-0.1954,
2024/09,TT99,基金總規模,,,"2,061,611",,,
