0057 富邦摩台--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2303,聯電,49,0.98,"2,143",0,8.7064,TW0002303005
2025/02,2308,台達電,8,1.56,"3,397",0,-8.1142,TW0002308004
2025/02,2317,鴻海,54,4.34,"9,436",0,-3.3333,TW0002317005
2025/02,2330,台積電,109,51.97,"113,100",0,-8.3701,TW0002330008
2025/02,2382,廣達,12,1.35,"2,938",0,-7.0501,TW0002382009
2025/02,2454,聯發科,7,4.59,"9,999",0,3.4131,TW0002454006
2025/02,2881,富邦金,36,1.51,"3,283",0,-0.5386,TW0002881000
2025/02,2882,國泰金,41,1.3,"2,829",0,2.3953,TW0002882008
2025/02,2891,中信金,72,1.35,"2,948",0,4.2199,TW0002891009
2025/02,3711,日月光投控,14,1.13,"2,455",0,-3.3896,TW0003711008
2025/02,M2300,電子工業,,65.92,"143,467",,-4.4381,
2025/02,M2800,金融業(合計),,4.16,"9,060",,1.978,
2025/02,MTSE,國內上市,,70.08,"152,527",,-2.0073,
2025/02,TT99,基金總規模,,,"217,644",,,
2025/01,2308,台達電,8,1.62,"3,677",0,1.626,TW0002308004
2025/01,2317,鴻海,54,4.32,"9,804",0,-2.1738,TW0002317005
2025/01,2330,台積電,109,54.34,"123,431",0,5.5815,TW0002330008
2025/01,2382,廣達,12,1.38,"3,144",0,-6.0974,TW0002382009
2025/01,2412,中華電,16,0.9,"2,042",0,0.8096,TW0002412004
2025/01,2454,聯發科,7,4.28,"9,731",0,5.7576,TW0002454006
2025/01,2881,富邦金,37,1.51,"3,441",0,2.7687,TW0002881000
2025/01,2882,國泰金,41,1.21,"2,748",0,-2.1962,TW0002882008
2025/01,2891,中信金,72,1.24,"2,813",0,-0.0001,TW0002891009
2025/01,3711,日月光投控,14,1.11,"2,524",0,9.2594,TW0003711008
2025/01,M2300,電子工業,,67.96,"154,352",,2.7295,
2025/01,M2800,金融業(合計),,3.96,"9,002",,1.3151,
2025/01,MTSE,國內上市,,71.92,"163,354",,2.1287,
2025/01,TT99,基金總規模,,,"227,136",,,
2024/12,1101,台泥,29,0.42,925,0,-5.3733,TW0001101004
2024/12,1102,亞泥,10,0.18,396,0,-3.9241,TW0001102002
2024/12,1216,統一,21,0.77,"1,696",0,-4.2604,TW0001216000
2024/12,1301,台塑,17,0.27,595,0,-14.1476,TW0001301000
2024/12,1303,南亞,22,0.3,661,0,-22.7391,TW0001303006
2024/12,1326,台化,15,0.19,418,0,-19.3501,TW0001326007
2024/12,1402,遠東新,13,0.18,396,0,-5.3891,TW0001402006
2024/12,1476,儒鴻,1,0.19,418,0,-3.9624,TW0001476000
2024/12,1519,華城,1,0.16,352,0,2.3639,TW0001519007
2024/12,1590,亞德客-KY,1,0.23,507,0,6.8355,KYG014081064
2024/12,1605,華新,12,0.13,286,0,-9.1953,TW0001605004
2024/12,2002,中鋼,50,0.45,991,0,-7.3114,TW0002002003
2024/12,2105,正新,8,0.17,374,0,-3.0631,TW0002105004
2024/12,2207,和泰車,1,0.37,815,0,0.8142,TW0002207008
2024/12,2301,光寶科,9,0.41,903,0,-4.3269,TW0002301009
2024/12,2303,聯電,49,0.95,"2,092",0,-1.1483,TW0002303005
2024/12,2308,台達電,8,1.64,"3,612",0,12.992,TW0002308004
