006204 永豐臺灣加權--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2308,台達電,8,1.79,"3,080",0,-8.1142,TW0002308004
2025/02,2317,鴻海,37,3.71,"6,395",0,-3.3333,TW0002317005
2025/02,2330,台積電,59,35.26,"60,840",0,-8.3701,TW0002330008
2025/02,2382,廣達,11,1.65,"2,854",0,-7.0501,TW0002382009
2025/02,2412,中華電,23,1.7,"2,928",0,2.8113,TW0002412004
2025/02,2454,聯發科,5,4.14,"7,148",0,3.4131,TW0002454006
2025/02,2881,富邦金,40,2.12,"3,652",0,-0.5386,TW0002881000
2025/02,2882,國泰金,43,1.72,"2,959",0,2.3953,TW0002882008
2025/02,2891,中信金,58,1.36,"2,354",0,4.2199,TW0002891009
2025/02,3711,日月光投控,13,1.28,"2,207",0,-3.3896,TW0003711008
2025/02,M2300,電子工業,,49.53,"85,451",,-4.4381,
2025/02,M2800,金融業(合計),,5.2,"8,964",,1.978,
2025/02,MTSE,國內上市,,54.73,"94,415",,-2.0073,
2025/02,TT99,基金總規模,,,"172,525",,,
2025/01,2308,台達電,8,1.9,"3,352",0,1.626,TW0002308004
2025/01,2317,鴻海,37,3.75,"6,615",0,-2.1738,TW0002317005
2025/01,2330,台積電,59,37.61,"66,398",0,5.5815,TW0002330008
2025/01,2382,廣達,11,1.74,"3,070",0,-6.0974,TW0002382009
2025/01,2412,中華電,23,1.61,"2,848",0,0.8096,TW0002412004
2025/01,2454,聯發科,5,3.92,"6,912",0,5.7576,TW0002454006
2025/01,2881,富邦金,40,2.08,"3,671",0,2.7687,TW0002881000
2025/01,2882,國泰金,43,1.64,"2,890",0,-2.1962,TW0002882008
2025/01,2891,中信金,58,1.28,"2,258",0,-0.0001,TW0002891009
2025/01,3711,日月光投控,13,1.29,"2,284",0,9.2594,TW0003711008
2025/01,M2300,電子工業,,51.82,"91,479",,2.7295,
2025/01,M2800,金融業(合計),,5,"8,819",,1.3151,
2025/01,MTSE,國內上市,,56.82,"100,298",,2.1287,
2025/01,TT99,基金總規模,,,"176,529",,,
2024/12,1101,台泥,21,0.39,674,0,-5.3733,TW0001101004
2024/12,1102,亞泥,10,0.23,398,0,-3.9241,TW0001102002
2024/12,1210,大成,3,0.08,138,0,-3.3773,TW0001210003
2024/12,1216,統一,16,0.77,"1,331",0,-4.2604,TW0001216000
2024/12,1227,佳格,3,0.06,104,0,-2.3969,TW0001227007
2024/12,1229,聯華,5,0.15,259,0,-13.4813,TW0001229003
2024/12,1301,台塑,19,0.39,674,0,-14.1476,TW0001301000
2024/12,1303,南亞,23,0.39,674,0,-22.7391,TW0001303006
2024/12,1314,中石化,12,0.05,86,0,-9.8159,TW0001314003
2024/12,1319,東陽,2,0.11,190,0,-5.4852,TW0001319002
2024/12,1326,台化,17,0.27,467,0,-19.3501,TW0001326007
2024/12,1402,遠東新,16,0.29,501,0,-5.3891,TW0001402006
2024/12,1434,福懋,5,0.05,86,0,-9.3827,TW0001434009
2024/12,1476,儒鴻,1,0.24,415,0,-3.9624,TW0001476000
2024/12,1477,聚陽,1,0.14,242,0,0.156,TW0001477008
2024/12,1503,士電,2,0.17,294,0,-3.2745,TW0001503001
2024/12,1504,東元,6,0.19,328,0,-1.6949,TW0001504009
2024/12,1513,中興電,1,0.13,225,0,-2.5316,TW0001513000
2024/12,1519,華城,1,0.28,484,0,2.3639,TW0001519007
2024/12,1605,華新,11,0.15,259,0,-9.1953,TW0001605004
2024/12,1609,大亞,2,0.06,104,0,-3.3805,TW0001609006
2024/12,1717,長興,4,0.06,104,0,-6.7115,TW0001717007
2024/12,1722,台肥,3,0.09,156,0,-8.587,TW0001722007
2024/12,1723,中碳,1,0.04,69,0,-5.1496,TW0001723005
2024/12,1773,勝一,1,0.07,121,0,-4.5181,TW0001773000
2024/12,1795,美時,1,0.11,190,0,-7.547,TW0001795003
2024/12,1802,台玻,8,0.08,138,0,-19.0593,TW0001802007
2024/12,1808,潤隆,3,0.06,104,0,-9.4431,TW0001808004
2024/12,1904,正隆,4,0.04,69,0,-12.4424,TW0001904001
2024/12,1905,華紙,3,0.03,52,0,-7.283,TW0001905008
2024/12,1907,永豐餘,5,0.08,138,0,-2.6227,TW0001907004
2024/12,2002,中鋼,45,0.51,882,0,-7.3114,TW0002002003
2024/12,2006,東和鋼鐵,2,0.08,138,0,-3.6881,TW0002006004
2024/12,2014,中鴻,4,0.04,69,0,-9.8983,TW0002014008
2024/12,2015,豐興,2,0.07,121,0,-7.0761,TW0002015005
2024/12,2023,燁輝,6,0.05,86,0,-0.329,TW0002023009
2024/12,2027,大成鋼,7,0.13,225,0,-12.8241,TW0002027000
2024/12,2049,上銀,1,0.2,346,0,42.1165,TW0002049004
2024/12,2059,川湖,0,0.19,328,0,6.1644,TW0002059003
2024/12,2101,南港,2,0.06,104,0,-7.3319,TW0002101003
2024/12,2105,正新,10,0.27,467,0,-3.0631,TW0002105004
2024/12,2106,建大,3,0.04,69,0,-5.5652,TW0002106002
2024/12,2201,裕隆,3,0.09,156,0,-9.1397,TW0002201001
2024/12,2204,中華,3,0.16,277,0,-5.8124,TW0002204005
2024/12,2206,三陽工業,2,0.09,156,0,-2.5389,TW0002206000
2024/12,2207,和泰車,2,0.59,"1,020",0,0.8142,TW0002207008
2024/12,2211,長榮鋼,1,0.06,104,0,-9.625,TW0002211000
2024/12,2227,裕日車,1,0.04,69,0,-17.1054,TW0002227006
2024/12,2301,光寶科,7,0.4,691,0,-4.3269,TW0002301009
2024/12,2303,聯電,41,1.03,"1,780",0,-1.1483,TW0002303005
2024/12,2308,台達電,8,1.91,"3,302",0,12.992,TW0002308004
2024/12,2313,華通,3,0.14,242,0,15.1069,TW0002313004
2024/12,2317,鴻海,37,3.91,"6,759",0,-5.8822,TW0002317005
2024/12,2324,仁寶,13,0.28,484,0,2.1709,TW0002324001
2024/12,2327,國巨,2,0.47,812,0,5.2528,TW0002327004
