00692 富邦公司治理--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,2308,台達電,"1,527",1.97,"613,975",0.06,-8.1142,TW0002308004
2025/02,2317,鴻海,"8,170",4.56,"1,421,580",0.06,-3.3333,TW0002317005
2025/02,2330,台積電,"15,254",50.9,"15,864,264",0.06,-8.3701,TW0002330008
2025/02,2382,廣達,"2,272",1.83,"569,136",0.06,-7.0501,TW0002382009
2025/02,2412,中華電,"4,562",1.87,"583,962",0.06,2.8113,TW0002412004
2025/02,2454,聯發科,942,4.58,"1,426,979",0.06,3.4131,TW0002454006
2025/02,2881,富邦金,"8,037",2.38,"741,859",0.06,-0.5386,TW0002881000
2025/02,2882,國泰金,"8,628",1.89,"590,163",0.06,2.3953,TW0002882008
2025/02,2891,中信金,"11,540",1.51,"470,267",0.06,4.2199,TW0002891009
2025/02,3711,日月光投控,"2,597",1.42,"444,070",0.06,-3.3896,TW0003711008
2025/02,M2300,電子工業,,67.13,"20,923,965",,-4.4381,
2025/02,M2800,金融業(合計),,5.78,"1,802,289",,1.978,
2025/02,MTSE,國內上市,,72.92,"22,726,254",,-2.0073,
2025/02,TT99,基金總規模,,,"31,168,063",,,
2025/01,2308,台達電,"1,510",2.06,"660,756",0.06,1.626,TW0002308004
2025/01,2317,鴻海,"8,074",4.53,"1,453,320",0.06,-2.1738,TW0002317005
2025/01,2330,台積電,"15,074",53.29,"17,109,104",0.06,5.5815,TW0002330008
2025/01,2382,廣達,"2,245",1.88,"605,028",0.06,-6.0974,TW0002382009
2025/01,2412,中華電,"4,509",1.75,"561,395",0.06,0.8096,TW0002412004
2025/01,2454,聯發科,931,4.25,"1,363,769",0.06,5.7576,TW0002454006
2025/01,2881,富邦金,"7,943",2.3,"737,155",0.06,2.7687,TW0002881000
2025/01,2882,國泰金,"8,526",1.77,"569,544",0.06,-2.1962,TW0002882008
2025/01,2891,中信金,"11,404",1.39,"445,908",0.06,-0.0001,TW0002891009
2025/01,3711,日月光投控,"2,565",1.41,"453,987",0.06,9.2594,TW0003711008
2025/01,M2300,電子工業,,69.17,"22,207,358",,2.7295,
2025/01,M2800,金融業(合計),,5.46,"1,752,607",,1.3151,
2025/01,MTSE,國內上市,,74.63,"23,959,966",,2.1287,
2025/01,TT99,基金總規模,,,"32,104,975",,,
2024/12,1101,台泥,"4,409",0.45,"139,780",0.06,-5.3733,TW0001101004
2024/12,1102,亞泥,"2,076",0.27,"83,868",0.06,-3.9241,TW0001102002
2024/12,1301,台塑,"3,675",0.42,"130,462",0.06,-14.1476,TW0001301000
2024/12,1326,台化,"3,413",0.3,"93,187",0.06,-19.3501,TW0001326007
2024/12,1402,遠東新,"3,146",0.32,"99,399",0.06,-5.3891,TW0001402006
2024/12,1477,聚陽,145,0.15,"46,593",0.06,0.156,TW0001477008
