00701 國泰股利精選30--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,1216,統一,"4,353",6.35,"354,770",0.08,3.9542,TW0001216000
2025/02,2002,中鋼,"10,908",4.75,"265,610",0.07,20.8437,TW0002002003
2025/02,2412,中華電,"4,599",10.54,"588,672",0.06,2.8113,TW0002412004
2025/02,2880,華南金,"9,426",4.7,"262,522",0.07,-0.5357,TW0002880002
2025/02,2884,玉山金,"14,298",7.46,"416,793",0.09,4.8562,TW0002884004
2025/02,2886,兆豐金,"10,689",7.59,"423,818",0.07,2.4547,TW0002886009
2025/02,2890,永豐金,"11,224",4.57,"255,346",0.09,0.2203,TW0002890001
2025/02,2891,中信金,"16,107",11.75,"656,360",0.08,4.2199,TW0002891009
2025/02,2892,第一金,"10,365",5.13,"286,584",0.07,-0.3601,TW0002892007
2025/02,5880,合庫金,"9,998",4.39,"245,444",0.07,0.6147,TW0005880009
2025/02,M1200,食品工業,,6.35,"354,770",,3.9213,
2025/02,M2000,鋼鐵工業,,4.75,"265,610",,18.9511,
2025/02,M2300,電子工業,,10.54,"588,672",,-4.4381,
2025/02,M2800,金融業(合計),,45.58,"2,546,867",,1.978,
2025/02,MTSE,國內上市,,67.22,"3,755,919",,-2.0073,
2025/02,TT99,基金總規模,,,"5,587,511",,,
2025/01,1216,統一,"4,465",6.34,"350,056",0.08,-3.0901,TW0001216000
2025/01,2412,中華電,"4,717",10.64,"587,267",0.06,0.8096,TW0002412004
2025/01,2880,華南金,"9,667",4.9,"270,684",0.07,7.0747,TW0002880002
2025/01,2884,玉山金,"14,664",7.38,"407,666",0.09,3.154,TW0002884004
2025/01,2886,兆豐金,"10,962",7.68,"424,228",0.07,0.0001,TW0002886009
2025/01,2890,永豐金,"11,511",4.73,"261,300",0.09,-0.8733,TW0002890001
2025/01,2891,中信金,"16,519",11.7,"645,893",0.08,-0.0001,TW0002891009
2025/01,2892,第一金,"10,630",5.34,"294,974",0.08,2.3986,TW0002892007
2025/01,3045,台灣大,"2,194",4.37,"241,340",0.06,-3.0835,TW0003045001
2025/01,5880,合庫金,"10,254",4.53,"250,191",0.07,0.4114,TW0005880009
2025/01,M1200,食品工業,,6.34,"350,056",,-1.7356,
2025/01,M2300,電子工業,,15.01,"828,607",,2.7295,
2025/01,M2800,金融業(合計),,46.27,"2,554,935",,1.3151,
2025/01,MTSE,國內上市,,67.62,"3,733,598",,2.1287,
2025/01,TT99,基金總規模,,,"5,521,487",,,
2024/12,1101,台泥,"5,544",3.76,"175,760",0.07,-5.3733,TW0001101004
2024/12,1102,亞泥,"2,036",1.76,"82,270",0.06,-3.9241,TW0001102002
2024/12,1216,統一,"3,814",6.6,"308,514",0.07,-4.2604,TW0001216000
2024/12,1537,廣隆,45,0.15,"7,012",0.06,-1.8987,TW0001537009
2024/12,1717,長興,773,0.46,"21,502",0.07,-6.7115,TW0001717007
2024/12,1720,生達,76,0.1,"4,674",0.04,-4.6225,TW0001720001
2024/12,2002,中鋼,"9,539",4.01,"187,446",0.06,-7.3114,TW0002002003
2024/12,2027,大成鋼,"1,561",1.01,"47,212",0.06,-12.8241,TW0002027000
2024/12,2206,三陽工業,534,0.79,"36,928",0.07,-2.5389,TW0002206000
2024/12,2347,聯強,"1,037",1.57,"73,389",0.06,-6.3491,TW0002347002
2024/12,2412,中華電,"4,027",10.64,"497,362",0.05,0.4065,TW0002412004
2024/12,2617,台航,189,0.12,"5,609",0.05,-4.509,TW0002617008
2024/12,2801,彰銀,"6,704",2.56,"119,666",0.06,1.4205,TW0002801008
2024/12,2812,台中銀,"3,316",1.33,"62,170",0.06,0,TW0002812005
2024/12,2834,臺企銀,"5,477",1.74,"81,336",0.06,0.3376,TW0002834009
2024/12,2845,遠東銀,"3,152",0.89,"41,603",0.07,-2.583,TW0002845005
2024/12,2880,華南金,"8,259",4.62,"215,960",0.06,0.3839,TW0002880002
2024/12,2884,玉山金,"12,523",7.22,"337,496",0.08,-0.1852,TW0002884004
2024/12,2886,兆豐金,"9,361",7.75,"362,270",0.06,-2.6417,TW0002886009
2024/12,2887,台新金,"9,832",3.66,"171,085",0.08,1.7544,TW0002887007
2024/12,2889,國票金,"2,595",0.83,"38,798",0.07,1.0134,TW0002889003
2024/12,2890,永豐金,"9,818",4.81,"224,841",0.08,-1.5054,TW0002890001
2024/12,2891,中信金,"14,107",11.8,"551,586",0.07,4.5454,TW0002891009
2024/12,2892,第一金,"9,073",5.26,"245,876",0.06,-0.3678,TW0002892007
2024/12,2897,王道銀行,"1,418",0.3,"14,023",0.05,0.3043,TW0002897006
2024/12,3045,台灣大,"1,874",4.55,"212,688",0.05,0.4425,TW0003045001
2024/12,4904,遠傳,"1,956",3.74,"174,825",0.05,-0.5561,TW0004904008
2024/12,5876,上海商銀,"2,986",2.53,"118,264",0.06,0.8916,TW0005876007
2024/12,5880,合庫金,"8,753",4.55,"212,688",0.06,-2.4096,TW0005880009
2024/12,9927,泰銘,80,0.11,"5,142",0.05,-1.6925,TW0009927004
2024/12,M1100,水泥工業,,5.52,"258,030",,-4.626,
2024/12,M1200,食品工業,,6.6,"308,514",,-6.4639,
2024/12,M1500,電機機械,,0.15,"7,012",,5.9027,
2024/12,M1700,化學生技醫療,,0.56,"26,177",,-3.3812,
2024/12,M2000,鋼鐵工業,,5.02,"234,658",,-7.0871,
2024/12,M2200,汽車工業,,0.79,"36,928",,-1.6795,
2024/12,M2300,電子工業,,20.5,"958,263",,5.8726,
2024/12,M2600,航運業,,0.12,"5,609",,1.768,
2024/12,M2800,金融業(合計),,59.85,"2,797,662",,1.3001,
2024/12,M9900,其他,,0.11,"5,142",,-3.8152,
2024/12,MTSE,國內上市,,99.22,"4,637,995",,3.4705,
