00730 富邦臺灣優質高息--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,1477,聚陽,346,6.67,"130,563",0.14,8.6455,TW0001477008
2025/02,2385,群光,"1,020",8.47,"165,705",0.13,6.2092,TW0002385002
2025/02,2404,漢唐,262,5.82,"113,752",0.14,-15.1367,TW0002404001
2025/02,2454,聯發科,129,9.99,"195,435",0.01,3.4131,TW0002454006
2025/02,3034,聯詠,361,10.06,"196,745",0.06,4.0076,TW0003034005
2025/02,3293,鈊象,200,10.04,"196,400",0.07,3.8055,TW0003293007
2025/02,5536,聖暉*,166,3.6,"70,384",0.13,-6.8131,TW0005536007
2025/02,6121,新普,282,5.41,"105,750",0.15,-6.1325,TW0006121007
2025/02,6139,亞翔,249,3.49,"68,226",0.11,9.6002,TW0006139009
2025/02,6670,復盛應用,164,2.88,"56,416",0.12,4.7184,TW0006670003
2025/02,M1400,紡織纖維,,6.67,"130,563",,4.354,
2025/02,M2300,電子工業,,46.83,"915,997",,-4.4381,
2025/02,M3200,文化創意業,,10.04,"196,400",,,
2025/02,M3700,運動休閒,,2.88,"56,416",,1.6684,
2025/02,MOTC,國內上櫃,,19.05,"372,534",,2.7554,
2025/02,MTSE,國內上市,,47.38,"926,841",,-2.0073,
2025/02,TT99,基金總規模,,,"1,956,076",,,
2025/01,1477,聚陽,376,6.43,"130,583",0.15,8.0997,TW0001477008
2025/01,2385,群光,"1,109",8.35,"169,634",0.15,0.6577,TW0002385002
2025/01,2404,漢唐,284,7.16,"145,306",0.15,6.2241,TW0002404001
2025/01,2454,聯發科,149,10.75,"218,285",0.01,5.7576,TW0002454006
2025/01,3034,聯詠,371,9.57,"194,404",0.06,4.3822,TW0003034005
2025/01,3293,鈊象,174,8.11,"164,604",0.06,-2.8746,TW0003293007
2025/01,5536,聖暉*,181,4.06,"82,355",0.15,24.145,TW0005536007
2025/01,6121,新普,307,6.04,"122,647",0.17,0.6299,TW0006121007
2025/01,6139,亞翔,270,3.32,"67,500",0.12,11.3584,TW0006139009
2025/01,6670,復盛應用,176,2.85,"57,816",0.13,4.2857,TW0006670003
2025/01,M1400,紡織纖維,,6.43,"130,583",,1.5557,
2025/01,M2300,電子工業,,49.25,"1,000,130",,2.7295,
2025/01,M3200,文化創意業,,8.11,"164,604",,,
2025/01,M3700,運動休閒,,2.85,"57,816",,6.044,
2025/01,MOTC,國內上櫃,,18.2,"369,606",,-1.1296,
2025/01,MTSE,國內上市,,48.43,"983,528",,2.1287,
2025/01,TT99,基金總規模,,,"2,030,770",,,
2024/12,1477,聚陽,391,6.14,"125,586",0.16,0.156,TW0001477008
2024/12,1712,興農,611,1.29,"26,385",0.15,-4.5303,TW0001712008
2024/12,2385,群光,"1,153",8.57,"175,289",0.15,-3.1846,TW0002385002
2024/12,2404,漢唐,296,6.97,"142,563",0.16,12.4854,TW0002404001
2024/12,2454,聯發科,154,10.65,"217,833",0.01,12.7491,TW0002454006
2024/12,2480,敦陽科,165,1.11,"22,704",0.15,8.6615,TW0002480001
2024/12,2850,新產,398,2.07,"42,339",0.13,6.5,TW0002850005
2024/12,3014,聯陽,244,1.79,"36,612",0.15,6.7615,TW0003014007
2024/12,3029,零壹,251,1.7,"34,771",0.15,20.9606,TW0003029005
2024/12,3034,聯詠,385,9.45,"193,288",0.06,3.7189,TW0003034005
2024/12,3042,晶技,503,2.47,"50,521",0.15,-4.2858,TW0003042008
2024/12,3078,僑威,344,1.19,"24,340",0.15,8.923,TW0003078002
2024/12,3293,鈊象,181,8.62,"176,312",0.06,1.4584,TW0003293007
2024/12,4536,拓凱,122,1.22,"24,954",0.13,4.3367,TW0004536008
2024/12,4766,南寶,102,1.57,"32,112",0.08,-2.4847,TW0004766001
2024/12,4961,天鈺,169,1.92,"39,271",0.14,-3.1249,TW0004961008
2024/12,5009,榮剛,840,1.91,"39,067",0.14,-1.5875,TW0005009005
2024/12,5289,宜鼎,132,1.41,"28,840",0.14,-7.4309,TW0005289003
2024/12,5478,智冠,137,0.84,"17,181",0.09,-3.1007,TW0005478002
2024/12,5536,聖暉*,188,3.41,"69,747",0.15,18.5011,TW0005536007
2024/12,5609,中菲行,201,0.8,"16,363",0.14,-0.3666,TW0005609002
2024/12,6121,新普,319,6.19,"126,609",0.17,7.8269,TW0006121007
2024/12,6139,亞翔,281,3.08,"62,998",0.12,-2.3914,TW0006139009
2024/12,6146,耕興,125,1.27,"25,976",0.12,1.7201,TW0006146004
2024/12,6278,台表科,460,2.45,"50,112",0.16,5.314,TW0006278005
2024/12,6670,復盛應用,184,2.83,"57,884",0.13,0.9615,TW0006670003
2024/12,6691,洋基工程,118,2.47,"50,521",0.11,36.6238,TW0006691009
2024/12,8016,矽創,191,1.98,"40,498",0.16,2.6571,TW0008016007
2024/12,8081,致新,117,1.37,"28,022",0.14,6.4303,TW0008081001
2024/12,8454,富邦媒,156,2.55,"52,157",0.06,-8.2531,TW0008454000
2024/12,M1400,紡織纖維,,6.14,"125,586",,-4.1986,
2024/12,M1700,化學生技醫療,,2.86,"58,498",,-3.3812,
2024/12,M2000,鋼鐵工業,,1.91,"39,067",,-7.0871,
2024/12,M2300,電子工業,,69.45,"1,420,514",,5.8726,
2024/12,M2600,航運業,,0.8,"16,363",,1.768,
2024/12,M2800,金融業(合計),,2.07,"42,339",,1.3001,
2024/12,M3200,文化創意業,,9.46,"193,493",,,
2024/12,M3600,數位雲端,,2.55,"52,157",,-6.2326,
2024/12,M3700,運動休閒,,4.05,"82,838",,-2.1691,
2024/12,MOTC,國內上櫃,,25.64,"524,435",,-0.3428,
2024/12,MTSE,國內上市,,73.65,"1,506,420",,3.4705,
2024/12,TT99,基金總規模,,,"2,045,377",,,
2024/11,1477,聚陽,406,6.4,"130,226",0.16,-7.7696,TW0001477008
2024/11,2385,群光,"1,197",9.23,"187,885",0.16,-3.9753,TW0002385002
2024/11,2404,漢唐,307,6.46,"131,464",0.16,26.7754,TW0002404001
2024/11,2454,聯發科,160,9.87,"200,800",0.01,-2.7132,TW0002454006
2024/11,3034,聯詠,400,9.52,"193,600",0.07,-3.7774,TW0003034005
2024/11,3293,鈊象,188,8.87,"180,480",0.07,-7.2464,TW0003293007
2024/11,5536,聖暉*,195,3,"61,133",0.16,-11.9383,TW0005536007
2024/11,6121,新普,331,6.13,"124,787",0.18,10.0731,TW0006121007
2024/11,6139,亞翔,291,3.29,"66,930",0.12,1.3217,TW0006139009
2024/11,6670,復盛應用,191,2.93,"59,592",0.14,4.8742,TW0006670003
2024/11,M1400,紡織纖維,,6.4,"130,226",,-4.2352,
2024/11,M2300,電子工業,,47.51,"966,598",,-2.7378,
2024/11,M3200,文化創意業,,8.87,"180,480",,,
2024/11,M3700,運動休閒,,2.93,"59,592",,-2.9059,
2024/11,MOTC,國內上櫃,,18.01,"366,400",,-2.8386,
2024/11,MTSE,國內上市,,47.7,"970,496",,-2.4448,
2024/11,TT99,基金總規模,,,"2,034,509",,,
2024/10,1477,聚陽,375,6.24,"130,424",0.15,-0.4299,TW0001477008
2024/10,2385,群光,"1,158",9.05,"189,287",0.15,-0.3049,TW0002385002
2024/10,2404,漢唐,294,4.75,"99,304",0.15,5.9559,TW0002404001
2024/10,2454,聯發科,164,10.12,"211,560",0.01,9.7872,TW0002454006
2024/10,3034,聯詠,384,9.24,"193,152",0.06,-2.8957,TW0003034005
2024/10,3042,晶技,498,2.81,"58,764",0.15,8.257,TW0003042008
2024/10,3293,鈊象,285,14.11,"294,975",0.1,4.9695,TW0003293007
2024/10,5536,聖暉*,191,3.25,"67,996",0.15,15.961,TW0005536007
2024/10,6121,新普,316,5.18,"108,230",0.17,-3.1117,TW0006121007
2024/10,6139,亞翔,278,3.02,"63,106",0.12,8.8731,TW0006139009
2024/10,M1400,紡織纖維,,6.24,"130,424",,-2.5635,
2024/10,M2300,電子工業,,47.42,"991,400",,5.4933,
2024/10,M3200,文化創意業,,14.11,"294,975",,,
2024/10,MOTC,國內上櫃,,22.54,"471,201",,-1.5756,
