00731 復華富時高息低波--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2025/02,1216,統一,"2,783",5.16,"226,815",0.05,3.9542,TW0001216000
2025/02,2002,中鋼,"6,569",3.64,"159,955",0.04,20.8437,TW0002002003
2025/02,2303,聯電,"6,822",6.78,"298,121",0.05,8.7064,TW0002303005
2025/02,2308,台達電,"1,002",9.17,"402,804",0.04,-8.1142,TW0002308004
2025/02,2317,鴻海,"2,273",9,"395,502",0.02,-3.3333,TW0002317005
2025/02,2379,瑞昱,276,3.45,"151,800",0.05,1.4761,TW0002379005
2025/02,2412,中華電,"2,208",6.43,"282,624",0.03,2.8113,TW0002412004
2025/02,2891,中信金,"9,505",8.81,"387,329",0.05,4.2199,TW0002891009
2025/02,3034,聯詠,332,4.12,"180,940",0.05,4.0076,TW0003034005
2025/02,3711,日月光投控,"1,874",7.29,"320,454",0.04,-3.3896,TW0003711008
2025/02,M1200,食品工業,,5.16,"226,815",,3.9213,
2025/02,M2000,鋼鐵工業,,3.64,"159,955",,18.9511,
2025/02,M2300,電子工業,,46.24,"2,032,245",,-4.4381,
2025/02,M2800,金融業(合計),,8.81,"387,329",,1.978,
2025/02,MTSE,國內上市,,63.86,"2,806,344",,-2.0073,
2025/02,TT99,基金總規模,,,"4,394,735",,,
2025/01,1216,統一,"3,030",5.07,"237,552",0.05,-3.0901,TW0001216000
2025/01,2002,中鋼,"7,153",3.08,"144,133",0.05,2.5445,TW0002002003
2025/01,2303,聯電,"7,428",6.38,"298,606",0.06,-6.6203,TW0002303005
2025/01,2308,台達電,"1,091",10.19,"477,313",0.04,1.626,TW0002308004
2025/01,2317,鴻海,"2,475",9.51,"445,500",0.02,-2.1738,TW0002317005
2025/01,2379,瑞昱,300,3.47,"162,600",0.06,-4.5773,TW0002379005
2025/01,2412,中華電,"2,404",6.39,"299,298",0.03,0.8096,TW0002412004
2025/01,2891,中信金,"10,350",8.64,"404,685",0.05,-0.0001,TW0002891009
2025/01,3034,聯詠,361,4.04,"189,164",0.06,4.3822,TW0003034005
2025/01,3711,日月光投控,"2,040",7.71,"361,080",0.05,9.2594,TW0003711008
2025/01,M1200,食品工業,,5.07,"237,552",,-1.7356,
2025/01,M2000,鋼鐵工業,,3.08,"144,133",,2.5706,
2025/01,M2300,電子工業,,47.7,"2,233,560",,2.7295,
2025/01,M2800,金融業(合計),,8.64,"404,685",,1.3151,
2025/01,MTSE,國內上市,,64.49,"3,019,930",,2.1287,
2025/01,TT99,基金總規模,,,"4,682,908",,,
2024/12,1102,亞泥,"1,453",1.34,"58,721",0.04,-3.9241,TW0001102002
2024/12,1216,統一,"2,855",5.27,"230,941",0.05,-4.2604,TW0001216000
2024/12,1301,台塑,"2,222",1.8,"78,879",0.03,-14.1476,TW0001301000
2024/12,1303,南亞,"3,092",2.11,"92,464",0.04,-22.7391,TW0001303006
2024/12,1402,遠東新,"1,733",1.25,"54,777",0.03,-5.3891,TW0001402006
2024/12,1722,台肥,437,0.51,"22,349",0.04,-8.587,TW0001722007
2024/12,2002,中鋼,"6,735",3.02,"132,342",0.04,-7.3114,TW0002002003
2024/12,2006,東和鋼鐵,361,0.56,"24,540",0.05,-3.6881,TW0002006004
2024/12,2027,大成鋼,927,0.64,"28,046",0.04,-12.8241,TW0002027000
2024/12,2303,聯電,"6,993",6.87,"301,056",0.06,-1.1483,TW0002303005
2024/12,2308,台達電,"1,027",10.09,"442,162",0.04,12.992,TW0002308004
