0050 元大台灣50--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,192.3,198.65,190.65,192.5,339,"66,033",-4.3714,13.9351,"2,433,000","468,353",192.5,192.55,-4.4701,,,762,,,,,,,1.92,-8.8,3.9742,TSE,2025/02/27
2025/01,195.65,206,193.25,201.3,213,"42,282",4.2495,9.5515,"2,233,000","449,503",201.25,201.3,4.1619,,,328,,,,,,,1.84,5.55,6.5134,TSE,2025/01/22
2024/12,188.5,199.1,188.5,195.75,179,"34,976",4.5393,8.0424,"2,223,000","435,152",195.7,195.75,4.4394,,,303,,,,,,,1.76,8.5,5.6609,TSE,2024/12/31
2024/11,186.15,200,184.5,187.25,276,"53,090",-2.3721,12.506,"2,209,500","413,729",187.2,187.25,-2.4011,,,442,,,,,,,1.84,-4.55,8.0813,TSE,2024/11/29
2024/10,183.9,200.2,183,191.8,264,"50,944",4.2677,12.4532,"2,116,500","405,945",191.75,191.8,4.1788,,,332,,,,,,,1.8,7.85,9.3504,TSE,2024/10/30
2024/09,181.9,191.25,170,183.95,238,"42,588",1.4338,10.8723,"2,184,500","401,839",183.9,183.95,1.4235,,,365,,,,,,,1.88,2.6,11.7177,TSE,2024/09/30
2024/08,185,185.2,158.4,181.35,422,"73,574",0.2765,19.3886,"2,177,500","394,890",181.3,181.35,0.276,,,536,,,,,,,1.9,0.5,14.8189,TSE,2024/08/30
2024/07,186.55,202.8,177.1,180.85,291,"55,022",-2.5107,13.5755,"2,141,500","387,290",180.8,180.85,-2.5428,,,503,,,,,,,1.91,-5.6,13.7839,TSE,2024/07/31
2024/06,168.65,189.75,166.15,186.45,205,"36,855",12.3193,9.1979,"2,224,500","414,758",186.4,186.45,11.6173,,,294,,,,,,,2.63,20.45,14.2169,TSE,2024/06/28
2024/05,157.35,173.4,156,166,169,"28,002",4.8973,8.7789,"1,927,000","319,882",166,166.05,4.7811,,,252,,,,,,,2.95,7.75,10.9953,TSE,2024/05/31
