0051 元大中型100--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,76.15,80.6,74.65,79.35,3,221,2.6521,11.0824,"25,500","2,023",79.35,79.4,2.6175,,,7,,,,,,,3.1,2.05,7.6973,TSE,2025/02/27
2025/01,76.95,78.35,73.8,77.3,1,108,0.4548,5.7837,"24,500","1,894",77.2,77.3,0.4538,,,5,,,,,,,3.18,0.35,5.9129,TSE,2025/01/22
2024/12,77.55,80,76.15,76.95,2,174,0.1303,9.3625,"24,000","1,847",76.9,77.15,0.1301,,,7,,,,,,,3.2,0.1,5.0098,TSE,2024/12/31
2024/11,79.6,83.2,75.15,76.85,2,174,-1.1694,9.3404,"23,500","1,806",76.7,76.85,-1.1762,,,8,,,,,,,3.2,-3.4,10.0312,TSE,2024/11/29
2024/10,81.9,82.65,79.95,80.25,2,170,-1.6543,9.2889,"22,500","1,806",80.25,80.3,-1.6681,,,7,,,,,,,3.12,-1.35,3.3088,TSE,2024/10/30
2024/09,82.05,83,77,81.6,1,113,-0.3054,6.5302,"21,500","1,754",81.6,81.65,-0.306,,,6,,,,,,,3.06,-0.25,7.3305,TSE,2024/09/30
2024/08,82.9,82.9,71.25,81.85,3,196,0.7384,12.0571,"21,000","1,719",81.7,82.05,0.7359,,,7,,,,,,,3.05,0.6,14.3385,TSE,2024/08/30
2024/07,85.95,87.9,79.5,81.25,2,185,-3.7893,10.7463,"20,500","1,666",81.15,81.35,-3.8629,,,7,,,,,,,3.08,-3.2,9.9467,TSE,2024/07/31
2024/06,81.35,85.25,80.2,84.45,1,119,4.1951,7.155,"20,000","1,689",84.25,84.5,4.1093,,,6,,,,,,,2.96,3.4,6.2307,TSE,2024/06/28
2024/05,79.1,82.85,78.3,81.05,1,93,2.2713,5.9282,"19,500","1,580",81,81.2,2.2458,,,5,,,,,,,3.08,1.8,5.7413,TSE,2024/05/31
2024/04,78.7,80,75,79.25,2,128,0.8911,8.4513,"19,500","1,545",79,79.25,0.8874,,,6,,,,,,,3.15,0.7,6.3654,TSE,2024/04/30
2024/03,77.4,79.5,76.65,78.55,3,248,1.5514,16.6737,"19,000","1,492",78.5,78.75,1.5395,,,6,,,,,,,3.18,1.2,3.6846,TSE,2024/03/29
2024/02,73.25,77.35,73.05,77.35,1,96,5.6693,7.05,"18,000","1,392",77.35,77.5,5.5144,,,4,,,,,,,3.23,4.15,5.8743,TSE,2024/02/29
2024/01,73.65,73.8,70.8,73.2,2,171,-0.6111,13.0944,"18,000","1,318",73.15,73.2,-0.6128,,,5,,,,,,,3.42,-0.45,4.0733,TSE,2024/01/31
2023/12,70.35,73.95,70.1,73.65,1,92,4.6908,7.3143,"17,500","1,289",73.65,73.7,4.5841,,,4,,,,,,,3.39,3.3,5.4726,TSE,2023/12/29
2023/11,66.2,71.3,66.2,70.35,2,121,10.3081,9.9257,"17,500","1,231",70.3,70.35,9.8107,,,5,,,,,,,3.55,4.25,7.7156,TSE,2023/11/30
2023/10,70.65,70.65,66,66.1,1,94,-5.3008,7.7943,"17,500","1,157",66.1,66.25,-5.4465,,,5,,,,,,,3.63,-3.7,6.6619,TSE,2023/10/31
2023/09,71.25,71.25,68.15,69.8,1,90,-1.5515,7.7697,"16,500","1,152",69.7,69.9,-1.5636,,,4,,,,,,,3.44,-1.1,4.3724,TSE,2023/09/28
2023/08,72.6,72.8,67.5,70.9,2,146,-2.1393,12.6182,"16,500","1,170",70.9,71.05,-2.1626,,,6,,,,,,,3.39,-1.55,7.3154,TSE,2023/08/31
2023/07,66.6,74.6,66.45,72.45,3,200,9.1936,17.6125,"16,000","1,159",72.4,72.6,8.7954,,,5,,,,,,,3.31,6.1,12.2833,TSE,2023/07/31
2023/06,62,67,61.8,66.35,2,108,7.0157,10.375,"16,000","1,062",66.35,66.4,6.7808,,,4,,,,,,,3.62,4.35,8.3871,TSE,2023/06/30
2023/05,57.5,62.5,56.85,62,1,77,8.0139,8.0875,"16,000",992,61.95,62,7.7092,,,4,,,,,,,3.87,4.6,9.8432,TSE,2023/05/31
2023/04,57.5,58.95,56,57.4,1,49,-0.3471,5.25,"16,000",918,57.3,57.45,-0.348,,,3,,,,,,,4.18,-0.2,5.1215,TSE,2023/04/28
2023/03,56.35,57.7,54.9,57.6,1,53,2.0372,5.8125,"16,000",922,57.6,57.65,2.0168,,,4,,,,,,,4.17,1.15,4.9601,TSE,2023/03/31
2023/02,53.85,56.7,53.85,56.45,1,34,5.121,3.9226,"15,500",875,56.35,56.5,4.9944,,,3,,,,,,,4.25,2.75,5.3073,TSE,2023/02/24
2023/01,51.25,54.15,50.8,53.7,0,23,4.7804,2.8645,"15,500",832,53.6,53.85,4.6699,,,2,,,,,,,4.47,2.45,6.5366,TSE,2023/01/31
2022/12,53.5,53.85,50.65,51.25,1,32,-2.9357,3.9548,"15,500",794,51.2,51.25,-2.9794,,,4,,,,,,,4.68,-1.55,6.0606,TSE,2022/12/30
2022/11,49.53,54.75,49.53,52.8,1,59,12.0709,7.3161,"15,500",818,52.7,52.85,11.3965,,,4,,,,,,,4.55,3.5,10.5882,TSE,2022/11/30
2022/10,50.6,52.25,48.1,49.3,1,35,-2.569,4.6733,"15,000",740,49.2,49.47,-2.6028,,,4,,,,,,,3.55,-1.3,8.2016,TSE,2022/10/31
2022/09,54.8,55.7,50,50.6,1,32,-8.6641,4.04,"15,000",759,50.55,51,-9.0628,,,4,,,,,,,3.46,-4.8,10.2888,TSE,2022/09/30
2022/08,52.8,55.95,51.4,55.4,1,53,4.9244,6.6483,"14,500",803,55.3,55.5,4.8069,,,4,,,,,,,3.16,2.6,8.6174,TSE,2022/08/31
