0052 富邦科技--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,191.15,199.95,190,191.8,17,"3,292",-5.2372,20.9478,"80,500","15,440",191.8,191.85,-5.3793,,,39,,,,,,,3.35,-10.6,4.916,TSE,2025/02/27
2025/01,194.35,204.95,190.95,202.4,18,"3,604",4.0081,22.8113,"80,000","16,192",202.3,202.4,3.9301,,,31,,,,,,,3.18,7.8,7.1942,TSE,2025/01/22
2024/12,185.85,196.5,185.8,194.6,14,"2,640",5.8183,17.4497,"78,500","15,276",194.5,194.6,5.6553,,,28,,,,,,,3.3,10.7,5.8184,TSE,2024/12/31
2024/11,184,198,180.8,183.9,23,"4,377",-2.7755,29.5474,"78,000","14,344",183.85,183.9,-2.8149,,,38,,,,,,,3.5,-5.25,9.0933,TSE,2024/11/29
2024/10,178.7,199.4,178.5,189.15,22,"4,284",6.804,28.1119,"79,500","15,037",189.1,189.15,6.5825,,,33,,,,,,,3.4,12.05,11.8012,TSE,2024/10/30
2024/09,179,186.95,165.95,177.1,13,"2,196",-0.1691,16.7192,"75,500","13,371",177.05,177.1,-0.1694,,,26,,,,,,,3.63,-0.3,11.8377,TSE,2024/09/30
2024/08,181.8,181.95,153.05,177.4,30,"5,100",0.6525,43.6928,"69,000","12,241",177.4,177.8,0.6504,,,41,,,,,,,3.62,1.15,16.3972,TSE,2024/08/30
2024/07,184.85,201.55,172.6,176.25,41,"7,700",-4.6265,65.8976,"62,500","11,016",176.15,176.25,-4.7372,,,58,,,,,,,3.65,-8.55,15.6656,TSE,2024/07/31
2024/06,165.25,188.15,162.1,184.8,18,"3,104",13.5135,38.5714,"45,500","8,408",184.75,184.8,12.6751,,,26,,,,,,,3.48,22,16.0012,TSE,2024/06/28
2024/05,151.8,170.1,150.7,162.8,11,"1,755",5.7832,27.1025,"40,000","6,512",162.75,162.8,5.622,,,17,,,,,,,3.95,8.9,12.6056,TSE,2024/05/31
2024/04,160,166.1,144.25,153.9,15,"2,348",0.5706,39.226,"38,500","5,925",153.8,153.9,0.5689,,,22,,,,,,,4.18,-5.4,13.7163,TSE,2024/04/30
2024/03,144.65,161.25,143.95,159.3,13,"2,069",10.5868,36.8139,"36,000","5,735",159.4,159.5,10.0631,,,14,,,,,,,2.51,15.25,12.0097,TSE,2024/03/29
2024/02,133.2,145.3,132.15,144.05,7,972,8.1455,18.1211,"38,000","5,474",143.7,144.05,7.8309,,,8,,,,,,,2.78,10.85,9.8724,TSE,2024/02/29
2024/01,129.4,136,124.95,133.2,8,"1,048",2.9365,22.1233,"36,500","4,862",133.15,133.45,2.8943,,,11,,,,,,,3,3.8,8.5394,TSE,2024/01/31
2023/12,122.65,129.75,121.3,129.4,5,642,5.0751,12.5024,"41,000","5,305",129.4,129.5,4.9503,,,8,,,,,,,3.09,6.25,6.8616,TSE,2023/12/29
2023/11,113.45,124.45,112.75,123.15,9,"1,114",9.2726,18.286,"50,000","6,158",123.15,123.2,8.8674,,,9,,,,,,,3.25,10.45,10.3815,TSE,2023/11/30
2023/10,115.15,119.05,112.4,112.7,6,716,-0.6172,12.2337,"50,500","5,691",112.65,112.7,-0.6189,,,8,,,,,,,3.55,-0.7,5.8642,TSE,2023/10/31
2023/09,116.8,118.5,112.2,113.4,5,633,-2.9525,12.0725,"45,500","5,160",113.35,113.7,-2.9969,,,9,,,,,,,3.53,-3.45,5.3915,TSE,2023/09/28
2023/08,119.2,119.8,113.35,116.85,6,719,-1.8892,14.1977,"43,500","5,083",116.75,116.85,-1.9072,,,9,,,,,,,3.42,-2.25,5.4156,TSE,2023/08/31
2023/07,116.3,122.3,114.65,119.1,8,893,2.584,16.6689,"45,000","5,360",119.1,119.2,2.5511,,,9,,,,,,,3.36,3,6.5891,TSE,2023/07/31
2023/06,109.9,118.1,109.55,116.1,5,627,4.6889,11.8413,"46,000","5,341",116.1,116.2,4.5823,,,10,,,,,,,3.45,5.2,7.7096,TSE,2023/06/30
2023/05,100.35,112.1,99.55,110.9,7,695,10.5685,12.9545,"50,500","5,600",110.85,110.9,10.0465,,,10,,,,,,,3.61,10.6,12.5125,TSE,2023/05/31
2023/04,108.65,109.25,98.35,100.3,6,590,-4.8824,11.8716,"47,500","4,764",100.3,100.35,-5.0057,,,11,,,,,,,3.99,-9.3,9.9453,TSE,2023/04/28
2023/03,104,110.35,103.3,109.6,8,800,4.7803,13.1684,"57,000","6,247",109.5,109.6,4.6695,,,11,,,,,,,9.3,5,6.74,TSE,2023/03/31
2023/02,105.05,108,103,104.6,7,774,0.3838,12.3831,"59,000","6,171",104.5,104.6,0.3831,,,10,,,,,,,9.74,0.4,4.7985,TSE,2023/02/24
2023/01,92,106.4,91.4,104.2,5,524,12.6487,8.7223,"60,500","6,304",104.15,104.2,11.9104,,,7,,,,,,,9.78,11.7,16.2162,TSE,2023/01/31
2022/12,101.35,102.05,91.2,92.5,6,562,-6.6127,9.6479,"60,500","5,596",92.35,92.5,-6.8417,,,9,,,,,,,11.02,-6.55,10.9541,TSE,2022/12/30
2022/11,82.45,100.25,81.5,99.05,8,753,20.1334,13.0595,"60,500","5,993",99.05,99.1,18.3433,,,10,,,,,,,10.29,16.6,22.7411,TSE,2022/11/30
2022/10,86.1,91.6,80,82.45,7,619,-4.7373,12.1752,"60,500","4,988",82.45,82.5,-4.8529,,,9,,,,,,,12.36,-4.1,13.4027,TSE,2022/10/31
2022/09,98,98.45,86,86.55,8,764,-13.3199,13.3279,"61,000","5,280",86.5,86.55,-14.2947,,,11,,,,,,,11.77,-13.3,12.4687,TSE,2022/09/30
2022/08,99.45,103.35,96.65,99.85,5,520,0.4023,8.3919,"62,000","6,191",99.85,99.95,0.4014,,,10,,,,,,,10.21,0.4,6.7371,TSE,2022/08/31
2022/07,94.25,100.15,87.25,99.45,13,"1,171",5.1825,23.6094,"53,000","5,271",99.45,99.5,5.0528,,,12,,,,,,,10.25,4.9,13.6436,TSE,2022/07/29
2022/06,108.9,109.55,94.35,94.55,11,"1,094",-13.4157,19.3964,"55,500","5,248",94.5,94.55,-14.4054,,,11,,,,,,,10.78,-14.65,13.9194,TSE,2022/06/30
2022/05,105.85,109.2,100.6,109.2,12,"1,209",3.1646,20.4407,"56,500","6,170",109.2,109.25,3.1157,,,20,,,,,,,9.33,3.35,8.1247,TSE,2022/05/31
2022/04,125.7,126.1,103.15,105.85,24,"2,828",-9.367,42.6142,"56,500","5,981",105.85,105.9,-9.8351,,,35,,,,,,,9.63,-21.7,17.9929,TSE,2022/04/29
2022/03,129.3,131.2,120.3,127.55,9,"1,193",-1.3536,15.9496,"59,500","7,589",127.55,127.6,-1.3625,,,8,,,,,,,0.81,-1.75,8.43,TSE,2022/03/31
2022/02,133.8,136.3,128.8,129.3,6,821,-2.415,11.5178,"53,500","6,918",129.25,129.35,-2.4447,,,5,,,,,,,0.8,-3.2,5.6604,TSE,2022/02/25
2022/01,134.65,140.85,132.3,132.5,13,"1,755",-1.2301,25.712,"50,000","6,625",132.45,132.5,-1.2375,,,10,,,,,,,0.78,-1.65,6.3735,TSE,2022/01/26
2021/12,127.7,134.45,127.6,134.15,12,"1,546",5.051,22.2962,"53,000","7,110",134,134.15,4.9276,,,6,,,,,,,0.77,6.45,5.3641,TSE,2021/12/30
2021/11,125.15,132.95,124.4,127.7,13,"1,669",2.6527,23.075,"56,000","7,151",127.7,127.95,2.6183,,,10,,,,,,,0.81,3.3,6.873,TSE,2021/11/30
2021/10,121.6,125.85,117.2,124.4,8,"1,012",1.4684,15.5028,"53,500","6,655",124.35,124.4,1.4577,,,6,,,,,,,0.83,1.8,7.0555,TSE,2021/10/29
2021/09,127.3,131.2,121.2,122.6,16,"1,973",-3.5025,29.64,"52,500","6,437",122.5,122.6,-3.5653,,,9,,,,,,,0.84,-4.45,7.8709,TSE,2021/09/30
2021/08,124.6,127.5,117,127.05,16,"1,969",2.6668,28.7261,"55,500","7,051",127.05,127.1,2.6319,,,8,,,,,,,0.81,3.3,8.4848,TSE,2021/08/31
2021/07,125,129.25,121.4,123.75,20,"2,515",-1,36.0883,"55,500","6,868",123.7,123.75,-1.005,,,10,,,,,,,0.83,-1.25,6.28,TSE,2021/07/30
2021/06,125.45,127.15,122,125,17,"2,164",-0.0404,32.1407,"54,000","6,750",125,125.15,-0.0399,,,8,,,,,,,0.83,-0.05,4.1184,TSE,2021/06/30
2021/05,128.75,128.75,108.5,125.05,24,"2,936",-3.4735,47.8549,"51,000","6,378",125.05,125.1,-3.5354,,,18,,,,,,,0.83,-4.5,15.631,TSE,2021/05/31
2021/04,126.55,130.7,125.1,129.55,26,"3,330",4.1068,52.5939,"49,500","6,413",129.55,129.6,4.0246,,,15,,,,,,,0.8,4.1,4.4639,TSE,2021/04/29
2021/03,129.65,129.7,121.3,125.45,26,"3,286",-1.6077,43.8133,"60,000","7,527",125.45,125.5,-1.6208,,,22,,,,,,,1.61,-2.05,6.5882,TSE,2021/03/31
2021/02,122.2,137.5,121.05,127.5,25,"3,292",4.3799,42.2454,"59,500","7,586",127.5,127.55,4.2867,,,22,,,,,,,1.58,5.35,13.467,TSE,2021/02/26
2021/01,110.6,136.85,110.6,122.15,36,"4,511",10.8438,69.6796,"51,500","6,291",122.1,122.15,10.2951,,,30,,,,,,,1.65,11.95,23.8203,TSE,2021/01/29
2020/12,101,110.75,100.5,110.2,25,"2,660",9.5428,66.4853,"37,500","4,133",110.2,110.4,9.1147,,,10,,,,,,,1.83,9.6,10.1889,TSE,2020/12/31
2020/11,90.9,103.5,89.9,100.6,24,"2,348",10.6712,78.6459,"30,500","3,068",100.5,100.6,10.1393,,,7,,,,,,,2,9.7,14.9615,TSE,2020/11/30
2020/10,90.3,97.65,89.65,90.9,23,"2,190",0.7201,80.4517,"29,000","2,636",90.8,90.95,0.7176,,,7,,,,,,,2.22,0.65,8.8643,TSE,2020/10/30
2020/09,88.15,94.45,87.25,90.25,16,"1,416",2.3823,71.3455,"22,000","1,986",90.2,90.25,2.3541,,,5,,,,,,,2.23,2.1,8.1679,TSE,2020/09/30
2020/08,89.9,92.4,83.4,88.15,9,782,-2.2728,39.6636,"22,000","1,939",88.1,88.15,-2.299,,,6,,,,,,,2.29,-2.05,9.9778,TSE,2020/08/31
2020/07,69.4,100.4,69.4,90.2,7,599,29.971,36.3487,"19,500","1,759",90.1,90.2,26.2143,,,4,,,,,,,2.23,20.8,44.6686,TSE,2020/07/31
2020/06,64.1,70.3,64.1,69.4,3,231,9.5501,15.8186,"21,500","1,492",69.15,69.4,9.1211,,,1,,,,,,,2.9,6.05,9.7869,TSE,2020/06/30
2020/05,63.55,64.55,62.3,63.35,3,191,-2.1621,9.882,"30,500","1,932",63.35,63.5,-2.1858,,,1,,,,,,,3.18,-1.4,3.4749,TSE,2020/05/29
2020/04,59.2,66.05,58.75,64.75,3,205,14.2972,10.659,"30,500","1,975",64.75,64.8,13.3633,,,1,,,,,,,3.11,6.35,12.5,TSE,2020/04/30
2020/03,66.25,69.85,51.3,58.4,4,251,-13.9913,13.5833,"30,000","1,752",58.6,59.1,-15.0721,,,2,,,,,,,1.79,-9.5,27.3196,TSE,2020/03/31
2020/02,68.45,73.4,67.45,67.9,3,185,-2.5824,8.878,"29,500","2,003",67.9,67.95,-2.6165,,,1,,,,,,,1.54,-1.8,8.5366,TSE,2020/02/27
2020/01,72.3,79.25,68.9,69.7,2,161,-3.4627,7.6966,"29,000","2,021",69.6,69.8,-3.524,,,1,,,,,,,1.5,-2.5,14.3352,TSE,2020/01/31
2019/12,66.75,74.15,66.45,72.2,3,193,8.2459,8.2273,"33,000","2,383",72.2,72.35,7.9236,,,1,,,,,,,1.45,5.5,11.5442,TSE,2019/12/31
2019/11,65.35,68.6,65.05,66.7,3,170,1.9098,19.4385,"13,000",867,66.65,67,1.892,,,1,,,,,,,1.57,1.25,5.424,TSE,2019/11/29
2019/10,60.05,65.45,60,65.45,2,155,9.2654,28.8235,"8,500",556,65.45,,8.861,,,0,,,,,,,1.6,5.55,9.0985,TSE,2019/10/31
2019/09,57.2,60.15,56.7,59.9,2,126,4.7205,25.2941,"8,500",509,59.25,60,4.6122,,,0,,,,,,,1.75,2.7,6.0315,TSE,2019/09/27
2019/08,56.4,57.2,53.1,57.2,2,127,0.6156,13.8364,"16,500",944,57.1,57.3,0.614,,,0,,,,,,,1.83,0.35,7.212,TSE,2019/08/30
2019/07,54.2,58,53.7,56.85,3,141,7.0625,14.3886,"17,500",995,56.85,57.05,6.8241,,,0,,,,,,,1.84,3.75,8.0979,TSE,2019/07/31
2019/06,50.85,53.5,49.84,53.1,2,110,4.4249,11.1737,"19,000","1,009",52.95,53.3,4.3297,,,0,,,,,,,1.97,2.25,7.1976,TSE,2019/06/28
2019/05,56.05,56.15,49.05,50.85,3,137,-8.1334,15.3176,"17,000",864,50.8,50.95,-8.4833,,,0,,,,,,,2.06,-5.55,12.5887,TSE,2019/05/31
2019/04,54.25,57.75,53.95,56.4,2,120,6.0147,17.825,"12,000",677,56.3,56.65,5.8413,,,0,,,,,,,1.86,3.2,7.1429,TSE,2019/04/30
2019/03,52.05,54,50.75,53.2,2,112,2.3075,13.8258,"15,500",825,53.4,53.5,2.2814,,,0,,,,,,,3.23,1.2,6.25,TSE,2019/03/29
2019/02,50.55,52.35,50,52,1,65,5.4981,8.2903,"15,500",806,51.75,52.2,5.3522,,,0,,,,,,,3.31,2.71,4.7677,TSE,2019/02/27
2019/01,48.36,50.4,45.56,49.29,2,104,2.4528,18.8,"11,500",567,49.3,49.53,2.4232,,,0,,,,,,,3.49,1.18,10.0603,TSE,2019/01/30
2018/12,50.7,50.9,46.41,48.11,2,102,-3.316,18.4261,"11,500",553,48.1,48.45,-3.3722,,,0,,,,,,,3.58,-1.65,9.0233,TSE,2018/12/28
2018/11,49.52,53.25,46.72,49.76,2,111,4.1003,34.9077,"6,500",323,48,49.75,4.0187,,,0,,,,,,,3.46,1.96,13.6611,TSE,2018/11/30
2018/10,55.5,56.25,47.07,47.8,2,116,-14.26,34.9846,"6,500",311,46.9,49.34,-15.3848,,,0,,,,,,,3.6,-7.95,16.4664,TSE,2018/10/31
2018/09,55.95,56.4,54.45,55.75,2,109,0.3601,30.2308,"6,500",362,55.6,56.05,0.3595,,,0,,,,,,,3.09,0.2,3.5104,TSE,2018/09/28
2018/08,54.85,57.35,52.6,55.55,3,188,2.0204,53.4154,"6,500",361,55.5,55.7,2,,,0,,,,,,,3.1,1.1,8.7236,TSE,2018/08/31
2018/07,50.1,54.85,49.56,54.45,2,124,9.1619,36.6769,"6,500",354,54.55,54.6,8.7662,,,0,,,,,,,3.16,4.57,10.6055,TSE,2018/07/31
2018/06,51.35,52.7,49.35,49.88,1,53,-2.4828,15.9692,"6,500",324,49.92,50.1,-2.5141,,,0,,,,,,,3.45,-1.27,6.5494,TSE,2018/06/29
2018/05,53.7,53.7,50.85,51.15,0,14,-1.4682,4.0462,"6,500",332,51.15,51.25,-1.4789,,,0,,,,,,,3.36,-2.45,5.3172,TSE,2018/05/31
2018/04,56.7,57.35,53.2,53.6,0,5,-5.7997,1.55,"6,000",322,53.6,53.85,-5.9747,,,0,,,,,,,3.21,-3.3,7.2935,TSE,2018/04/30
2018/03,56.45,58.4,55.2,56.9,0,9,0.0002,2.7,"6,000",341,56.8,56.95,-0.0001,,,0,,,,,,,2.48,0,5.6239,TSE,2018/03/31
2018/02,55.65,59.4,54.55,56.9,0,6,-0.871,1.6,"6,000",341,56.5,56.9,-0.8748,,,0,,,,,,,2.48,-0.5,8.4495,TSE,2018/02/27
2018/01,53.55,60,53.5,57.4,0,6,8.6094,1.8333,"6,000",344,57.35,57.9,8.2582,,,0,,,,,,,2.46,4.55,12.299,TSE,2018/01/31
2017/12,57.15,58.95,51.9,52.85,0,11,-7.605,3.4833,"6,000",317,52.6,52.9,-7.9096,,,0,0,,,,,,2.67,-4.35,12.3252,TSE,2017/12/29
2017/11,56.55,58,55.6,57.2,0,7,0.9709,2.0833,"6,000",343,57.2,57.45,0.9662,,,0,0,,,,,,2.47,0.55,4.2365,TSE,2017/11/30
