0053 元大電子--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,104.35,106.5,101.15,102.8,0,34,-4.1938,5.9949,"5,488",564,102,102.8,-4.2845,,,2,,,,,,,1.95,-4.5,4.986,TSE,2025/02/27
2025/01,103,108.55,101.7,107.3,0,26,3.3718,4.4096,"5,488",589,100.1,107.25,3.3162,,,2,,,,,,,1.86,3.5,6.5992,TSE,2025/01/22
2024/12,100.2,105.1,100.1,103.8,0,35,5.5949,6.1407,"5,488",570,103.05,103.75,5.4442,,,3,,,,,,,1.93,5.5,5.0865,TSE,2024/12/31
2024/11,99.8,107.7,97.35,98.3,0,39,-2.4593,6.8695,"5,488",539,97.35,98.3,-2.49,,,3,,,,,,,2.03,-4.5,10.0681,TSE,2024/11/29
2024/10,98.65,107.3,98.1,102.8,0,36,5.3278,6.3047,"5,488",564,102.55,103.15,5.1907,,,2,,,,,,,1.85,5.2,9.4262,TSE,2024/10/30
2024/09,97.9,102.5,91.5,97.6,0,34,-0.6108,6.4687,"5,488",536,96.5,97.6,-0.613,,,2,,,,,,,1.95,-0.6,11.2016,TSE,2024/09/30
2024/08,99.7,100.1,86,98.2,1,47,0.7695,9.2201,"5,488",539,97.55,98.4,0.7667,,,3,,,,,,,1.93,0.75,14.469,TSE,2024/08/30
2024/07,104.9,110.15,93.55,97.45,1,84,-4.3201,16.3192,"4,988",486,97.6,97.75,-4.4161,,,3,,,,,,,1.95,-4.4,16.2985,TSE,2024/07/31
2024/06,91.65,103.2,90.65,101.85,1,52,12.8532,10.5453,"4,988",508,101.6,101.8,12.092,,,2,,,,,,,1.87,11.6,13.9058,TSE,2024/06/28
2024/05,84.65,94.2,84.15,90.25,0,32,4.7593,7.8654,"4,488",405,89.9,90.25,4.6492,,,2,,,,,,,2.11,4.1,11.6657,TSE,2024/05/31
2024/04,85.95,88.75,80.45,86.15,0,33,0.3493,8.5339,"4,488",387,86.15,86.3,0.3488,,,2,,,,,,,2.21,0.3,9.668,TSE,2024/04/30
2024/03,78.55,86.9,78.2,85.85,0,34,9.7824,8.0593,"4,988",428,85.7,86,9.3331,,,2,,,,,,,2.21,7.65,11.1253,TSE,2024/03/29
2024/02,72.4,78.65,72.15,78.2,0,12,6.9767,3.1075,"4,988",390,78.35,78.65,6.7443,,,1,,,,,,,2.43,5.1,8.8919,TSE,2024/02/29
2024/01,71.6,74.1,68.65,73.1,0,21,2.0238,5.9543,"4,988",365,72.65,73.1,2.0034,,,1,,,,,,,2.6,1.45,7.6064,TSE,2024/01/31
2023/12,68.8,72.15,68.15,71.65,0,17,4.1423,4.7915,"4,988",357,71.95,72.25,4.0592,,,16,,,,,,,2.65,2.85,5.814,TSE,2023/12/29
2023/11,65.15,70.5,65.15,68.8,0,17,8.795,4.9519,"4,988",343,68.8,69.2,8.4296,,,16,,,,,,,2.76,3.8,8.2308,TSE,2023/11/30
2023/10,67.1,68.85,65,65,0,10,-1.6644,3.0874,"4,988",324,64.8,65,-1.6782,,,16,,,,,,,2.63,-1.1,5.8245,TSE,2023/10/31
2023/09,67.9,68.65,65.45,66.1,0,10,-2.8655,2.8669,"4,988",330,65.95,66.3,-2.9075,,,17,,,,,,,2.59,-1.95,4.7024,TSE,2023/09/28
2023/08,69.1,69.55,65.7,68.05,0,13,-2.9243,3.8893,"4,988",339,67.85,67.95,-2.968,,,15,,,,,,,2.51,-2.05,5.4922,TSE,2023/08/31
2023/07,66.9,70.9,66.25,70.1,0,17,4.9404,4.7915,"4,988",350,68.65,69.55,4.8221,,,14,,,,,,,2.44,3.3,6.9611,TSE,2023/07/31
2023/06,63.7,68,63.65,66.8,0,13,4.8666,3.9695,"4,988",333,66.8,67.15,4.7518,,,12,,,,,,,2.56,3.1,6.8289,TSE,2023/06/30
2023/05,58.55,64.4,57.95,63.7,0,12,8.9817,3.9695,"4,988",318,63.7,64.15,8.6011,,,17,,,,,,,2.68,5.25,11.0351,TSE,2023/05/31
2023/04,60.75,61.1,57.4,58.45,0,8,-4.5715,2.6864,"4,988",292,58.35,58.65,-4.6791,,,15,,,,,,,2.93,-2.8,6.0408,TSE,2023/04/28
2023/03,57.9,61.3,57.9,61.25,0,11,4.3442,3.6287,"4,988",306,60.75,61.2,4.2525,,,21,,,,,,,2.79,2.55,5.7922,TSE,2023/03/31
2023/02,58.05,59.75,57.5,58.7,0,11,2.0869,3.769,"4,988",293,57.95,58.4,2.0655,,,17,,,,,,,2.91,1.2,3.913,TSE,2023/02/24
2023/01,51.7,58.6,51.4,57.5,0,8,11.8678,2.7666,"4,988",287,57,57.5,11.2145,,,11,,,,,,,2.97,6.1,14.0078,TSE,2023/01/31
2022/12,57.05,57.05,51.4,51.4,0,7,-7.3039,2.6263,"4,988",256,51.05,51.45,-7.5843,,,20,,,,,,,3.33,-4.05,10.1894,TSE,2022/12/30
2022/11,48.81,56.75,48.37,55.45,0,10,17.5419,3.769,"4,988",277,55.45,55.7,16.1626,,,18,,,,,,,3.08,6.81,17.2286,TSE,2022/11/30
2022/10,50.1,53.25,47.1,48.64,0,8,-3.4919,3.3681,"4,988",243,48.52,48.54,-3.5546,,,10,,,,,,,3.5,-1.76,12.2024,TSE,2022/10/31
2022/09,56.25,57,50.1,50.4,0,6,-12.195,2.1451,"4,988",251,50,50.5,-13.0055,,,10,,,,,,,3.37,-7,12.0209,TSE,2022/09/30
2022/08,56.85,59.55,55.65,57.4,0,8,0.1747,2.7666,"4,988",286,57.45,58,0.1743,,,10,,,,,,,2.96,0.1,6.8063,TSE,2022/08/31
2022/07,54.35,57.85,51.05,57.3,0,12,3.9929,4.4507,"4,988",286,57.3,57.5,3.9151,,,8,,,,,,,2.97,2.2,12.3412,TSE,2022/07/29
2022/06,62.75,62.75,55.1,55.1,0,10,-11.2722,3.2879,"4,988",275,54.45,54.85,-11.9596,,,9,,,,,,,3.09,-7,12.3188,TSE,2022/06/30
2022/05,60.3,62.1,57.35,62.1,0,16,2.4752,5.5132,"4,988",310,62.45,63.3,2.445,,,10,,,,,,,2.74,1.5,7.8383,TSE,2022/05/31
2022/04,65.3,65.3,59,60.6,0,11,-8.5285,3.4483,"4,988",302,60.45,60.7,-8.9139,,,5,,,,,,,2.81,-5.65,9.5094,TSE,2022/04/29
2022/03,67.15,67.95,63,66.25,0,23,-0.6001,6.9567,"4,988",330,66.3,66.35,-0.6019,,,1,,,,,,,2.57,-0.4,7.4269,TSE,2022/03/31
2022/02,68.6,70.15,66.65,66.65,0,10,-3.125,2.907,"4,988",332,66.95,67.05,-3.1749,,,0,,,,,,,2.55,-2.15,5.0872,TSE,2022/02/25
2022/01,70.25,72.65,68.3,68.8,0,21,-1.6438,6.0545,"4,988",343,68,68.5,-1.6577,,,1,,,,,,,2.47,-1.15,6.2187,TSE,2022/01/26
2021/12,67.2,70,67.1,69.95,0,13,4.0924,3.769,"4,988",349,69.95,70,4.0108,,,1,,,,,,,2.43,2.75,4.3155,TSE,2021/12/30
2021/11,66.65,70.05,66.1,67.2,0,17,3.396,4.9719,"4,988",335,66.95,67.45,3.3395,,,1,,,,,,,2.53,0.6,5.9309,TSE,2021/11/30
2021/10,64.35,67.15,62.5,66.6,0,24,1.8348,7.4579,"4,988",332,66.75,67.15,1.8183,,,0,,,,,,,1.95,1.2,7.1101,TSE,2021/10/29
2021/09,67.5,69.3,64.55,65.4,1,39,-2.9673,10.3681,"5,488",359,65,65.4,-3.0123,,,1,,,,,,,1.99,-2,7.0475,TSE,2021/09/30
2021/08,66.95,68.25,62.65,67.4,0,16,0.6721,4.9719,"4,988",336,67.3,67.45,0.6701,,,0,,,,,,,1.93,0.45,8.3645,TSE,2021/08/31
2021/07,66.7,69.3,64.95,66.95,0,23,0.2247,6.1042,"5,488",367,66.25,66.75,0.2243,,,1,,,,,,,1.94,0.15,6.512,TSE,2021/07/30
2021/06,66.25,67.2,64.35,66.8,0,21,1.212,5.8309,"5,488",367,66.35,66.8,1.2048,,,0,,,,,,,1.95,0.8,4.3182,TSE,2021/06/30
2021/05,69,69,58,66,1,40,-3.7899,11.516,"5,488",362,65.95,66.1,-3.864,,,1,,,,,,,1.97,-2.6,16.035,TSE,2021/05/31
2021/04,66.2,69.5,66.05,68.6,0,30,3.6255,7.9446,"5,488",376,68.5,69,3.5612,,,1,,,,,,,1.9,2.4,5.2115,TSE,2021/04/29
2021/03,67,68.8,63.5,66.2,0,29,0.4553,7.9082,"5,488",363,66.15,66.3,0.4542,,,0,,,,,,,1.96,0.3,8.0425,TSE,2021/03/31
2021/02,63,69.6,62.45,65.9,0,31,4.2722,8.2544,"5,488",362,65.85,66.3,4.1833,,,0,,,,,,,1.97,2.7,11.3133,TSE,2021/02/26
2021/01,57.3,68.4,57.3,63.2,1,69,9.532,19.6429,"5,488",347,63,63.2,9.1048,,,1,,,,,,,2.06,5.5,19.2374,TSE,2021/01/29
2020/12,53.7,57.8,53.55,57.7,1,30,8.3567,9.621,"5,488",317,57.45,57.9,8.026,,,0,,,,,,,2.25,4.45,7.9812,TSE,2020/12/31
2020/11,49.16,54.75,48.93,53.25,1,31,10.5591,10.5503,"5,488",292,53.25,53.5,10.0384,,,0,,,,,,,2.44,3.91,11.7957,TSE,2020/11/30
2020/10,49.4,51.5,49.07,49.34,0,16,0.5502,5.594,"5,488",271,49.1,49.34,0.5485,,,0,,,,,,,3.04,0.27,4.9521,TSE,2020/10/30
2020/09,49,51.55,47.74,49.07,0,20,0.471,7.2522,"5,488",269,49.02,49.08,0.4699,,,0,,,,,,,3.06,0.23,7.801,TSE,2020/09/30
2020/08,49.8,51.25,46.76,48.84,1,32,-2.709,11.6618,"5,488",268,48.8,48.84,-2.7466,,,0,,,,,,,3.07,-1.36,8.9442,TSE,2020/08/31
2020/07,41.82,54.75,41.82,50.2,1,54,20.2107,20.5904,"5,488",275,50.2,50.95,18.4076,,,1,,,,,,,2.99,8.44,30.9626,TSE,2020/07/31
2020/06,38.77,42.22,38.77,41.76,1,22,8.2707,8.9679,"5,988",250,41.77,41.8,7.9463,,,0,,,,,,,3.59,3.19,8.9448,TSE,2020/06/30
2020/05,38.9,39.33,37.86,38.57,0,19,-1.1027,7.4291,"6,488",250,38.5,38.57,-1.1087,,,0,,,,,,,3.89,-0.43,3.7692,TSE,2020/05/29
2020/04,34.46,39,33.9,39,0,16,13.9682,6.7201,"6,488",253,38.97,39,13.075,,,0,,,,,,,3.85,4.78,14.9036,TSE,2020/04/30
2020/03,38.85,40.54,30.53,34.22,1,28,-13.2353,12.6541,"6,488",222,33.85,34.66,-14.1969,,,0,,,,,,,4.38,-5.22,25.3803,TSE,2020/03/31
2020/02,39.35,42.05,39.25,39.44,0,13,-2.3761,5.594,"5,488",216,39.25,39.54,-2.4047,,,0,,,,,,,3.8,-0.96,6.9307,TSE,2020/02/27
2020/01,42.6,43.17,40,40.4,0,16,-4.1972,7.07,"5,488",222,40.3,40.4,-4.2878,,,0,,,,,,,3.71,-1.77,7.5172,TSE,2020/01/31
2019/12,39.82,42.83,39.53,42.17,0,13,5.9014,5.8673,"5,488",231,42.17,42.36,5.734,,,0,,,,,,,3.56,2.35,8.2873,TSE,2019/12/31
2019/11,39.89,42.1,39.62,39.82,0,13,3.2107,5.9585,"5,488",219,39.8,39.82,3.1599,,,0,,,,,,,3.77,-0.21,6.1954,TSE,2019/11/29
2019/10,37.82,40.38,37.73,40.03,0,13,6.8321,5.5778,"5,988",240,40,40.22,6.609,,,0,,,,,,,2.75,2.56,7.0723,TSE,2019/10/31
