0055 元大MSCI金融--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,28.32,29.23,28.08,29.04,3,77,2.1456,3.3746,"79,654","2,313",29.03,29.09,2.1228,,,7,,,,,,,4.06,0.61,4.045,TSE,2025/02/27
2025/01,28.12,28.55,27.6,28.43,3,71,1.2464,3.4699,"72,654","2,066",28.42,28.43,1.2388,,,5,,,,,,,4.15,0.35,3.3832,TSE,2025/01/22
2024/12,27.95,28.93,27.88,28.08,4,102,0.9346,4.922,"72,654","2,040",28.08,28.09,0.9303,,,7,,,,,,,4.2,0.26,3.7743,TSE,2024/12/31
2024/11,28.79,29.68,27.5,27.82,8,218,-0.6038,10.4165,"72,654","2,021",27.82,27.84,-0.6057,,,8,,,,,,,4.24,-1.36,7.4709,TSE,2024/11/29
2024/10,29.37,30.05,29,29.18,3,76,-0.5792,3.6848,"70,154","2,047",29.13,29.19,-0.5808,,,6,,,,,,,2.06,-0.17,3.5775,TSE,2024/10/30
2024/09,28.77,29.8,27.9,29.35,4,127,2.0871,6.3204,"70,154","2,059",29.35,29.4,2.0655,,,6,,,,,,,2.04,0.6,6.6087,TSE,2024/09/30
2024/08,29.2,29.29,26.14,28.75,6,182,-0.9646,9.3074,"69,654","2,003",28.67,28.75,-0.9695,,,8,,,,,,,2.09,-0.28,10.8508,TSE,2024/08/30
2024/07,27.55,29.85,27.55,29.03,11,311,5.3721,14.6917,"73,654","2,138",28.95,29.03,5.2328,,,9,,,,,,,2.07,1.48,8.3485,TSE,2024/07/31
2024/06,26.38,27.89,26.17,27.55,4,117,4.7133,6.3357,"68,154","1,878",27.53,27.58,4.6052,,,7,,,,,,,2.18,1.24,6.5374,TSE,2024/06/28
2024/05,25.58,27.1,25.56,26.31,9,239,2.7734,13.2876,"68,154","1,793",26.3,26.31,2.7355,,,10,,,,,,,2.28,0.71,6.0156,TSE,2024/05/31
2024/04,25.38,25.79,24.2,25.6,10,259,0.8667,14.2168,"72,154","1,847",25.59,25.64,0.8631,,,8,,,,,,,2.34,0.22,6.2648,TSE,2024/04/30
2024/03,23.98,25.45,23.84,25.38,12,297,5.8382,17.5441,"68,154","1,730",25.36,25.38,5.674,,,10,,,,,,,2.36,1.4,6.7139,TSE,2024/03/29
2024/02,23.52,23.98,23.36,23.98,6,149,2.0426,9.254,"68,154","1,634",23.97,23.98,2.0218,,,4,,,,,,,2.5,0.48,2.6383,TSE,2024/02/29
