0056 元大高股息--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,35,37.17,34.92,36.71,602,"21,747",2.5993,5.4818,"10,983,534","403,206",36.71,36.72,2.5659,,,473,,,,,,,10.9,0.93,6.2884,TSE,2025/02/27
2025/01,36.64,37.48,35.3,35.78,"1,072","38,968",0.4988,9.9255,"10,795,534","386,264",35.78,35.79,0.4976,,,691,,,,,,,11.18,-0.9,5.9433,TSE,2025/01/22
2024/12,36.72,37.43,36.25,36.68,611,"22,510",0.2185,6.1393,"9,946,534","364,839",36.68,36.69,0.2184,,,499,,,,,,,10.91,0.08,3.224,TSE,2024/12/31
2024/11,36.99,38.45,35.98,36.6,790,"29,382",-2.1915,8.2724,"9,548,034","349,458",36.59,36.6,-2.2157,,,609,,,,,,,9.99,-0.82,6.6007,TSE,2024/11/29
2024/10,38.7,39.1,37.28,37.42,935,"35,771",-0.4905,10.3617,"9,019,534","337,511",37.41,37.42,-0.4919,,,632,,,,,,,9.77,-1.24,4.7077,TSE,2024/10/30
2024/09,39.11,39.21,36.97,38.66,456,"17,307",-1.0239,5.445,"8,369,034","323,547",38.66,38.67,-1.0294,,,395,,,,,,,9.45,-0.4,5.7348,TSE,2024/09/30
2024/08,38.85,39.16,34.45,39.06,622,"23,144",1.7983,7.6752,"8,099,534","316,368",39.05,39.06,1.7824,,,516,,,,,,,8.47,0.69,12.2752,TSE,2024/08/30
2024/07,41.42,42.77,37.67,38.37,"1,094","44,364",-4.2701,13.8555,"7,896,534","302,990",38.37,38.38,-4.3638,,,796,,,,,,,8.63,-2.75,12.4027,TSE,2024/07/31
2024/06,40.32,41.96,39.8,41.12,373,"15,222",2.9802,5.1369,"7,262,034","298,615",41.11,41.12,2.9367,,,291,,,,,,,8.05,1.19,5.4095,TSE,2024/06/28
2024/05,38.1,40.91,37.94,39.93,426,"16,900",4.2014,5.8666,"7,263,534","290,033",39.93,39.94,4.1156,,,286,,,,,,,7.43,1.61,7.7505,TSE,2024/05/31
