006203 元大MSCI台灣--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,89.3,92.3,88.8,89.75,0,20,-3.9592,2.1237,"10,218",917,89.65,90.2,-4.0399,,,2,,,,,,,3.12,-3.7,3.7453,TSE,2025/02/27
2025/01,90.9,96.25,90.6,93.45,0,13,3.6969,1.3897,"10,218",955,93,93.15,3.6302,,,2,,,,,,,3,1.45,6.1413,TSE,2025/01/22
2024/12,88.3,93.3,88.3,92,0,18,4.4861,1.8693,"10,218",940,91.95,92.3,4.3882,,,2,,,,,,,2.45,3.95,5.6786,TSE,2024/12/31
2024/11,89.55,94.1,87.5,88.05,0,12,-2.3834,1.331,"10,218",900,87.5,88.05,-2.4127,,,2,,,,,,,2.56,-2.15,7.3171,TSE,2024/11/29
2024/10,86.9,94,86.9,90.2,0,17,4.4587,1.8105,"10,218",922,89.95,90.35,4.362,,,2,,,,,,,2.49,3.85,8.2224,TSE,2024/10/30
2024/09,86,90,81.05,86.35,0,13,0.4653,1.5071,"10,218",882,85.45,86.35,0.4642,,,2,,,,,,,2.61,0.4,10.413,TSE,2024/09/30
2024/08,86.65,87,75.8,85.95,0,21,0.7031,2.5347,"10,218",878,85.3,85.95,0.7005,,,3,,,,,,,2.62,0.6,13.1224,TSE,2024/08/30
2024/07,88.5,95.5,84,85.35,0,32,-2.7314,3.4743,"10,218",872,85.25,85.35,-2.7694,,,3,,,,,,,2.64,-3.25,12.9797,TSE,2024/07/31
2024/06,80,89.2,79.55,88.6,0,15,11.3764,1.6931,"10,218",905,88.15,88.5,10.7746,,,2,,,,,,,3.05,9.05,12.1307,TSE,2024/06/28
2024/05,74.1,82.4,74.1,79.55,0,11,5.0859,1.3603,"10,218",813,77.5,79.6,4.9609,,,2,,,,,,,3.39,3.85,10.9643,TSE,2024/05/31
2024/04,75.9,77.6,71.4,75.7,0,11,0.6649,1.4974,"10,218",774,74.6,75.5,0.6627,,,2,,,,,,,3.57,0.5,8.2447,TSE,2024/04/30
2024/03,69.5,75.3,68.85,75.2,0,18,9.3025,2.4369,"10,218",768,75.05,75.15,8.8946,,,2,,,,,,,3.59,6.4,9.375,TSE,2024/03/29
2024/02,64.75,69.3,64.75,68.8,0,11,5.8463,1.5463,"10,218",703,68.95,69.2,5.6815,,,1,,,,,,,3.92,3.8,7,TSE,2024/02/29
2024/01,65.55,65.9,61.8,65,0,19,1.0354,2.8968,"10,218",664,64.9,65.1,1.03,,,2,,,,,,,4.15,-1.2,6.1934,TSE,2024/01/31
2023/12,63.8,66.4,63.3,66.2,0,7,3.6806,1.1059,"10,218",676,66.05,66.25,3.6144,,,14,,,,,,,2.92,2.35,4.8551,TSE,2023/12/29
2023/11,59,64.1,59,63.85,0,7,8.2204,1.1059,"10,218",652,63.85,63.9,7.8998,,,15,,,,,,,3.02,4.85,8.6441,TSE,2023/11/30
2023/10,60.45,61.8,58.8,59,0,5,-1.0895,0.734,"10,218",603,58.55,58.85,-1.0958,,,14,,,,,,,3.27,-0.65,5.0293,TSE,2023/10/31
2023/09,60.8,61.85,59.2,59.65,0,6,-2.2132,0.8021,"12,218",729,59.15,59.7,-2.238,,,12,,,,,,,3.24,-1.35,4.3443,TSE,2023/09/28
2023/08,63.45,63.45,59.8,61,0,7,-3.2513,0.8758,"12,218",745,60.55,60.95,-3.3056,,,17,,,,,,,3.16,-2.05,5.7891,TSE,2023/08/31
2023/07,62.95,64.9,61.8,63.05,0,10,2.2223,1.3014,"12,218",770,62.45,63.4,2.1981,,,16,,,,,,,3.06,0.5,4.956,TSE,2023/07/31
2023/06,60.1,63.85,60.1,62.55,0,10,3.3884,1.3505,"12,218",764,62.35,62.55,3.3321,,,14,,,,,,,3.29,2.05,6.1983,TSE,2023/06/30
2023/05,56.8,61.35,56.3,60.5,0,11,6.5141,1.5551,"12,218",739,59.15,60.8,6.3107,,,15,,,,,,,3.41,3.7,8.8908,TSE,2023/05/31
2023/04,58.3,58.65,55.7,56.8,0,9,-3.3192,1.2359,"12,218",694,56.3,57.15,-3.3753,,,13,,,,,,,3.63,-1.95,5.0213,TSE,2023/04/28
2023/03,57.35,58.9,56.25,58.75,0,7,1.9079,1.0476,"12,218",718,58.55,58.8,1.8901,,,19,,,,,,,3.51,1.1,4.5967,TSE,2023/03/31
2023/02,57.4,58.8,56.75,57.65,0,6,1.4965,0.8512,"12,218",704,57.35,57.6,1.4853,,,14,,,,,,,3.57,0.85,3.6092,TSE,2023/02/24
2023/01,52.6,58.5,52.6,56.8,0,5,9.0389,0.7448,"12,218",694,56.65,57,8.6536,,,8,,,,,,,3.63,3.6,11.0902,TSE,2023/01/31
2022/12,57.2,57.2,52.4,53.2,0,6,-5.3381,0.8676,"12,218",650,53.05,53.15,-5.4858,,,17,,,,,,,3.05,-3,8.5409,TSE,2022/12/30
2022/11,48.5,56.45,47.98,56.2,0,10,16.5008,1.6042,"12,218",687,55.95,56.1,15.2728,,,15,,,,,,,2.89,7.96,17.558,TSE,2022/11/30
2022/10,50.15,52.75,47,48.24,0,11,-4.6643,1.8006,"12,218",589,47.83,48.17,-4.7763,,,12,,,,,,,3.37,-2.36,11.3636,TSE,2022/10/31
2022/09,56.3,56.55,50.15,50.6,0,7,-11.3059,1.0241,"11,718",593,50.75,51,-11.9976,,,15,,,,,,,3.21,-6.45,11.2182,TSE,2022/09/30
2022/08,56.45,58.95,55.7,57.05,0,7,0.2635,1.0667,"11,718",669,56.75,57.3,0.2632,,,17,,,,,,,2.85,0.15,5.7118,TSE,2022/08/31
2022/07,55,57.7,52.6,56.9,0,13,2.7691,1.9713,"11,718",667,56.75,56.9,2.7315,,,16,,,,,,,2.86,0.7,9.0747,TSE,2022/07/29
2022/06,62,62.3,56.15,56.2,0,11,-9.2817,1.5361,"11,718",659,56.1,56.2,-9.7411,,,15,,,,,,,2.83,-5.75,9.9274,TSE,2022/06/30
2022/05,61.35,61.95,58.2,61.95,0,10,0.8138,1.4422,"11,718",726,62.35,63.2,0.8105,,,16,,,,,,,2.57,0.5,6.1025,TSE,2022/05/31
2022/04,65.6,65.65,60.2,61.45,0,10,-7.3152,1.3228,"11,718",720,61.4,61.55,-7.5967,,,12,,,,,,,2.59,-4.85,8.2202,TSE,2022/04/29
2022/03,66.4,67.4,62.7,66.3,0,13,0.0753,1.6641,"11,718",777,66.25,66.45,0.0753,,,2,,,,,,,2.4,0.05,7.0943,TSE,2022/03/31
2022/02,67.75,69.45,66,66.25,0,14,-1.9244,1.7324,"11,718",776,66.15,66.8,-1.9433,,,0,,,,,,,2.4,-1.3,5.1073,TSE,2022/02/25
2022/01,70.1,72.45,67.3,67.55,0,13,-1.6553,1.5702,"11,718",792,67.45,67.55,-1.6691,,,0,,,,,,,2.35,-2.55,7.3466,TSE,2022/01/26
2021/12,67.1,70.1,67.1,70.1,0,9,5.5723,1.1009,"11,718",821,69.85,70,5.4226,,,0,,,,,,,1.29,3.7,4.5181,TSE,2021/12/30
2021/11,65.15,68.65,65.15,66.4,0,11,1.9186,1.4252,"11,718",778,66.15,66.7,1.9005,,,0,,,,,,,1.36,1.25,5.3722,TSE,2021/11/30
2021/10,63.8,65.75,62.9,65.15,0,10,-0.3822,1.2715,"11,718",763,65.05,65.2,-0.3832,,,0,,,,,,,1.39,-0.25,4.3578,TSE,2021/10/29
2021/09,67,68.3,64.6,65.4,0,7,-2.0957,0.8961,"11,718",766,64.6,64.85,-2.1178,,,0,,,,,,,1.38,-1.4,5.5389,TSE,2021/09/30
2021/08,65.3,66.8,62.1,66.8,0,8,2.8482,1.1476,"10,718",716,66.6,66.9,2.8086,,,0,,,,,,,1.35,1.85,7.2363,TSE,2021/08/31
2021/07,66.1,67.6,63.8,64.95,0,10,-1.751,1.4648,"10,718",696,64.7,64.95,-1.7667,,,0,,,,,,,1.39,-1.35,5.7315,TSE,2021/07/30
2021/06,65.15,66.35,64.1,66.3,0,7,2.3148,0.9423,"10,718",711,66.1,66.3,2.2883,,,0,,,,,,,2.16,1.5,3.4722,TSE,2021/06/30
2021/05,65.65,65.85,58.65,64.8,0,13,-3.5717,1.9873,"10,718",695,64.95,65.15,-3.6366,,,0,,,,,,,2.21,-2.4,10.7143,TSE,2021/05/31
2021/04,63.85,67.4,63.85,67.2,0,8,5.1644,1.1943,"10,718",720,66.85,67.2,5.0354,,,0,,,,,,,2.13,3.3,5.5556,TSE,2021/04/29
2021/03,63,63.9,60.8,63.9,0,9,2.3217,1.2689,"10,718",685,63.35,63.6,2.2954,,,0,,,,,,,2.24,1.45,4.964,TSE,2021/03/31
2021/02,59.95,65.7,59.85,62.45,0,11,4.1701,1.6234,"10,718",669,62.4,64,4.0855,,,0,,,,,,,2.29,2.5,9.7581,TSE,2021/02/26
2021/01,57.4,65.95,57.4,59.95,0,20,7.2564,2.9763,"10,718",643,59.95,60.1,7.0052,,,0,,,,,,,2.39,3.05,15.0264,TSE,2021/01/29
2020/12,53.4,56.9,52.75,56.9,0,8,7.7649,1.4368,"10,718",610,56.8,57.35,7.4783,,,0,,,,,,,2.07,4.1,7.8598,TSE,2020/12/31
2020/11,47.7,54,47.57,52.8,0,13,9.7256,2.4072,"10,718",566,52.35,52.9,9.2813,,,0,,,,,,,2.23,4.68,13.3624,TSE,2020/11/30
2020/10,48.75,50.15,48.12,48.12,0,9,-0.1451,1.8007,"10,718",516,47.96,48.2,-0.1454,,,0,,,,,,,2.45,-0.07,4.2125,TSE,2020/10/30
2020/09,48.45,50.05,46.54,48.19,0,6,0.3332,1.2222,"10,718",517,48,48.19,0.3326,,,0,,,,,,,2.45,0.16,7.3079,TSE,2020/09/30
2020/08,48.77,49.8,47.8,48.03,0,12,-1.6786,2.3605,"10,718",515,47.9,47.94,-1.6928,,,0,,,,,,,2.46,-0.82,4.0942,TSE,2020/08/31
2020/07,42.78,50.85,42.64,48.85,1,30,16.0967,5.8686,"10,718",524,48.85,48.9,14.9251,,,0,,,,,,,2.42,6.52,19.3952,TSE,2020/07/31
2020/06,39.87,42.77,39.85,42.33,0,11,7.5455,2.1761,"11,718",496,42.23,42.33,7.2746,,,0,,,,,,,4.25,2.97,7.4187,TSE,2020/06/30
2020/05,39.04,39.97,38.94,39.36,1,24,-1.5507,5.1203,"11,718",461,39.33,39.4,-1.5629,,,0,,,,,,,4.57,-0.62,2.5763,TSE,2020/05/29
2020/04,35.74,39.98,35.5,39.98,0,10,12.5247,2.4871,"11,218",448,40.1,40.25,11.8002,,,0,,,,,,,4.5,4.45,12.6091,TSE,2020/04/30
2020/03,41.15,41.88,31.8,35.53,0,6,-14.1579,1.5488,"10,718",381,35.5,35.72,-15.2662,,,0,,,,,,,5.07,-5.86,24.3537,TSE,2020/03/31
2020/02,41.38,43.6,41.06,41.39,0,6,-2.1513,1.3995,"10,718",444,41.36,41.45,-2.1749,,,0,,,,,,,4.35,-0.91,6.0047,TSE,2020/02/27
2020/01,45.34,46.05,42.03,42.3,0,10,-3.7444,2.0433,"10,718",453,42.2,,-3.8163,,,0,,,,,,,4.26,-3.1,8.8546,TSE,2020/01/31
2019/12,42.87,45.83,42.78,45.4,0,3,5.9015,0.7091,"10,718",487,45.08,45.35,5.7338,,,0,,,,,,,2.2,2.53,7.1145,TSE,2019/12/31
2019/11,41.95,43.61,41.95,42.87,0,6,2.1685,1.2036,"10,718",459,42.83,42.93,2.1456,,,0,,,,,,,2.33,0.91,3.9561,TSE,2019/11/29
2019/10,40,41.96,39.85,41.96,0,6,5.826,1.4648,"10,718",450,41.92,42.2,5.6625,,,0,,,,,,,2.38,2.31,5.3216,TSE,2019/10/31
2019/09,38.27,40.16,38.23,39.65,0,11,5.3958,2.5938,"10,718",425,39.65,39.72,5.2554,,,0,,,,,,,2.52,2.03,5.1302,TSE,2019/09/27
