006208 富邦台50--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,114.5,116.7,112.55,113.15,268,"30,708",-4.434,14.6821,"1,828,040","206,843",113.15,113.2,-4.5353,,,527,,,,,,,1.49,-5.25,3.5051,TSE,2025/02/27
2025/01,113.65,119.6,112.25,118.4,222,"25,551",3.7686,13.151,"1,687,540","199,805",118.35,118.4,3.6992,,,381,,,,,,,1.42,4.3,6.4417,TSE,2025/01/22
2024/12,109.4,115.45,109.35,114.1,190,"21,599",5.404,11.6372,"1,636,040","186,672",114.05,114.1,5.2632,,,355,,,,,,,1.48,5.85,5.6351,TSE,2024/12/31
2024/11,109.7,116.9,107.05,108.25,313,"34,991",-2.734,19.5085,"1,602,540","173,475",108.2,108.25,-2.7722,,,588,,,,,,,1.55,-3.95,8.779,TSE,2024/11/29
2024/10,107.55,117.2,107.05,112.2,236,"26,751",4.3722,16.5931,"1,425,040","159,889",112.2,112.3,4.2793,,,344,,,,,,,1.36,4.7,9.4419,TSE,2024/10/30
2024/09,106.45,111.85,99.6,107.5,178,"18,527",1.6549,13.4298,"1,323,540","142,281",107.5,107.55,1.6411,,,335,,,,,,,1.41,1.75,11.5839,TSE,2024/09/30
2024/08,108.1,108.35,93.55,105.75,273,"27,642",0.0947,21.5526,"1,266,040","133,884",105.7,105.75,0.0945,,,430,,,,,,,1.44,0.1,14.0085,TSE,2024/08/30
2024/07,109.25,119.35,103.6,105.65,285,"31,813",-2.5932,25.0478,"1,139,040","120,340",105.6,105.65,-2.6276,,,499,,,,,,,1.44,-3.55,14.4231,TSE,2024/07/31
2024/06,99,110.95,97.3,109.2,149,"15,694",12.0001,14.8107,"1,003,540","109,587",109.15,109.2,11.3328,,,216,,,,,,,2.03,11.7,14,TSE,2024/06/28
2024/05,92.2,101.55,91.3,97.5,106,"10,365",5.178,11.1957,"949,540","92,580",97.45,97.5,5.0483,,,186,,,,,,,2.27,4.8,11.0572,TSE,2024/05/31
