00690 兆豐臺灣藍籌30--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,35.75,36.55,34.95,35.2,25,881,-1.5897,28.5393,"86,330","3,039",35.19,35.2,-1.6028,,,15,,,,,,,10.18,-1.27,4.3872,TSE,2025/02/27
2025/01,35.27,36.57,34.67,36.47,15,543,3.0227,19.1907,"79,330","2,893",36.46,36.47,2.9779,,,8,,,,,,,9.41,1.07,5.3672,TSE,2025/01/22
2024/12,33.51,35.7,33.51,35.4,17,585,6.4981,20.9633,"79,830","2,826",35.4,35.41,6.2958,,,9,,,,,,,9.7,2.16,6.5884,TSE,2024/12/31
2024/11,34.35,36.18,32.71,33.24,32,"1,104",-2.8268,38.3151,"83,330","2,770",33.24,33.25,-2.8676,,,18,,,,,,,10.33,-1.77,9.9115,TSE,2024/11/29
2024/10,34,36.08,33.84,35.01,22,764,3.427,30.2603,"71,830","2,515",35,35.01,3.3696,,,10,,,,,,,9.09,1.16,6.6174,TSE,2024/10/30
2024/09,34.5,35.4,32.11,33.85,19,626,-1.2834,27.2486,"68,330","2,313",33.82,33.85,-1.2913,,,12,,,,,,,9.4,-0.44,9.5946,TSE,2024/09/30
2024/08,35.55,35.55,30.57,34.29,35,"1,170",1.9387,52.964,"66,330","2,274",34.28,34.29,1.9202,,,19,,,,,,,9.28,-0.33,14.3847,TSE,2024/08/30
2024/07,35.7,38.42,33.88,34.62,26,949,-3.0523,44.615,"58,830","2,037",34.61,34.62,-3.1,,,13,,,,,,,9.2,-1.09,12.7135,TSE,2024/07/31
2024/06,32.74,36.11,32.39,35.71,20,676,9.9785,37.7107,"52,330","1,869",35.7,35.71,9.5114,,,11,,,,,,,7.65,3.24,11.4567,TSE,2024/06/28
2024/05,31.75,33.52,31.36,32.47,43,"1,404",5.0307,77.7664,"55,830","1,813",32.47,32.49,4.908,,,24,,,,,,,8.42,0.69,6.7967,TSE,2024/05/31
2024/04,32.15,32.95,30.14,31.78,20,621,-1.1816,42.9348,"45,830","1,456",31.76,31.78,-1.1887,,,7,,,,,,,6.92,-0.38,8.7376,TSE,2024/04/30
2024/03,31.58,32.3,30.75,32.16,37,"1,179",4.6397,82.1796,"45,330","1,458",32.16,32.19,4.5355,,,11,,,,,,,6.84,0.68,4.9238,TSE,2024/03/29
2024/02,29.01,31.5,28.9,31.48,25,763,8.7769,47.3046,"52,830","1,663",31.47,31.48,8.4127,,,11,,,,,,,6.99,2.54,8.9841,TSE,2024/02/29
2024/01,29.36,29.36,27.92,28.94,14,389,-1.2959,32.7728,"41,330","1,196",28.93,28.94,-1.3045,,,7,,,,,,,8.12,-0.38,4.9113,TSE,2024/01/31
2023/12,28.49,29.41,28.25,29.32,15,443,2.7688,36.8563,"41,830","1,226",29.32,29.34,2.7313,,,17,,,,,,,8.02,0.79,4.0659,TSE,2023/12/29
2023/11,27.3,29.25,27.17,28.53,28,804,9.0605,61.1979,"45,830","1,308",28.53,28.54,8.6729,,,24,,,,,,,8.24,1.45,7.6809,TSE,2023/11/30
2023/10,27.04,27.93,26.8,27.08,9,235,0.3706,21.0213,"40,830","1,106",27.08,27.11,0.3702,,,15,,,,,,,9.97,0.1,4.1883,TSE,2023/10/31
2023/09,27.07,27.75,26.8,26.98,6,168,-0.3692,15.6751,"39,330","1,061",26.88,26.92,-0.37,,,13,,,,,,,10.01,-0.1,3.5081,TSE,2023/09/28
2023/08,27.6,27.77,26.34,27.08,8,207,-1.4915,18.7142,"40,830","1,106",27.07,27.08,-1.5028,,,15,,,,,,,9.97,-0.41,5.2019,TSE,2023/08/31
2023/07,27.58,27.8,27.12,27.49,10,267,-0.2539,23.4188,"41,330","1,136",27.49,27.5,-0.2541,,,16,,,,,,,9.82,-0.07,2.4673,TSE,2023/07/31
2023/06,27.08,28.14,26.95,27.56,18,485,1.6974,38.0445,"46,330","1,277",27.55,27.56,1.6831,,,17,,,,,,,9.8,0.46,4.3911,TSE,2023/06/30
2023/05,27.09,28.38,26.54,27.1,57,"1,570",4.7571,95.3518,"59,830","1,621",27.08,27.1,4.6473,,,38,,,,,,,9.96,-0.22,6.735,TSE,2023/05/31
2023/04,27.67,27.94,26.5,27.32,4,96,-1.9031,17.7105,"19,830",542,27.32,27.38,-1.9214,,,11,,,,,,,8.78,-0.53,5.1706,TSE,2023/04/28
