00692 富邦公司治理--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,44.74,45.88,44.16,44.69,42,"1,918",-3.7891,6.0499,"702,280","31,385",44.68,44.69,-3.863,,,51,,,,,,,2.27,-1.76,3.7029,TSE,2025/02/27
2025/01,44.91,47.05,44.27,46.45,37,"1,680",3.2453,5.3184,"693,780","32,226",46.45,46.46,3.1937,,,38,,,,,,,2.19,1.46,6.1792,TSE,2025/01/22
2024/12,43.51,45.55,43.51,44.99,41,"1,821",4.0472,5.8587,"692,780","31,168",44.98,44.99,3.9674,,,40,,,,,,,2.26,1.75,4.7179,TSE,2024/12/31
2024/11,43.86,46.58,42.59,43.24,70,"3,129",-2.4448,10.1464,"690,780","29,869",43.23,43.24,-2.4755,,,65,,,,,,,2.35,-1.69,8.8805,TSE,2024/11/29
2024/10,43.05,46.91,42.98,44.93,50,"2,247",4.3913,7.3756,"674,280","30,295",44.93,44.94,4.2977,,,45,,,,,,,2.25,1.89,9.131,TSE,2024/10/30
2024/09,42.52,44.79,40,43.04,48,"2,035",1.5335,7.1473,"675,280","29,064",43.03,43.04,1.5216,,,48,,,,,,,2.35,0.65,11.2998,TSE,2024/09/30
2024/08,43.49,43.52,37.58,42.39,83,"3,406",-0.3759,12.2887,"674,280","28,583",42.39,42.4,-0.3768,,,68,,,,,,,2.39,-0.16,13.96,TSE,2024/08/30
2024/07,44.22,47.62,41.8,42.55,101,"4,538",-2.9098,15.2363,"664,280","28,265",42.54,42.55,-2.9532,,,81,,,,,,,2.38,-1.67,13.1615,TSE,2024/07/31
2024/06,40.55,44.9,39.98,44.22,76,"3,226",10.5498,11.556,"657,280","29,065",44.22,44.23,10.0297,,,52,,,,,,,4.06,4.22,12.3,TSE,2024/06/28
2024/05,38.04,41.44,37.66,40,56,"2,232",4.7395,8.5749,"653,780","26,151",40,40.01,4.6305,,,43,,,,,,,4.49,1.81,9.8979,TSE,2024/05/31
