00713 元大台灣高息低波--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,53.35,55.25,53,54.95,194,"10,522",2.5188,8.2828,"2,337,012","128,419",54.95,55,2.4875,,,157,,,,,,,9.75,1.35,4.1978,TSE,2025/02/27
2025/01,53.1,53.9,52.2,53.6,138,"7,337",0.8468,6.0585,"2,278,512","122,128",53.55,53.6,0.8431,,,158,,,,,,,9.85,0.45,3.1985,TSE,2025/01/22
2024/12,55.35,56.3,53.15,53.15,282,"15,476",-0.7681,12.7418,"2,212,512","117,595",53.15,53.2,-0.7712,,,308,,,,,,,9.93,-1.8,5.7325,TSE,2024/12/31
2024/11,56.25,56.8,54.5,54.95,301,"16,816",-3.2571,14.5728,"2,067,012","113,582",54.95,55,-3.3114,,,348,,,,,,,9.61,-1.85,4.0493,TSE,2024/11/29
2024/10,57.4,57.8,56.45,56.8,205,"11,676",-1.0452,10.7426,"1,907,512","108,347",56.75,56.8,-1.0507,,,230,,,,,,,8.17,-0.6,2.3519,TSE,2024/10/30
2024/09,58.65,58.7,56.6,57.4,297,"17,108",1.1477,16.4558,"1,805,512","103,636",57.35,57.4,1.141,,,261,,,,,,,8.08,-0.85,3.6052,TSE,2024/09/30
2024/08,57.6,58.45,53.1,58.25,242,"13,609",1.8355,15.0434,"1,605,512","93,521",58.25,58.3,1.8191,,,202,,,,,,,7.97,1.05,9.3531,TSE,2024/08/30
2024/07,57.95,59.4,56.45,57.2,287,"16,678",-0.9526,19.177,"1,497,012","85,629",57.15,57.2,-0.957,,,258,,,,,,,6.82,-0.55,5.1082,TSE,2024/07/31
2024/06,57.85,59.7,57.45,57.75,310,"18,131",3.1985,22.6796,"1,369,012","79,060",57.75,57.8,3.1483,,,243,,,,,,,6.75,0.35,3.9199,TSE,2024/06/28
2024/05,56.15,58.25,56,57.4,123,"7,044",2.1357,10.474,"1,172,512","67,302",57.4,57.45,2.1126,,,126,,,,,,,5.51,1.2,4.0036,TSE,2024/05/31
2024/04,54.55,56.4,53.6,56.2,102,"5,571",3.0248,9.169,"1,108,012","62,270",56.2,56.25,2.98,,,103,,,,,,,5.62,1.65,5.1329,TSE,2024/04/30
2024/03,51.5,55.3,51.35,54.55,136,"7,298",7.9646,12.6609,"1,076,012","58,696",54.55,54.6,7.6634,,,123,,,,,,,5.79,3.2,7.6923,TSE,2024/03/29
2024/02,50.05,51.55,49.69,51.35,73,"3,701",2.8234,6.7435,"1,081,012","55,510",51.3,51.35,2.7841,,,68,,,,,,,5.92,1.41,3.7245,TSE,2024/02/29
2024/01,50.45,50.5,48.88,49.94,120,"5,943",-0.9128,11.1966,"1,068,512","53,361",49.94,49.95,-0.917,,,141,,,,,,,6.09,-0.46,3.2143,TSE,2024/01/31
