00728 第一金工業30--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,31.94,33.4,31.53,32.65,3,103,-0.3662,6.6529,"47,423","1,548",32.65,32.71,-0.3669,,,4,,,,,,,2.71,-0.12,5.7064,TSE,2025/02/27
2025/01,32.33,33.07,31.2,32.77,4,117,1.0171,7.5088,"48,423","1,587",32.77,32.78,1.012,,,3,,,,,,,2.7,0.33,5.7645,TSE,2025/01/22
2024/12,31.86,33.1,31.47,32.44,6,193,5.2067,12.1783,"48,923","1,587",32.47,32.48,5.0756,,,5,,,,,,,2.73,0.86,5.1615,TSE,2024/12/31
2024/11,31.81,33.63,31.04,31.58,3,111,-2.7411,6.9947,"48,923","1,545",31.56,31.58,-2.7792,,,3,,,,,,,4.32,-0.89,7.9766,TSE,2024/11/29
2024/10,32.1,33.88,31.97,32.47,4,131,1.3736,8.1311,"48,923","1,589",32.45,32.51,1.3642,,,3,,,,,,,4.2,0.44,5.9632,TSE,2024/10/30
2024/09,32.58,33.19,30.5,32.03,3,84,-1.5975,5.2521,"49,923","1,599",32,32.04,-1.6104,,,3,,,,,,,4.26,-0.52,8.2642,TSE,2024/09/30
2024/08,31.96,32.78,28.26,32.55,7,206,4.1933,13.1709,"50,923","1,658",32.52,32.53,4.1077,,,5,,,,,,,4.19,1.31,14.4686,TSE,2024/08/30
2024/07,32.84,34.61,30.73,31.24,14,449,-4.9008,25.2304,"53,923","1,685",31.21,31.22,-5.0255,,,6,,,,,,,4.37,-1.61,11.8113,TSE,2024/07/31
2024/06,30.62,33.08,30.21,32.85,10,304,8.8109,17.0824,"55,923","1,837",32.78,32.85,8.4441,,,5,,,,,,,4.15,2.66,9.5065,TSE,2024/06/28
2024/05,29.45,31.31,29.37,30.19,10,318,1.1729,18.2122,"57,423","1,734",30.17,30.19,1.1658,,,5,,,,,,,4.52,0.35,6.5013,TSE,2024/05/31
