00730 富邦臺灣優質高息--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,22.95,24.14,22.88,23.9,7,172,2.8781,8.9314,"81,544","1,949",23.86,23.9,2.8374,,,9,,,,,,,4.82,0.57,5.4008,TSE,2025/02/27
2025/01,22.75,23.53,22.5,23.33,6,138,2.934,6.9121,"86,544","2,019",23.33,23.35,2.8919,,,7,,,,,,,4.92,0.58,4.5275,TSE,2025/01/22
2024/12,21.94,22.75,21.94,22.75,10,230,4.5692,11.4737,"89,544","2,037",22.65,22.75,4.4678,,,8,,,,,,,5.14,0.91,3.7088,TSE,2024/12/31
2024/11,22,22.36,21.45,21.84,9,195,-1.3994,9.617,"92,544","2,021",21.84,21.91,-1.4095,,,9,,,,,,,5.95,-0.31,4.1084,TSE,2024/11/29
2024/10,23.33,24.14,22.08,22.15,32,750,0.3817,34.0681,"94,044","2,083",22.15,22.19,0.3812,,,18,,,,,,,5.87,-1.18,8.8298,TSE,2024/10/30
2024/09,23.05,23.83,21.91,23.33,10,225,1.2146,12.373,"79,544","1,856",23.33,23.34,1.2074,,,9,,,,,,,4.87,0.28,8.3297,TSE,2024/09/30
2024/08,22.91,23.37,19.83,23.05,6,140,1.3187,8.305,"76,544","1,764",23.04,23.05,1.31,,,7,,,,,,,4.93,0.3,15.5604,TSE,2024/08/30
2024/07,23.52,24.13,22.42,22.75,4,91,-3.1914,4.9412,"78,544","1,787",22.75,22.83,-3.2434,,,5,,,,,,,4.99,-0.75,7.2766,TSE,2024/07/31
2024/06,22.15,23.54,22.06,23.5,5,110,6.4792,6.1456,"78,544","1,846",23.46,23.5,6.2782,,,5,,,,,,,4.83,1.43,6.7059,TSE,2024/06/28
2024/05,22.1,22.4,21.67,22.07,5,118,-0.7644,6.8267,"78,544","1,733",22,22.03,-0.7673,,,5,,,,,,,5.15,-0.17,3.2824,TSE,2024/05/31
2024/04,22.87,23.22,21.63,22.24,6,124,-2.7548,6.9999,"78,544","1,747",22.23,22.24,-2.7934,,,5,,,,,,,5.11,-0.63,6.9523,TSE,2024/04/30
2024/03,21.48,23.65,21.48,22.87,16,359,6.6197,19.6874,"80,544","1,842",22.79,22.87,6.4102,,,10,,,,,,,4.97,1.42,10.1166,TSE,2024/03/29
