00731 復華富時高息低波--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,66.5,68.8,65.85,68.3,24,"1,594",1.4656,36.8877,"64,100","4,378",68.3,68.35,1.4549,,,16,,,,,,,12.23,0.4,4.3446,TSE,2025/02/27
2025/01,67.6,68.15,64.9,67.9,14,967,0.3695,20.9378,"69,100","4,692",67.85,67.9,0.3688,,,14,,,,,,,15.24,0.25,4.8041,TSE,2025/01/22
2024/12,68.1,69,66.85,67.65,18,"1,245",0.2223,28.1014,"65,100","4,404",67.6,67.65,0.222,,,17,,,,,,,15.3,0.15,3.1852,TSE,2024/12/31
2024/11,72,74,66.8,67.5,38,"2,699",-4.8661,59.7579,"63,600","4,293",67.5,67.55,-4.9884,,,32,,,,,,,15.33,-5.9,9.8093,TSE,2024/11/29
2024/10,73.35,74.85,72.5,73.4,18,"1,291",0.5478,38.4386,"45,600","3,347",73.4,73.45,0.5464,,,13,,,,,,,11.65,0.4,3.2192,TSE,2024/10/30
2024/09,73.4,74.35,69.3,73,21,"1,511",-0.2053,48.8237,"43,100","3,146",72.95,73,-0.2052,,,22,,,,,,,11.71,-0.15,6.9036,TSE,2024/09/30
2024/08,78.2,78.35,70,73.15,40,"2,988",-0.8275,98.5074,"40,600","2,970",73.1,73.15,-0.8308,,,39,,,,,,,11.69,-4,10.8231,TSE,2024/08/30
2024/07,77.9,81.4,75.55,77.15,19,"1,481",-0.8355,73.4922,"25,600","1,975",77.1,77.15,-0.839,,,11,,,,,,,7.45,-0.65,7.5193,TSE,2024/07/31
2024/06,74.65,79.2,73.75,77.8,23,"1,736",5.4202,94.1494,"24,100","1,875",77.8,77.85,5.2782,,,26,,,,,,,7.39,4,7.3848,TSE,2024/06/28
2024/05,74.45,78.05,73.4,73.8,39,"2,959",2.6362,133.7216,"29,100","2,148",73.8,73.85,2.602,,,32,,,,,,,7.79,-1.4,6.1835,TSE,2024/05/31
2024/04,75.45,76.3,71.5,75.2,12,903,-0.3974,89.4044,"13,600","1,023",75.15,75.2,-0.398,,,4,,,,,,,3.92,-0.3,6.3576,TSE,2024/04/30
2024/03,68.8,75.8,68.55,75.5,14,996,10.0583,105.5267,"13,100",989,75.5,75.6,9.584,,,5,,,,,,,3.91,6.9,10.5685,TSE,2024/03/29
2024/02,68.75,70.75,67.9,68.6,9,660,1.5419,67.1702,"14,100",967,68.45,68.6,1.5301,,,4,,,,,,,4.3,-0.15,4.1455,TSE,2024/02/29
2024/01,69.75,69.8,66.2,68.75,13,893,-1.2212,93.0284,"14,100",969,68.75,68.85,-1.2289,,,5,,,,,,,3.37,-0.85,5.1724,TSE,2024/01/31
2023/12,65.95,69.8,65.65,69.6,13,902,5.2952,94.7872,"14,100",981,69.65,69.7,5.1593,,,4,,,,,,,3.33,3.5,6.2784,TSE,2023/12/29
2023/11,62.5,67.05,62.5,66.1,12,808,7.504,87.383,"14,100",932,66.1,66.15,7.236,,,4,,,,,,,3.51,3.6,7.28,TSE,2023/11/30
2023/10,66,67.3,62.5,62.5,12,780,-4.8706,76.9231,"15,600",975,62.45,62.5,-4.9935,,,5,,,,,,,1.95,-3.2,7.3059,TSE,2023/10/31
2023/09,67.2,67.65,65.1,65.7,11,746,-2.1595,72,"15,600","1,025",65.65,65.7,-2.1829,,,4,,,,,,,1.86,-1.45,3.7975,TSE,2023/09/28
