00733 富邦臺灣中小--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,48.64,52.75,47.77,50.7,39,"1,964",0.5952,24.561,"157,966","8,009",50.7,50.85,0.5934,,,49,,,,,,,8.87,0.3,9.881,TSE,2025/02/27
2025/01,52.6,53.05,49.48,50.4,22,"1,141",-4.4552,15.1307,"148,466","7,483",50.4,50.45,-4.5573,,,43,,,,,,,8.92,-2.35,6.7678,TSE,2025/01/22
2024/12,54,55.3,51.8,52.75,21,"1,099",-0.9392,14.5401,"141,966","7,489",52.75,52.8,-0.9434,,,44,,,,,,,8.53,-0.5,6.5728,TSE,2024/12/31
2024/11,52.65,55.8,52,53.25,21,"1,133",-0.3743,14.8721,"141,466","7,533",53.25,53.45,-0.375,,,33,,,,,,,8.45,-0.2,7.1094,TSE,2024/11/29
2024/10,55.2,56.35,52.7,53.45,26,"1,419",-0.6688,18.6744,"138,966","7,428",53.45,53.5,-0.6711,,,49,,,,,,,8.41,-1.65,6.6243,TSE,2024/10/30
2024/09,57,57,51.65,55.1,28,"1,502",-2.3912,20.3161,"135,966","7,492",55.05,55.1,-2.4207,,,35,,,,,,,11.53,-1.35,9.4774,TSE,2024/09/30
2024/08,56.45,57.05,45.69,56.45,44,"2,275",2.3572,32.5612,"133,966","7,562",56.45,56.5,2.3298,,,50,,,,,,,11.25,1.3,20.5984,TSE,2024/08/30
2024/07,60,61.4,54.2,55.15,50,"2,939",-8.0834,38.635,"128,966","7,112",55.1,55.15,-8.4288,,,52,,,,,,,11.52,-4.85,12,TSE,2024/07/31
2024/06,58.9,61.05,58.5,60,39,"2,338",2.5642,27.8936,"140,466","8,428",59.95,60,2.5317,,,39,,,,,,,10.59,1.5,4.359,TSE,2024/06/28
2024/05,58.25,59.4,57,58.5,55,"3,226",0.4292,38.2517,"144,966","8,481",58.45,58.5,0.4282,,,82,,,,,,,10.86,0.25,4.1202,TSE,2024/05/31
2024/04,64.2,66.7,55.4,58.25,136,"8,493",-1.1259,100.7928,"134,466","7,833",58.25,58.3,-1.1322,,,100,,,,,,,10.91,-5.8,17.6425,TSE,2024/04/30
2024/03,61.65,65.7,61.65,64.05,52,"3,320",4.1462,86.7808,"59,966","3,841",64,64.05,4.0626,,,38,,,,,,,2.73,2.55,6.5854,TSE,2024/03/29
2024/02,57.85,62.3,57.8,61.5,29,"1,763",6.4016,47.3302,"61,466","3,780",61.45,61.6,6.205,,,23,,,,,,,2.84,3.7,7.7855,TSE,2024/02/29
2024/01,57.95,58.7,56.3,57.8,51,"2,921",0.4345,90.1056,"56,466","3,264",57.8,57.85,0.4333,,,35,,,,,,,3.03,0.25,4.1703,TSE,2024/01/31
2023/12,55.7,58.8,55.25,57.55,21,"1,211",3.0437,56.7768,"37,466","2,156",57.5,57.55,2.9984,,,15,,,,,,,3.04,1.7,6.3563,TSE,2023/12/29
2023/11,49.82,56.45,49.14,55.85,14,759,13.3781,40.3288,"35,466","1,981",55.85,55.9,12.5555,,,13,,,,,,,3.13,6.59,14.8396,TSE,2023/11/30
2023/10,57.1,58,49.14,49.26,14,726,-10.7667,39.0951,"34,966","1,722",49.25,49.33,-11.3917,,,21,,,,,,,3.55,-7.24,15.6814,TSE,2023/10/31
2023/09,59.05,59.3,52.75,56.5,11,631,-4.5608,38.1423,"29,466","1,665",56.45,56.5,-4.6681,,,15,,,,,,,1.94,-2.7,11.0642,TSE,2023/09/28
2023/08,58.7,61.35,55.5,59.2,27,"1,562",1.1967,101.2507,"26,466","1,567",59.2,59.25,1.1897,,,22,,,,,,,1.85,0.7,10,TSE,2023/08/31
2023/07,50.4,62.8,50.4,58.5,29,"1,656",18.1817,101.1277,"28,466","1,665",58.5,58.6,16.7055,,,22,,,,,,,1.88,9,25.0505,TSE,2023/07/31
2023/06,43.56,49.75,43.21,49.5,12,557,13.5842,34.9025,"33,966","1,681",49.49,49.5,12.7373,,,12,,,,,,,2.22,5.92,15.0069,TSE,2023/06/30
2023/05,36.62,44.51,36.62,43.58,11,453,19.006,41.7674,"26,966","1,175",43.57,43.58,17.4006,,,9,,,,,,,2.52,6.96,21.5456,TSE,2023/05/31
2023/04,36.58,38.02,35.4,36.62,4,132,0.3947,11.7705,"30,466","1,116",36.62,36.64,0.3937,,,5,,,,,,,3,0.03,7.1604,TSE,2023/04/28
2023/03,36.07,36.73,34.4,36.59,6,199,1.4417,17.1626,"32,466","1,188",36.55,36.6,1.4312,,,5,,,,,,,5.63,0.52,6.4597,TSE,2023/03/31
2023/02,35.29,36.5,34.9,36.07,4,155,2.4424,12.7981,"33,966","1,225",36.07,36.1,2.4129,,,4,,,,,,,5.71,0.86,4.5442,TSE,2023/02/24
2023/01,34.45,35.55,33.95,35.21,4,125,2.8932,10.5694,"33,966","1,196",35.15,35.21,2.8519,,,3,,,,,,,5.85,0.99,4.6756,TSE,2023/01/31
2022/12,35.85,36.86,33.36,34.22,7,234,-3.5512,19.6289,"33,466","1,145",34.2,34.23,-3.6157,,,6,,,,,,,6.02,-1.26,9.8647,TSE,2022/12/30
2022/11,29.85,35.56,29.85,35.48,9,294,18.9406,26.0496,"33,966","1,205",35.48,35.49,17.3453,,,6,,,,,,,5.8,5.65,19.1418,TSE,2022/11/30
2022/10,32.24,33.9,27.72,29.83,6,194,-5.5684,18.5656,"33,966","1,013",29.83,29.85,-5.7294,,,6,,,,,,,6.9,-2.8,18.9396,TSE,2022/10/31
2022/09,35.2,35.61,31.51,32.63,8,276,-8.4712,24.0304,"33,466","1,092",32.62,32.63,-8.8518,,,6,,,,,,,6.59,-3.02,11.5007,TSE,2022/09/30
2022/08,33.45,36.18,32.45,35.65,7,235,6.5769,19.917,"33,966","1,211",35.58,35.64,6.37,,,6,,,,,,,6.03,2.2,11.151,TSE,2022/08/31
2022/07,33.36,33.77,30.84,33.45,6,182,0.2998,16.5518,"33,966","1,136",33.45,33.49,0.2997,,,5,,,,,,,6.42,0.1,8.7856,TSE,2022/07/29
2022/06,36.41,36.5,33.3,33.35,5,168,-8.3288,14.3399,"33,466","1,116",33.34,33.38,-8.6964,,,5,,,,,,,6.44,-3.03,8.796,TSE,2022/06/30
2022/05,36.15,37.04,33.8,36.38,5,173,0.636,14.6507,"33,466","1,217",36.36,36.38,0.6342,,,9,,,,,,,5.91,0.23,8.9627,TSE,2022/05/31
2022/04,40.27,40.27,35.14,36.15,7,278,-9.6671,22.0134,"33,466","1,210",36.15,36.16,-10.1667,,,12,,,,,,,5.94,-4.12,12.739,TSE,2022/04/29
2022/03,39.95,41.14,37.5,40.27,11,434,2.0527,33.8169,"32,466","1,307",40.27,40.3,2.0317,,,8,,,,,,,5.19,0.81,9.2245,TSE,2022/03/31
2022/02,39.18,41.17,38.93,39.46,8,311,1.6227,24.3352,"31,966","1,261",39.45,39.53,1.6095,,,6,,,,,,,5.3,0.63,5.7687,TSE,2022/02/25
