00850 元大臺灣ESG永續--201502-202502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(百萬股)_月,成交值(百萬元)_月,報酬率％_月,週轉率％_月,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln_月,市值比重％,成交值比重％,成交筆數(千筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,市場別,該月結束日
2025/02,45.17,46.75,44.54,45.21,32,"1,467",-1.6794,7.2212,"444,444","20,093",45.2,45.21,-1.6937,,,39,,,,,,,5.46,-1.43,4.7384,TSE,2025/02/27
2025/01,45.61,47.19,44.75,46.64,27,"1,254",2.0344,6.3092,"433,444","20,216",46.64,46.65,2.0141,,,28,,,,,,,5.3,0.93,5.338,TSE,2025/01/22
2024/12,44.39,46.15,44.39,45.71,19,872,3.4161,4.4672,"427,944","19,561",45.71,45.72,3.359,,,27,,,,,,,4.95,1.51,3.9819,TSE,2024/12/31
2024/11,44.81,47.48,43.58,44.2,35,"1,582",-2.3706,8.1099,"427,944","18,915",44.18,44.2,-2.3991,,,41,,,,,,,5.12,-1.73,8.4912,TSE,2024/11/29
2024/10,44.56,47.36,44.28,45.93,24,"1,119",3.4225,5.7943,"418,944","19,242",45.92,45.93,3.3655,,,27,,,,,,,4.5,1.52,6.9354,TSE,2024/10/30
2024/09,44.22,45.9,41.5,44.41,26,"1,136",0.5435,6.2156,"418,944","18,605",44.4,44.41,0.5418,,,31,,,,,,,4.65,0.24,9.9615,TSE,2024/09/30
2024/08,45.5,45.57,39.65,44.17,37,"1,570",0.173,8.8631,"414,944","18,328",44.16,44.18,0.1729,,,41,,,,,,,4.68,-0.54,13.2409,TSE,2024/08/30
2024/07,46.02,49.01,43.88,44.71,38,"1,784",-2.8254,9.3996,"407,944","18,239",44.7,44.71,-2.8661,,,44,,,,,,,4.62,-1.3,11.1498,TSE,2024/07/31
2024/06,41.87,46.7,41.61,46.01,26,"1,169",10.3358,6.6012,"398,444","18,332",46,46.01,9.8358,,,30,,,,,,,4.12,4.31,12.2062,TSE,2024/06/28
2024/05,39.75,43.3,39.65,41.7,27,"1,112",5.1233,6.6868,"398,444","16,615",41.7,41.72,4.9964,,,32,,,,,,,4.55,1.52,9.0841,TSE,2024/05/31
2024/04,40.2,41.2,37.86,40.18,32,"1,274",0.2746,8.0482,"398,944","16,030",40.17,40.18,0.2742,,,34,,,,,,,4.5,0.11,8.3354,TSE,2024/04/30
2024/03,36.76,40.24,36.68,40.07,43,"1,665",8.9452,10.675,"401,444","16,086",40.07,40.08,8.5675,,,36,,,,,,,4.52,3.29,9.6792,TSE,2024/03/29
2024/02,35.27,37.25,35.11,36.78,30,"1,095",5.5053,7.1544,"418,444","15,390",36.75,36.78,5.3593,,,25,,,,,,,4.92,1.51,6.0675,TSE,2024/02/29
2024/01,35.24,35.69,33.76,35.27,49,"1,716",0.3128,11.7932,"418,444","14,759",35.27,35.28,0.3125,,,34,,,,,,,3.91,0.11,5.4892,TSE,2024/01/31
2023/12,33.95,35.25,33.7,35.16,46,"1,591",3.2601,11.1807,"413,944","14,554",35.16,35.17,3.2078,,,30,,,,,,,3.92,1.11,4.5521,TSE,2023/12/29
2023/11,32.3,34.55,32.11,34.05,61,"2,054",8.177,14.6425,"414,944","14,129",34.05,34.06,7.8599,,,35,,,,,,,4.05,1.92,7.5941,TSE,2023/11/30
2023/10,32.96,33.81,32.11,32.13,39,"1,289",-2.0128,9.7196,"402,444","12,931",32.12,32.13,-2.0332,,,30,,,,,,,2.12,-0.66,5.1845,TSE,2023/10/31
2023/09,33.44,33.88,32.53,32.79,38,"1,245",-1.9732,9.7412,"384,944","12,622",32.78,32.79,-1.9927,,,31,,,,,,,2.07,-0.66,4.0359,TSE,2023/09/28
2023/08,35.07,35.35,32.86,33.45,62,"2,107",-2.6664,16.5497,"374,944","12,542",33.44,33.45,-2.7026,,,46,,,,,,,2.03,-1.62,7.1001,TSE,2023/08/31
2023/07,34.04,35.78,33.4,35.07,38,"1,325",3.7269,11.1496,"342,944","12,027",35.06,35.07,3.6591,,,25,,,,,,,4.22,1.26,7.0393,TSE,2023/07/31
2023/06,32.74,34.43,32.51,33.81,30,"1,005",3.205,7.7784,"382,944","12,947",33.8,33.81,3.1548,,,21,,,,,,,4.38,1.05,5.8608,TSE,2023/06/30
2023/05,30.71,32.99,30.58,32.76,18,584,6.6404,4.808,"383,444","12,562",32.75,32.76,6.4293,,,17,,,,,,,4.52,2.04,7.8451,TSE,2023/05/31
2023/04,31.46,31.51,30.26,30.72,9,285,-2.3523,2.3889,"383,944","11,795",30.72,30.74,-2.3802,,,11,,,,,,,4.82,-0.74,3.9733,TSE,2023/04/28
2023/03,30.53,31.65,30.21,31.46,15,478,2.5424,4.0261,"383,944","12,079",31.45,31.46,2.5105,,,14,,,,,,,4.7,0.78,4.6936,TSE,2023/03/31
2023/02,30.5,31.15,30.28,30.68,10,318,1.0207,2.7246,"379,944","11,657",30.66,30.68,1.0157,,,12,,,,,,,4.82,0.31,2.8647,TSE,2023/02/24
2023/01,28.01,30.81,27.8,30.37,9,253,7.7716,2.2638,"379,444","11,524",30.36,30.37,7.4842,,,9,,,,,,,4.87,2.19,10.6813,TSE,2023/01/31
2022/12,29.94,30.12,27.84,28.18,23,658,-4.4745,6.7142,"339,444","9,566",28.17,28.18,-4.5778,,,15,,,,,,,5.25,-1.32,7.7288,TSE,2022/12/30
2022/11,27.03,30.56,26.74,29.5,44,"1,256",14.7036,12.8568,"338,444","9,984",29.5,29.52,13.7188,,,21,,,,,,,5.02,2.47,14.1324,TSE,2022/11/30
2022/10,27.67,29,26.43,27.03,19,507,-3.1879,5.468,"339,944","9,189",27.02,27.03,-3.2396,,,16,,,,,,,3.88,-0.89,9.2049,TSE,2022/10/31
2022/09,30.73,31.09,27.8,27.92,14,426,-10.9412,4.312,"335,944","9,380",27.9,27.92,-11.5871,,,18,,,,,,,3.76,-3.43,10.4944,TSE,2022/09/30
2022/08,31.02,32.29,30.36,31.35,13,405,1.0639,3.9085,"329,944","10,344",31.31,31.35,1.0583,,,13,,,,,,,3.35,0.33,6.2218,TSE,2022/08/31
2022/07,30.06,31.23,28.44,31.02,16,483,3.1249,4.9871,"327,444","10,157",31.02,31.03,3.0771,,,15,,,,,,,3.38,0.94,9.2753,TSE,2022/07/29
2022/06,33.3,33.49,30.04,30.08,17,523,-9.913,5.06,"326,444","9,819",30.07,30.08,-10.4396,,,16,,,,,,,3.49,-3.31,10.3324,TSE,2022/06/30
2022/05,33.44,33.75,31.45,33.39,21,684,-0.1493,6.5865,"320,944","10,716",33.37,33.39,-0.1496,,,20,,,,,,,3.14,-0.05,6.878,TSE,2022/05/31
2022/04,35.04,35.2,32.74,33.44,20,672,-5.4298,5.8841,"336,944","11,267",33.44,33.46,-5.5826,,,23,,,,,,,3.14,-1.92,6.957,TSE,2022/04/29
