0050 じ芖50--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,459407963,,,
2025/01,TT99,膀羆砏家,,,446905350,,,
2024/12,TT99,膀羆砏家,,,435205965,,,
2024/11,TT99,膀羆砏家,,,409330159,,,
2024/10,TT99,膀羆砏家,,,405575149,,,
2024/09,TT99,膀羆砏家,,,396395580,,,
2024/08,TT99,膀羆砏家,,,393735021,,,
2024/07,TT99,膀羆砏家,,,385719369,,,
2024/06,TT99,膀羆砏家,,,414275514,,,
2024/05,TT99,膀羆砏家,,,318041404,,,
2024/04,TT99,膀羆砏家,,,301172875,,,
2024/03,TT99,膀羆砏家,,,301929562,,,
2024/02,TT99,膀羆砏家,,,301913172,,,
2024/01,TT99,膀羆砏家,,,292916436,,,
2023/12,TT99,膀羆砏家,,,311757825,,,
2023/11,TT99,膀羆砏家,,,302148908,,,
2023/10,TT99,膀羆砏家,,,286520587,,,
2023/09,TT99,膀羆砏家,,,286224133,,,
2023/08,TT99,膀羆砏家,,,306784729,,,
2023/07,TT99,膀羆砏家,,,318675156,,,
2023/06,TT99,膀羆砏家,,,342035289,,,
2023/05,TT99,膀羆砏家,,,303763481,,,
2023/04,TT99,膀羆砏家,,,271313252,,,
2023/03,TT99,膀羆砏家,,,278471884,,,
2023/02,TT99,膀羆砏家,,,269164067,,,
2023/01,TT99,膀羆砏家,,,267540485,,,
2022/12,TT99,膀羆砏家,,,253072799,,,
2022/11,TT99,膀羆砏家,,,268706082,,,
2022/10,TT99,膀羆砏家,,,224307530,,,
2022/09,TT99,膀羆砏家,,,217074908,,,
2022/08,TT99,膀羆砏家,,,249638231,,,
2022/07,TT99,膀羆砏家,,,247019436,,,
2022/06,TT99,膀羆砏家,,,232370341,,,
2022/05,TT99,膀羆砏家,,,228808665,,,
2022/04,TT99,膀羆砏家,,,217190128,,,
2022/03,TT99,膀羆砏家,,,217053524,,,
2022/02,TT99,膀羆砏家,,,182555957,,,
2022/01,TT99,膀羆砏家,,,169335576,,,
2021/12,TT99,膀羆砏家,,,176954493,,,
2021/11,TT99,膀羆砏家,,,172280930,,,
2021/10,TT99,膀羆砏家,,,177051874,,,
2021/09,TT99,膀羆砏家,,,168329388,,,
2021/08,TT99,膀羆砏家,,,192216824,,,
2021/07,TT99,膀羆砏家,,,182454745,,,
2021/06,TT99,膀羆砏家,,,190767378,,,
2021/05,TT99,膀羆砏家,,,171141681,,,
2021/04,TT99,膀羆砏家,,,137142922,,,
2021/03,TT99,膀羆砏家,,,131649631,,,
2021/02,TT99,膀羆砏家,,,119922914,,,
2021/01,TT99,膀羆砏家,,,112954884,,,
2020/12,TT99,膀羆砏家,,,115894731,,,
2020/11,TT99,膀羆砏家,,,111629026,,,
2020/10,TT99,膀羆砏家,,,96210278,,,
2020/09,TT99,膀羆砏家,,,100720575,,,
2020/08,TT99,膀羆砏家,,,105267584,,,
2020/07,TT99,膀羆砏家,,,118509125,,,
2020/06,TT99,膀羆砏家,,,118101088,,,
2020/05,TT99,膀羆砏家,,,86378970,,,
2020/04,TT99,膀羆砏家,,,87321315,,,
2020/03,TT99,膀羆砏家,,,80649899,,,
2020/02,TT99,膀羆砏家,,,67572405,,,
