0051 じい100--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,2014922,,,
2025/01,TT99,膀羆砏家,,,1893275,,,
2024/12,TT99,膀羆砏家,,,1849688,,,
2024/11,TT99,膀羆砏家,,,1791835,,,
2024/10,TT99,膀羆砏家,,,1794440,,,
2024/09,TT99,膀羆砏家,,,1740099,,,
2024/08,TT99,膀羆砏家,,,1721502,,,
2024/07,TT99,膀羆砏家,,,1647317,,,
2024/06,TT99,膀羆砏家,,,1680696,,,
2024/05,TT99,膀羆砏家,,,1573271,,,
2024/04,TT99,膀羆砏家,,,1532577,,,
2024/03,TT99,膀羆砏家,,,1485708,,,
2024/02,TT99,膀羆砏家,,,1385340,,,
2024/01,TT99,膀羆砏家,,,1311257,,,
2023/12,TT99,膀羆砏家,,,1291002,,,
2023/11,TT99,膀羆砏家,,,1230220,,,
2023/10,TT99,膀羆砏家,,,1121905,,,
2023/09,TT99,膀羆砏家,,,1145107,,,
2023/08,TT99,膀羆砏家,,,1165859,,,
2023/07,TT99,膀羆砏家,,,1158571,,,
2023/06,TT99,膀羆砏家,,,1069426,,,
2023/05,TT99,膀羆砏家,,,999156,,,
2023/04,TT99,膀羆砏家,,,914619,,,
2023/03,TT99,膀羆砏家,,,921146,,,
2023/02,TT99,膀羆砏家,,,868945,,,
2023/01,TT99,膀羆砏家,,,827338,,,
2022/12,TT99,膀羆砏家,,,785797,,,
2022/11,TT99,膀羆砏家,,,814761,,,
2022/10,TT99,膀羆砏家,,,735953,,,
2022/09,TT99,膀羆砏家,,,759704,,,
2022/08,TT99,膀羆砏家,,,799997,,,
2022/07,TT99,膀羆砏家,,,740079,,,
2022/06,TT99,膀羆砏家,,,728508,,,
2022/05,TT99,膀羆砏家,,,804287,,,
2022/04,TT99,膀羆砏家,,,797271,,,
2022/03,TT99,膀羆砏家,,,809381,,,
2022/02,TT99,膀羆砏家,,,777824,,,
2022/01,TT99,膀羆砏家,,,729457,,,
2021/12,TT99,膀羆砏家,,,764036,,,
2021/11,TT99,膀羆砏家,,,709118,,,
2021/10,TT99,膀羆砏家,,,609480,,,
2021/09,TT99,膀羆砏家,,,594383,,,
2021/08,TT99,膀羆砏家,,,599738,,,
2021/07,TT99,膀羆砏家,,,606486,,,
2021/06,TT99,膀羆砏家,,,613466,,,
2021/05,TT99,膀羆砏家,,,570778,,,
2021/04,TT99,膀羆砏家,,,589772,,,
2021/03,TT99,膀羆砏家,,,500789,,,
2021/02,TT99,膀羆砏家,,,471979,,,
2021/01,TT99,膀羆砏家,,,437902,,,
2020/12,TT99,膀羆砏家,,,441272,,,
2020/11,TT99,膀羆砏家,,,414278,,,
2020/10,TT99,膀羆砏家,,,389740,,,
2020/09,TT99,膀羆砏家,,,389089,,,
2020/08,TT99,膀羆砏家,,,419675,,,
2020/07,TT99,膀羆砏家,,,416517,,,
2020/06,TT99,膀羆砏家,,,369248,,,
2020/05,TT99,膀羆砏家,,,343817,,,
2020/04,TT99,膀羆砏家,,,318221,,,
2020/03,TT99,膀羆砏家,,,272071,,,
2020/02,TT99,膀羆砏家,,,317937,,,
2020/01,TT99,膀羆砏家,,,326385,,,
2019/12,TT99,膀羆砏家,,,336412,,,
2019/11,TT99,膀羆砏家,,,308172,,,
2019/10,TT99,膀羆砏家,,,318985,,,
2019/09,TT99,膀羆砏家,,,306001,,,
2019/08,TT99,膀羆砏家,,,318097,,,
2019/07,TT99,膀羆砏家,,,303037,,,
2019/06,TT99,膀羆砏家,,,307493,,,
2019/05,TT99,膀羆砏家,,,295326,,,
2019/04,TT99,膀羆砏家,,,313446,,,
2019/03,TT99,膀羆砏家,,,319855,,,
2019/02,TT99,膀羆砏家,,,309393,,,
2019/01,TT99,膀羆砏家,,,295284,,,
2018/12,TT99,膀羆砏家,,,282036,,,
2018/11,TT99,膀羆砏家,,,280587,,,
2018/10,TT99,膀羆砏家,,,272478,,,
