0052 碔üм--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,15297486,,,
2025/01,TT99,膀羆砏家,,,16099058,,,
2024/12,TT99,膀羆砏家,,,15232677,,,
2024/11,TT99,膀羆砏家,,,14194040,,,
2024/10,TT99,膀羆砏家,,,14965841,,,
2024/09,TT99,膀羆砏家,,,13329623,,,
2024/08,TT99,膀羆砏家,,,12208057,,,
2024/07,TT99,膀羆砏家,,,10939280,,,
2024/06,TT99,膀羆砏家,,,8370834,,,
2024/05,TT99,膀羆砏家,,,6433698,,,
2024/04,TT99,膀羆砏家,,,5885357,,,
2024/03,TT99,膀羆砏家,,,5782639,,,
2024/02,TT99,膀羆砏家,,,5486626,,,
2024/01,TT99,膀羆砏家,,,4877025,,,
2023/12,TT99,膀羆砏家,,,5324777,,,
2023/11,TT99,膀羆砏家,,,6183647,,,
2023/10,TT99,膀羆砏家,,,5678313,,,
2023/09,TT99,膀羆砏家,,,5165441,,,
2023/08,TT99,膀羆砏家,,,5092239,,,
2023/07,TT99,膀羆砏家,,,5381973,,,
2023/06,TT99,膀羆砏家,,,5347551,,,
2023/05,TT99,膀羆砏家,,,5605406,,,
2023/04,TT99,膀羆砏家,,,4771786,,,
2023/03,TT99,膀羆砏家,,,6262660,,,
2023/02,TT99,膀羆砏家,,,6172027,,,
2023/01,TT99,膀羆砏家,,,6309688,,,
2022/12,TT99,膀羆砏家,,,5603830,,,
2022/11,TT99,膀羆砏家,,,6029911,,,
2022/10,TT99,膀羆砏家,,,5021433,,,
2022/09,TT99,膀羆砏家,,,5277872,,,
2022/08,TT99,膀羆砏家,,,6214028,,,
2022/07,TT99,膀羆砏家,,,5312445,,,
2022/06,TT99,膀羆砏家,,,5259797,,,
2022/05,TT99,膀羆砏家,,,6239159,,,
2022/04,TT99,膀羆砏家,,,5980843,,,
2022/03,TT99,膀羆砏家,,,7578765,,,
2022/02,TT99,膀羆砏家,,,6901320,,,
2022/01,TT99,膀羆砏家,,,6646166,,,
2021/12,TT99,膀羆砏家,,,7122206,,,
2021/11,TT99,膀羆砏家,,,7195349,,,
