0053 じ筿--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,559925,,,
2025/01,TT99,膀羆砏家,,,587316,,,
2024/12,TT99,膀羆砏家,,,570332,,,
2024/11,TT99,膀羆砏家,,,536693,,,
2024/10,TT99,膀羆砏家,,,563040,,,
2024/09,TT99,膀羆砏家,,,533500,,,
2024/08,TT99,膀羆砏家,,,536051,,,
2024/07,TT99,膀羆砏家,,,481449,,,
2024/06,TT99,膀羆砏家,,,504865,,,
2024/05,TT99,膀羆砏家,,,403336,,,
2024/04,TT99,膀羆砏家,,,383629,,,
2024/03,TT99,膀羆砏家,,,431373,,,
2024/02,TT99,膀羆砏家,,,392278,,,
2024/01,TT99,膀羆砏家,,,365756,,,
2023/12,TT99,膀羆砏家,,,360606,,,
2023/11,TT99,膀羆砏家,,,346458,,,
2023/10,TT99,膀羆砏家,,,324224,,,
2023/09,TT99,膀羆砏家,,,330707,,,
2023/08,TT99,膀羆砏家,,,339395,,,
2023/07,TT99,膀羆砏家,,,346254,,,
2023/06,TT99,膀羆砏家,,,334157,,,
2023/05,TT99,膀羆砏家,,,320439,,,
2023/04,TT99,膀羆砏家,,,292794,,,
2023/03,TT99,膀羆砏家,,,305363,,,
2023/02,TT99,膀羆砏家,,,291324,,,
2023/01,TT99,膀羆砏家,,,287790,,,
2022/12,TT99,膀羆砏家,,,259828,,,
2022/11,TT99,膀羆砏家,,,278027,,,
2022/10,TT99,膀羆砏家,,,243582,,,
2022/09,TT99,膀羆砏家,,,252653,,,
2022/08,TT99,膀羆砏家,,,289535,,,
2022/07,TT99,膀羆砏家,,,287948,,,
2022/06,TT99,膀羆砏家,,,273458,,,
2022/05,TT99,膀羆砏家,,,314013,,,
2022/04,TT99,膀羆砏家,,,303299,,,
2022/03,TT99,膀羆砏家,,,331938,,,
2022/02,TT99,膀羆砏家,,,334774,,,
2022/01,TT99,膀羆砏家,,,341636,,,
2021/12,TT99,膀羆砏家,,,350397,,,
2021/11,TT99,膀羆砏家,,,334827,,,
2021/10,TT99,膀羆砏家,,,331828,,,
2021/09,TT99,膀羆砏家,,,357234,,,
2021/08,TT99,膀羆砏家,,,339263,,,
2021/07,TT99,膀羆砏家,,,366886,,,
2021/06,TT99,膀羆砏家,,,367898,,,
2021/05,TT99,膀羆砏家,,,364432,,,
2021/04,TT99,膀羆砏家,,,378094,,,
2021/03,TT99,膀羆砏家,,,362194,,,
2021/02,TT99,膀羆砏家,,,358306,,,
2021/01,TT99,膀羆砏家,,,343349,,,
2020/12,TT99,膀羆砏家,,,317426,,,
2020/11,TT99,膀羆砏家,,,291860,,,
2020/10,TT99,膀羆砏家,,,270639,,,
2020/09,TT99,膀羆砏家,,,270311,,,
2020/08,TT99,膀羆砏家,,,267847,,,
2020/07,TT99,膀羆砏家,,,273018,,,
2020/06,TT99,膀羆砏家,,,251815,,,
2020/05,TT99,膀羆砏家,,,251548,,,
2020/04,TT99,膀羆砏家,,,254430,,,
