0055 じMSCI磕--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,2316593,,,
2025/01,TT99,膀羆砏家,,,2065398,,,
2024/12,TT99,膀羆砏家,,,2038827,,,
2024/11,TT99,膀羆砏家,,,2016815,,,
2024/10,TT99,膀羆砏家,,,2054686,,,
2024/09,TT99,膀羆砏家,,,2061611,,,
2024/08,TT99,膀羆砏家,,,2009287,,,
2024/07,TT99,膀羆砏家,,,2134303,,,
2024/06,TT99,膀羆砏家,,,1877944,,,
2024/05,TT99,膀羆砏家,,,1796874,,,
2024/04,TT99,膀羆砏家,,,1865688,,,
2024/03,TT99,膀羆砏家,,,1738960,,,
2024/02,TT99,膀羆砏家,,,1641483,,,
2024/01,TT99,膀羆砏家,,,1659251,,,
2023/12,TT99,膀羆砏家,,,1728860,,,
2023/11,TT99,膀羆砏家,,,1748549,,,
2023/10,TT99,膀羆砏家,,,1681065,,,
2023/09,TT99,膀羆砏家,,,1714135,,,
2023/08,TT99,膀羆砏家,,,1726663,,,
2023/07,TT99,膀羆砏家,,,1802725,,,
2023/06,TT99,膀羆砏家,,,1731689,,,
2023/05,TT99,膀羆砏家,,,1726492,,,
2023/04,TT99,膀羆砏家,,,1693523,,,
2023/03,TT99,膀羆砏家,,,1662641,,,
2023/02,TT99,膀羆砏家,,,1706111,,,
2023/01,TT99,膀羆砏家,,,1687228,,,
2022/12,TT99,膀羆砏家,,,1625427,,,
2022/11,TT99,膀羆砏家,,,1687896,,,
2022/10,TT99,膀羆砏家,,,1549663,,,
2022/09,TT99,膀羆砏家,,,1619575,,,
2022/08,TT99,膀羆砏家,,,1784145,,,
2022/07,TT99,膀羆砏家,,,1755167,,,
2022/06,TT99,膀羆砏家,,,1762458,,,
2022/05,TT99,膀羆砏家,,,1989990,,,
2022/04,TT99,膀羆砏家,,,2122801,,,
2022/03,TT99,膀羆砏家,,,2143355,,,
2022/02,TT99,膀羆砏家,,,1959463,,,
2022/01,TT99,膀羆砏家,,,1803581,,,
2021/12,TT99,膀羆砏家,,,1413139,,,
2021/11,TT99,膀羆砏家,,,1322908,,,
2021/10,TT99,膀羆砏家,,,871955,,,
2021/09,TT99,膀羆砏家,,,839649,,,
2021/08,TT99,膀羆砏家,,,852131,,,
2021/07,TT99,膀羆砏家,,,808743,,,
2021/06,TT99,膀羆砏家,,,804457,,,
2021/05,TT99,膀羆砏家,,,800920,,,
2021/04,TT99,膀羆砏家,,,789857,,,
2021/03,TT99,膀羆砏家,,,743407,,,
2021/02,TT99,膀羆砏家,,,655513,,,
2021/01,TT99,膀羆砏家,,,628953,,,
2020/12,TT99,膀羆砏家,,,655690,,,
2020/11,TT99,膀羆砏家,,,635451,,,
2020/10,TT99,膀羆砏家,,,611371,,,
2020/09,TT99,膀羆砏家,,,621453,,,
2020/08,TT99,膀羆砏家,,,642670,,,
2020/07,TT99,膀羆砏家,,,659824,,,
2020/06,TT99,膀羆砏家,,,660839,,,
2020/05,TT99,膀羆砏家,,,630084,,,
2020/04,TT99,膀羆砏家,,,631844,,,
2020/03,TT99,膀羆砏家,,,566636,,,
2020/02,TT99,膀羆砏家,,,682216,,,
2020/01,TT99,膀羆砏家,,,681597,,,
