0056 じ蔼--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,400819346,,,
2025/01,TT99,膀羆砏家,,,385600310,,,
2024/12,TT99,膀羆砏家,,,362131177,,,
2024/11,TT99,膀羆砏家,,,346666035,,,
2024/10,TT99,膀羆砏家,,,334710155,,,
2024/09,TT99,膀羆砏家,,,319984415,,,
2024/08,TT99,膀羆砏家,,,315862069,,,
2024/07,TT99,膀羆砏家,,,301467696,,,
2024/06,TT99,膀羆砏家,,,298064615,,,
2024/05,TT99,膀羆砏家,,,289164105,,,
2024/04,TT99,膀羆砏家,,,278850919,,,
2024/03,TT99,膀羆砏家,,,277624068,,,
2024/02,TT99,膀羆砏家,,,268781459,,,
2024/01,TT99,膀羆砏家,,,260318624,,,
2023/12,TT99,膀羆砏家,,,253465844,,,
2023/11,TT99,膀羆砏家,,,244925685,,,
2023/10,TT99,膀羆砏家,,,227113559,,,
2023/09,TT99,膀羆砏家,,,219861658,,,
2023/08,TT99,膀羆砏家,,,219923454,,,
2023/07,TT99,膀羆砏家,,,228816279,,,
2023/06,TT99,膀羆砏家,,,223292520,,,
2023/05,TT99,膀羆砏家,,,213004649,,,
2023/04,TT99,膀羆砏家,,,198764857,,,
2023/03,TT99,膀羆砏家,,,198931747,,,
2023/02,TT99,膀羆砏家,,,190647586,,,
2023/01,TT99,膀羆砏家,,,181489680,,,
2022/12,TT99,膀羆砏家,,,170285802,,,
2022/11,TT99,膀羆砏家,,,171523719,,,
2022/10,TT99,膀羆砏家,,,156127096,,,
2022/09,TT99,膀羆砏家,,,143642561,,,
2022/08,TT99,膀羆砏家,,,145001857,,,
2022/07,TT99,膀羆砏家,,,136471453,,,
2022/06,TT99,膀羆砏家,,,122139621,,,
2022/05,TT99,膀羆砏家,,,126098824,,,
2022/04,TT99,膀羆砏家,,,122668577,,,
2022/03,TT99,膀羆砏家,,,118867370,,,
2022/02,TT99,膀羆砏家,,,117168187,,,
2022/01,TT99,膀羆砏家,,,113370266,,,
2021/12,TT99,膀羆砏家,,,113783276,,,
2021/11,TT99,膀羆砏家,,,111657596,,,
2021/10,TT99,膀羆砏家,,,112979288,,,
2021/09,TT99,膀羆砏家,,,91036097,,,
2021/08,TT99,膀羆砏家,,,87827296,,,
2021/07,TT99,膀羆砏家,,,80308875,,,
2021/06,TT99,膀羆砏家,,,79714246,,,
2021/05,TT99,膀羆砏家,,,76927404,,,
2021/04,TT99,膀羆砏家,,,71886582,,,
2021/03,TT99,膀羆砏家,,,68850497,,,
2021/02,TT99,膀羆砏家,,,64969239,,,
2021/01,TT99,膀羆砏家,,,63020272,,,
2020/12,TT99,膀羆砏家,,,69487935,,,
2020/11,TT99,膀羆砏家,,,71405255,,,
2020/10,TT99,膀羆砏家,,,64144180,,,
2020/09,TT99,膀羆砏家,,,59085779,,,
2020/08,TT99,膀羆砏家,,,56413856,,,
2020/07,TT99,膀羆砏家,,,57928780,,,
2020/06,TT99,膀羆砏家,,,58592471,,,
2020/05,TT99,膀羆砏家,,,59979231,,,
2020/04,TT99,膀羆砏家,,,61006203,,,
2020/03,TT99,膀羆砏家,,,55224394,,,
2020/02,TT99,膀羆砏家,,,35742984,,,
2020/01,TT99,膀羆砏家,,,33489458,,,
2019/12,TT99,膀羆砏家,,,31555952,,,
2019/11,TT99,膀羆砏家,,,30371406,,,
2019/10,TT99,膀羆砏家,,,27667945,,,
2019/09,TT99,膀羆砏家,,,20781458,,,
2019/08,TT99,膀羆砏家,,,23656651,,,
2019/07,TT99,膀羆砏家,,,21496218,,,
2019/06,TT99,膀羆砏家,,,23299951,,,
2019/05,TT99,膀羆砏家,,,21758908,,,
2019/04,TT99,膀羆砏家,,,16107857,,,
2019/03,TT99,膀羆砏家,,,17685251,,,
2019/02,TT99,膀羆砏家,,,18592875,,,
2019/01,TT99,膀羆砏家,,,19585235,,,
2018/12,TT99,膀羆砏家,,,18298288,,,
2018/11,TT99,膀羆砏家,,,17474370,,,
2018/10,TT99,膀羆砏家,,,16263663,,,
2018/09,TT99,膀羆砏家,,,10246057,,,
2018/08,TT99,膀羆砏家,,,9626527,,,
2018/07,TT99,膀羆砏家,,,9968655,,,
2018/06,TT99,膀羆砏家,,,9542180,,,
2018/05,TT99,膀羆砏家,,,9711797,,,
2018/04,TT99,膀羆砏家,,,9930930,,,
2018/03,TT99,膀羆砏家,,,9639599,,,
2018/02,TT99,膀羆砏家,,,9736106,,,
2018/01,TT99,膀羆砏家,,,9711863,,,
2017/12,TT99,膀羆砏家,,,10650690,,,
2017/11,TT99,膀羆砏家,,,9789774,,,
2017/10,TT99,膀羆砏家,,,9024833,,,
2017/09,TT99,膀羆砏家,,,9128340,,,
2017/08,TT99,膀羆砏家,,,8539755,,,
2017/07,TT99,膀羆砏家,,,8098194,,,
2017/06,TT99,膀羆砏家,,,8190597,,,
2017/05,TT99,膀羆砏家,,,8669538,,,
2017/04,TT99,膀羆砏家,,,8839003,,,
2017/03,TT99,膀羆砏家,,,8293130,,,
2017/02,TT99,膀羆砏家,,,8480480,,,
2017/01,TT99,膀羆砏家,,,8693324,,,
2016/12,TT99,膀羆砏家,,,8703425,,,
2016/11,TT99,膀羆砏家,,,8312202,,,
2016/10,TT99,膀羆砏家,,,7222717,,,
2016/09,TT99,膀羆砏家,,,6519917,,,
2016/08,TT99,膀羆砏家,,,6884397,,,
2016/07,TT99,膀羆砏家,,,7820023,,,
2016/06,TT99,膀羆砏家,,,9370674,,,
2016/05,TT99,膀羆砏家,,,9995179,,,
2016/04,TT99,膀羆砏家,,,8142047,,,
2016/03,TT99,膀羆砏家,,,8171849,,,
2016/02,TT99,膀羆砏家,,,8589750,,,
2016/01,TT99,膀羆砏家,,,8736218,,,
2015/12,TT99,膀羆砏家,,,7660364,,,
2015/11,TT99,膀羆砏家,,,7605604,,,
2015/10,TT99,膀羆砏家,,,7301669,,,
2015/09,TT99,膀羆砏家,,,7242987,,,
2015/08,TT99,膀羆砏家,,,7221284,,,
2015/07,TT99,膀羆砏家,,,5706339,,,
2015/06,TT99,膀羆砏家,,,4709976,,,
2015/05,TT99,膀羆砏家,,,4452351,,,
2015/04,TT99,膀羆砏家,,,4382569,,,
