0057 碔ü集--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,217644,,,
2025/01,TT99,膀羆砏家,,,227136,,,
2024/12,TT99,膀羆砏家,,,220238,,,
2024/11,TT99,膀羆砏家,,,209206,,,
2024/10,TT99,膀羆砏家,,,216102,,,
2024/09,TT99,膀羆砏家,,,205935,,,
2024/08,TT99,膀羆砏家,,,204997,,,
2024/07,TT99,膀羆砏家,,,203656,,,
2024/06,TT99,膀羆砏家,,,209655,,,
2024/05,TT99,膀羆砏家,,,187107,,,
2024/04,TT99,膀羆砏家,,,178664,,,
2024/03,TT99,膀羆砏家,,,179725,,,
2024/02,TT99,膀羆砏家,,,164530,,,
2024/01,TT99,膀羆砏家,,,154535,,,
2023/12,TT99,膀羆砏家,,,153336,,,
2023/11,TT99,膀羆砏家,,,148026,,,
2023/10,TT99,膀羆砏家,,,136062,,,
2023/09,TT99,膀羆砏家,,,137993,,,
2023/08,TT99,膀羆砏家,,,141642,,,
2023/07,TT99,膀羆砏家,,,146490,,,
2023/06,TT99,膀羆砏家,,,144092,,,
2023/05,TT99,膀羆砏家,,,139671,,,
2023/04,TT99,膀羆砏家,,,130455,,,
2023/03,TT99,膀羆砏家,,,135121,,,
2023/02,TT99,膀羆砏家,,,131474,,,
2023/01,TT99,膀羆砏家,,,131212,,,
2022/12,TT99,膀羆砏家,,,119475,,,
2022/11,TT99,膀羆砏家,,,127166,,,
2022/10,TT99,膀羆砏家,,,108707,,,
2022/09,TT99,膀羆砏家,,,113115,,,
2022/08,TT99,膀羆砏家,,,128941,,,
2022/07,TT99,膀羆砏家,,,128583,,,
2022/06,TT99,膀羆砏家,,,123888,,,
2022/05,TT99,膀羆砏家,,,140769,,,
2022/04,TT99,膀羆砏家,,,409497,,,
2022/03,TT99,膀羆砏家,,,441620,,,
2022/02,TT99,膀羆砏家,,,441925,,,
2022/01,TT99,膀羆砏家,,,449798,,,
2021/12,TT99,膀羆砏家,,,457092,,,
2021/11,TT99,膀羆砏家,,,435911,,,
2021/10,TT99,膀羆砏家,,,426672,,,
2021/09,TT99,膀羆砏家,,,424981,,,
2021/08,TT99,膀羆砏家,,,440925,,,
2021/07,TT99,膀羆砏家,,,425800,,,
2021/06,TT99,膀羆砏家,,,529126,,,
2021/05,TT99,膀羆砏家,,,520554,,,
2021/04,TT99,膀羆砏家,,,533371,,,
2021/03,TT99,膀羆砏家,,,505967,,,
2021/02,TT99,膀羆砏家,,,496211,,,
2021/01,TT99,膀羆砏家,,,477040,,,
2020/12,TT99,膀羆砏家,,,449629,,,
2020/11,TT99,膀羆砏家,,,412859,,,
2020/10,TT99,膀羆砏家,,,376644,,,
2020/09,TT99,膀羆砏家,,,376685,,,
2020/08,TT99,膀羆砏家,,,374182,,,
2020/07,TT99,膀羆砏家,,,414347,,,
2020/06,TT99,膀羆砏家,,,358382,,,
2020/05,TT99,膀羆砏家,,,250958,,,
2020/04,TT99,膀羆砏家,,,255187,,,
2020/03,TT99,膀羆砏家,,,227577,,,
2020/02,TT99,膀羆砏家,,,263444,,,
2020/01,TT99,膀羆砏家,,,268142,,,
2019/12,TT99,膀羆砏家,,,279494,,,
2019/11,TT99,膀羆砏家,,,264967,,,
2019/10,TT99,膀羆砏家,,,289371,,,
2019/09,TT99,膀羆砏家,,,273039,,,
2019/08,TT99,膀羆砏家,,,265270,,,
2019/07,TT99,膀羆砏家,,,268381,,,
2019/06,TT99,膀羆砏家,,,258939,,,
2019/05,TT99,膀羆砏家,,,250041,,,
2019/04,TT99,膀羆砏家,,,265330,,,
2019/03,TT99,膀羆砏家,,,254849,,,
2019/02,TT99,膀羆砏家,,,249029,,,
2019/01,TT99,膀羆砏家,,,237417,,,
2018/12,TT99,膀羆砏家,,,233631,,,
