006203 じMSCI芖--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,909710,,,
2025/01,TT99,膀羆砏家,,,949664,,,
2024/12,TT99,膀羆砏家,,,940509,,,
2024/11,TT99,膀羆砏家,,,893342,,,
2024/10,TT99,膀羆砏家,,,922879,,,
2024/09,TT99,膀羆砏家,,,879328,,,
2024/08,TT99,膀羆砏家,,,875463,,,
2024/07,TT99,膀羆砏家,,,869426,,,
2024/06,TT99,膀羆砏家,,,904301,,,
2024/05,TT99,膀羆砏家,,,806869,,,
2024/04,TT99,膀羆砏家,,,770525,,,
2024/03,TT99,膀羆砏家,,,775337,,,
2024/02,TT99,膀羆砏家,,,710237,,,
2024/01,TT99,膀羆砏家,,,667204,,,
2023/12,TT99,膀羆砏家,,,681567,,,
2023/11,TT99,膀羆砏家,,,657547,,,
2023/10,TT99,膀羆砏家,,,603526,,,
2023/09,TT99,膀羆砏家,,,730726,,,
2023/08,TT99,膀羆砏家,,,748828,,,
2023/07,TT99,膀羆砏家,,,773487,,,
2023/06,TT99,膀羆砏家,,,770200,,,
2023/05,TT99,膀羆砏家,,,745384,,,
2023/04,TT99,膀羆砏家,,,694974,,,
2023/03,TT99,膀羆砏家,,,718976,,,
2023/02,TT99,膀羆砏家,,,698144,,,
2023/01,TT99,膀羆砏家,,,695978,,,
2022/12,TT99,膀羆砏家,,,646660,,,
2022/11,TT99,膀羆砏家,,,687573,,,
2022/10,TT99,膀羆砏家,,,586909,,,
2022/09,TT99,膀羆砏家,,,584822,,,
2022/08,TT99,膀羆砏家,,,665583,,,
2022/07,TT99,膀羆砏家,,,663076,,,
2022/06,TT99,膀羆砏家,,,647593,,,
2022/05,TT99,膀羆砏家,,,735065,,,
2022/04,TT99,膀羆砏家,,,720874,,,
2022/03,TT99,膀羆砏家,,,777358,,,
2022/02,TT99,膀羆砏家,,,777692,,,
2022/01,TT99,膀羆砏家,,,791793,,,
2021/12,TT99,膀羆砏家,,,820210,,,
2021/11,TT99,膀羆砏家,,,781844,,,
2021/10,TT99,膀羆砏家,,,765265,,,
2021/09,TT99,膀羆砏家,,,762083,,,
2021/08,TT99,膀羆砏家,,,723072,,,
2021/07,TT99,膀羆砏家,,,697847,,,
2021/06,TT99,膀羆砏家,,,711840,,,
2021/05,TT99,膀羆砏家,,,700490,,,
2021/04,TT99,膀羆砏家,,,717613,,,
2021/03,TT99,膀羆砏家,,,680800,,,
2021/02,TT99,膀羆砏家,,,667564,,,
2021/01,TT99,膀羆砏家,,,641828,,,
2020/12,TT99,膀羆砏家,,,615690,,,
2020/11,TT99,膀羆砏家,,,565416,,,
2020/10,TT99,膀羆砏家,,,515729,,,
2020/09,TT99,膀羆砏家,,,515563,,,
2020/08,TT99,膀羆砏家,,,512059,,,
2020/07,TT99,膀羆砏家,,,519763,,,
2020/06,TT99,膀羆砏家,,,494515,,,
2020/05,TT99,膀羆砏家,,,460892,,,
2020/04,TT99,膀羆砏家,,,448352,,,
2020/03,TT99,膀羆砏家,,,381803,,,
2020/02,TT99,膀羆砏家,,,441705,,,
2020/01,TT99,膀羆砏家,,,449306,,,
