006204 ッ伦籓芖舦--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,172525,,,
2025/01,TT99,膀羆砏家,,,176529,,,
2024/12,TT99,膀羆砏家,,,172856,,,
2024/11,TT99,膀羆砏家,,,167060,,,
2024/10,TT99,膀羆砏家,,,171380,,,
2024/09,TT99,膀羆砏家,,,167731,,,
2024/08,TT99,膀羆砏家,,,167831,,,
2024/07,TT99,膀羆砏家,,,167189,,,
2024/06,TT99,膀羆砏家,,,172262,,,
2024/05,TT99,膀羆砏家,,,157737,,,
2024/04,TT99,膀羆砏家,,,152072,,,
2024/03,TT99,膀羆砏家,,,152341,,,
2024/02,TT99,膀羆砏家,,,188651,,,
2024/01,TT99,膀羆砏家,,,133997,,,
2023/12,TT99,膀羆砏家,,,134378,,,
2023/11,TT99,膀羆砏家,,,130223,,,
2023/10,TT99,膀羆砏家,,,119771,,,
2023/09,TT99,膀羆砏家,,,128584,,,
2023/08,TT99,膀羆砏家,,,174436,,,
2023/07,TT99,膀羆砏家,,,178521,,,
2023/06,TT99,膀羆砏家,,,174244,,,
2023/05,TT99,膀羆砏家,,,168575,,,
2023/04,TT99,膀羆砏家,,,156977,,,
2023/03,TT99,膀羆砏家,,,159678,,,
2023/02,TT99,膀羆砏家,,,156078,,,
2023/01,TT99,膀羆砏家,,,152716,,,
2022/12,TT99,膀羆砏家,,,141839,,,
2022/11,TT99,膀羆砏家,,,149039,,,
2022/10,TT99,膀羆砏家,,,129704,,,
2022/09,TT99,膀羆砏家,,,104682,,,
2022/08,TT99,膀羆砏家,,,116914,,,
2022/07,TT99,膀羆砏家,,,115614,,,
2022/06,TT99,膀羆砏家,,,112729,,,
2022/05,TT99,膀羆砏家,,,126410,,,
2022/04,TT99,膀羆砏家,,,126044,,,
2022/03,TT99,膀羆砏家,,,133072,,,
2022/02,TT99,膀羆砏家,,,132983,,,
2022/01,TT99,膀羆砏家,,,132932,,,
2021/12,TT99,膀羆砏家,,,137510,,,
2021/11,TT99,膀羆砏家,,,131409,,,
2021/10,TT99,膀羆砏家,,,170669,,,
2021/09,TT99,膀羆砏家,,,135269,,,
2021/08,TT99,膀羆砏家,,,139290,,,
2021/07,TT99,膀羆砏家,,,137040,,,
2021/06,TT99,膀羆砏家,,,138808,,,
2021/05,TT99,膀羆砏家,,,130757,,,
2021/04,TT99,膀羆砏家,,,133592,,,
2021/03,TT99,膀羆砏家,,,164861,,,
2021/02,TT99,膀羆砏家,,,159971,,,
2021/01,TT99,膀羆砏家,,,151983,,,
2020/12,TT99,膀羆砏家,,,147843,,,
2020/11,TT99,膀羆砏家,,,137141,,,
2020/10,TT99,膀羆砏家,,,124944,,,
2020/09,TT99,膀羆砏家,,,126650,,,
2020/08,TT99,膀羆砏家,,,127635,,,
2020/07,TT99,膀羆砏家,,,95639,,,
2020/06,TT99,膀羆砏家,,,87155,,,
2020/05,TT99,膀羆砏家,,,81841,,,
2020/04,TT99,膀羆砏家,,,82122,,,
2020/03,TT99,膀羆砏家,,,144799,,,
2020/02,TT99,膀羆砏家,,,112335,,,
2020/01,TT99,膀羆砏家,,,114349,,,
2019/12,TT99,膀羆砏家,,,119364,,,
2019/11,TT99,膀羆砏家,,,114432,,,
2019/10,TT99,膀羆砏家,,,113518,,,
2019/09,TT99,膀羆砏家,,,166894,,,
2019/08,TT99,膀羆砏家,,,163179,,,
2019/07,TT99,膀羆砏家,,,330587,,,
2019/06,TT99,膀羆砏家,,,321439,,,
2019/05,TT99,膀羆砏家,,,155699,,,
2019/04,TT99,膀羆砏家,,,163071,,,
2019/03,TT99,膀羆砏家,,,157991,,,
2019/02,TT99,膀羆砏家,,,154295,,,
2019/01,TT99,膀羆砏家,,,147687,,,
2018/12,TT99,膀羆砏家,,,144578,,,
2018/11,TT99,膀羆砏家,,,147505,,,
2018/10,TT99,膀羆砏家,,,146610,,,
2018/09,TT99,膀羆砏家,,,170898,,,
2018/08,TT99,膀羆砏家,,,171663,,,
2018/07,TT99,膀羆砏家,,,170441,,,
2018/06,TT99,膀羆砏家,,,163281,,,
2018/05,TT99,膀羆砏家,,,162677,,,
2018/04,TT99,膀羆砏家,,,159116,,,
2018/03,TT99,膀羆砏家,,,162772,,,
2018/02,TT99,膀羆砏家,,,161724,,,
2018/01,TT99,膀羆砏家,,,166107,,,
2017/12,TT99,膀羆砏家,,,159149,,,
2017/11,TT99,膀羆砏家,,,158177,,,
2017/10,TT99,膀羆砏家,,,161899,,,
2017/09,TT99,膀羆砏家,,,160871,,,
2017/08,TT99,膀羆砏家,,,164147,,,
2017/07,TT99,膀羆砏家,,,160371,,,
2017/06,TT99,膀羆砏家,,,156814,,,
2017/05,TT99,膀羆砏家,,,150096,,,
2017/04,TT99,膀羆砏家,,,147517,,,
2017/03,TT99,膀羆砏家,,,146699,,,
2017/02,TT99,膀羆砏家,,,145784,,,
2017/01,TT99,膀羆砏家,,,141485,,,
2016/12,TT99,膀羆砏家,,,184784,,,
2016/11,TT99,膀羆砏家,,,184818,,,
2016/10,TT99,膀羆砏家,,,232614,,,
2016/09,TT99,膀羆砏家,,,237066,,,
2016/08,TT99,膀羆砏家,,,280187,,,
2016/07,TT99,膀羆砏家,,,275340,,,
2016/06,TT99,膀羆砏家,,,261016,,,
2016/05,TT99,膀羆砏家,,,254555,,,
2016/04,TT99,膀羆砏家,,,249726,,,
2016/03,TT99,膀羆砏家,,,260679,,,
2016/02,TT99,膀羆砏家,,,250899,,,
2016/01,TT99,膀羆砏家,,,243599,,,
2015/12,TT99,膀羆砏家,,,249116,,,
2015/11,TT99,膀羆砏家,,,249153,,,
2015/10,TT99,膀羆砏家,,,256620,,,
2015/09,TT99,膀羆砏家,,,254760,,,
2015/08,TT99,膀羆砏家,,,254235,,,
2015/07,TT99,膀羆砏家,,,311724,,,
2015/06,TT99,膀羆砏家,,,329131,,,
2015/05,TT99,膀羆砏家,,,339882,,,
2015/04,TT99,膀羆砏家,,,343538,,,
2015/03,TT99,膀羆砏家,,,334982,,,
2015/02,TT99,膀羆砏家,,,336755,,,
