006208 碔ü50--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,204939725,,,
2025/01,TT99,膀羆砏家,,,198391935,,,
2024/12,TT99,膀羆砏家,,,185936505,,,
2024/11,TT99,膀羆砏家,,,172395977,,,
2024/10,TT99,膀羆砏家,,,159490816,,,
2024/09,TT99,膀羆砏家,,,140518651,,,
2024/08,TT99,膀羆砏家,,,133658059,,,
2024/07,TT99,膀羆砏家,,,119798849,,,
2024/06,TT99,膀羆砏家,,,109279072,,,
2024/05,TT99,膀羆砏家,,,91598074,,,
2024/04,TT99,膀羆砏家,,,84851752,,,
2024/03,TT99,膀羆砏家,,,82154925,,,
2024/02,TT99,膀羆砏家,,,74555100,,,
2024/01,TT99,膀羆砏家,,,69376004,,,
2023/12,TT99,膀羆砏家,,,68507518,,,
2023/11,TT99,膀羆砏家,,,66751883,,,
2023/10,TT99,膀羆砏家,,,61013149,,,
2023/09,TT99,膀羆砏家,,,58953772,,,
2023/08,TT99,膀羆砏家,,,58131002,,,
2023/07,TT99,膀羆砏家,,,55434305,,,
2023/06,TT99,膀羆砏家,,,54470403,,,
2023/05,TT99,膀羆砏家,,,53586656,,,
2023/04,TT99,膀羆砏家,,,49007524,,,
2023/03,TT99,膀羆砏家,,,48387287,,,
2023/02,TT99,膀羆砏家,,,46175020,,,
2023/01,TT99,膀羆砏家,,,45554416,,,
2022/12,TT99,膀羆砏家,,,40634828,,,
2022/11,TT99,膀羆砏家,,,42597034,,,
2022/10,TT99,膀羆砏家,,,36234654,,,
2022/09,TT99,膀羆砏家,,,34574916,,,
2022/08,TT99,膀羆砏家,,,35188293,,,
2022/07,TT99,膀羆砏家,,,32056998,,,
2022/06,TT99,膀羆砏家,,,29233992,,,
2022/05,TT99,膀羆砏家,,,31039362,,,
2022/04,TT99,膀羆砏家,,,29127595,,,
2022/03,TT99,膀羆砏家,,,27709035,,,
2022/02,TT99,膀羆砏家,,,22563598,,,
2022/01,TT99,膀羆砏家,,,20486442,,,
2021/12,TT99,膀羆砏家,,,19549483,,,
2021/11,TT99,膀羆砏家,,,18431421,,,
2021/10,TT99,膀羆砏家,,,17516274,,,
2021/09,TT99,膀羆砏家,,,15810899,,,
2021/08,TT99,膀羆砏家,,,16093440,,,
2021/07,TT99,膀羆砏家,,,14329195,,,
2021/06,TT99,膀羆砏家,,,13986693,,,
2021/05,TT99,膀羆砏家,,,12962234,,,
2021/04,TT99,膀羆砏家,,,11625831,,,
2021/03,TT99,膀羆砏家,,,10960333,,,
2021/02,TT99,膀羆砏家,,,9279795,,,
2021/01,TT99,膀羆砏家,,,7958372,,,
2020/12,TT99,膀羆砏家,,,6089780,,,
2020/11,TT99,膀羆砏家,,,5313558,,,
2020/10,TT99,膀羆砏家,,,4701323,,,
2020/09,TT99,膀羆砏家,,,4704998,,,
2020/08,TT99,膀羆砏家,,,4426191,,,
2020/07,TT99,膀羆砏家,,,4353829,,,
2020/06,TT99,膀羆砏家,,,4087480,,,
2020/05,TT99,膀羆砏家,,,3859251,,,
2020/04,TT99,膀羆砏家,,,3593449,,,
2020/03,TT99,膀羆砏家,,,3038736,,,
2020/02,TT99,膀羆砏家,,,2883054,,,
2020/01,TT99,膀羆砏家,,,2568729,,,
2019/12,TT99,膀羆砏家,,,2385533,,,
2019/11,TT99,膀羆砏家,,,2207188,,,
2019/10,TT99,膀羆砏家,,,1986666,,,
2019/09,TT99,膀羆砏家,,,1870447,,,
2019/08,TT99,膀羆砏家,,,1816131,,,
2019/07,TT99,膀羆砏家,,,1694974,,,
2019/06,TT99,膀羆砏家,,,1546292,,,
2019/05,TT99,膀羆砏家,,,1383526,,,
2019/04,TT99,膀羆砏家,,,1297067,,,
