00690 伦籓芖屡膚30--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,3013845,,,
2025/01,TT99,膀羆砏家,,,2885644,,,
2024/12,TT99,膀羆砏家,,,2830924,,,
2024/11,TT99,膀羆砏家,,,2749840,,,
2024/10,TT99,膀羆砏家,,,2507653,,,
2024/09,TT99,膀羆砏家,,,2301713,,,
2024/08,TT99,膀羆砏家,,,2273142,,,
2024/07,TT99,膀羆砏家,,,2030253,,,
2024/06,TT99,膀羆砏家,,,1866126,,,
2024/05,TT99,膀羆砏家,,,1804409,,,
2024/04,TT99,膀羆砏家,,,1446193,,,
2024/03,TT99,膀羆砏家,,,1471498,,,
2024/02,TT99,膀羆砏家,,,1656986,,,
2024/01,TT99,膀羆砏家,,,1198099,,,
2023/12,TT99,膀羆砏家,,,1234689,,,
2023/11,TT99,膀羆砏家,,,1314333,,,
2023/10,TT99,膀羆砏家,,,1106723,,,
2023/09,TT99,膀羆砏家,,,1060971,,,
2023/08,TT99,膀羆砏家,,,1105448,,,
2023/07,TT99,膀羆砏家,,,1148876,,,
2023/06,TT99,膀羆砏家,,,1281078,,,
2023/05,TT99,膀羆砏家,,,1631968,,,
2023/04,TT99,膀羆砏家,,,543125,,,
2023/03,TT99,膀羆砏家,,,559554,,,
2023/02,TT99,膀羆砏家,,,601227,,,
2023/01,TT99,膀羆砏家,,,609310,,,
2022/12,TT99,膀羆砏家,,,593596,,,
2022/11,TT99,膀羆砏家,,,727905,,,
2022/10,TT99,膀羆砏家,,,329213,,,
2022/09,TT99,膀羆砏家,,,274831,,,
2022/08,TT99,膀羆砏家,,,310521,,,
2022/07,TT99,膀羆砏家,,,311747,,,
2022/06,TT99,膀羆砏家,,,304654,,,
2022/05,TT99,膀羆砏家,,,338804,,,
2022/04,TT99,膀羆砏家,,,337740,,,
2022/03,TT99,膀羆砏家,,,357899,,,
2022/02,TT99,膀羆砏家,,,361299,,,
2022/01,TT99,膀羆砏家,,,384897,,,
2021/12,TT99,膀羆砏家,,,375445,,,
2021/11,TT99,膀羆砏家,,,369478,,,
2021/10,TT99,膀羆砏家,,,372287,,,
2021/09,TT99,膀羆砏家,,,372230,,,
2021/08,TT99,膀羆砏家,,,381666,,,
2021/07,TT99,膀羆砏家,,,372172,,,
2021/06,TT99,膀羆砏家,,,389438,,,
2021/05,TT99,膀羆砏家,,,405765,,,
2021/04,TT99,膀羆砏家,,,416488,,,
2021/03,TT99,膀羆砏家,,,392458,,,
2021/02,TT99,膀羆砏家,,,378891,,,
2021/01,TT99,膀羆砏家,,,377300,,,
2020/12,TT99,膀羆砏家,,,380557,,,
2020/11,TT99,膀羆砏家,,,365547,,,
2020/10,TT99,膀羆砏家,,,372941,,,
2020/09,TT99,膀羆砏家,,,371802,,,
2020/08,TT99,膀羆砏家,,,407742,,,
2020/07,TT99,膀羆砏家,,,396899,,,
2020/06,TT99,膀羆砏家,,,395432,,,
2020/05,TT99,膀羆砏家,,,377550,,,
2020/04,TT99,膀羆砏家,,,371736,,,
2020/03,TT99,膀羆砏家,,,327577,,,
2020/02,TT99,膀羆砏家,,,356678,,,
2020/01,TT99,膀羆砏家,,,354210,,,
2019/12,TT99,膀羆砏家,,,382942,,,
2019/11,TT99,膀羆砏家,,,364372,,,
2019/10,TT99,膀羆砏家,,,353728,,,
2019/09,TT99,膀羆砏家,,,427797,,,
2019/08,TT99,膀羆砏家,,,437190,,,
2019/07,TT99,膀羆砏家,,,441488,,,
2019/06,TT99,膀羆砏家,,,446910,,,
2019/05,TT99,膀羆砏家,,,432809,,,
2019/04,TT99,膀羆砏家,,,477870,,,
2019/03,TT99,膀羆砏家,,,462566,,,
2019/02,TT99,膀羆砏家,,,468296,,,
2019/01,TT99,膀羆砏家,,,456417,,,
2018/12,TT99,膀羆砏家,,,437634,,,
2018/11,TT99,膀羆砏家,,,424006,,,
2018/10,TT99,膀羆砏家,,,410046,,,
2018/09,TT99,膀羆砏家,,,407247,,,
2018/08,TT99,膀羆砏家,,,413081,,,
2018/07,TT99,膀羆砏家,,,408704,,,
2018/06,TT99,膀羆砏家,,,393721,,,
2018/05,TT99,膀羆砏家,,,387816,,,
2018/04,TT99,膀羆砏家,,,375479,,,
2018/03,TT99,膀羆砏家,,,406263,,,
2018/02,TT99,膀羆砏家,,,435565,,,
2018/01,TT99,膀羆砏家,,,442359,,,
2017/12,TT99,膀羆砏家,,,442653,,,
2017/11,TT99,膀羆砏家,,,433966,,,
2017/10,TT99,膀羆砏家,,,471672,,,
2017/09,TT99,膀羆砏家,,,454905,,,
2017/08,TT99,膀羆砏家,,,462440,,,
2017/07,TT99,膀羆砏家,,,456240,,,
2017/06,TT99,膀羆砏家,,,457968,,,
2017/05,TT99,膀羆砏家,,,457988,,,
2017/04,TT99,膀羆砏家,,,454735,,,
2017/03,TT99,膀羆砏家,,,431876,,,
