00692 碔üそ獀瞶--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,31168063,,,
2025/01,TT99,膀羆砏家,,,32104975,,,
2024/12,TT99,膀羆砏家,,,31062271,,,
2024/11,TT99,膀羆砏家,,,29576621,,,
2024/10,TT99,膀羆砏家,,,30205075,,,
2024/09,TT99,膀羆砏家,,,28895138,,,
2024/08,TT99,膀羆砏家,,,28635134,,,
2024/07,TT99,膀羆砏家,,,28157429,,,
2024/06,TT99,膀羆砏家,,,29001913,,,
2024/05,TT99,膀羆砏家,,,25915904,,,
2024/04,TT99,膀羆砏家,,,24858735,,,
2024/03,TT99,膀羆砏家,,,25163255,,,
2024/02,TT99,膀羆砏家,,,23963416,,,
2024/01,TT99,膀羆砏家,,,22628189,,,
2023/12,TT99,膀羆砏家,,,22586106,,,
2023/11,TT99,膀羆砏家,,,21882985,,,
2023/10,TT99,膀羆砏家,,,20329482,,,
2023/09,TT99,膀羆砏家,,,19862545,,,
2023/08,TT99,膀羆砏家,,,19813757,,,
2023/07,TT99,膀羆砏家,,,19872283,,,
2023/06,TT99,膀羆砏家,,,19983586,,,
2023/05,TT99,膀羆砏家,,,19424137,,,
2023/04,TT99,膀羆砏家,,,17893092,,,
2023/03,TT99,膀羆砏家,,,17843904,,,
2023/02,TT99,膀羆砏家,,,17111416,,,
2023/01,TT99,膀羆砏家,,,17051888,,,
2022/12,TT99,膀羆砏家,,,15545197,,,
2022/11,TT99,膀羆砏家,,,16394421,,,
2022/10,TT99,膀羆砏家,,,14229880,,,
2022/09,TT99,膀羆砏家,,,13732691,,,
2022/08,TT99,膀羆砏家,,,14338736,,,
2022/07,TT99,膀羆砏家,,,13827019,,,
2022/06,TT99,膀羆砏家,,,13145492,,,
2022/05,TT99,膀羆砏家,,,14726898,,,
2022/04,TT99,膀羆砏家,,,14282480,,,
2022/03,TT99,膀羆砏家,,,14474474,,,
2022/02,TT99,膀羆砏家,,,13282012,,,
2022/01,TT99,膀羆砏家,,,13125432,,,
2021/12,TT99,膀羆砏家,,,13995176,,,
2021/11,TT99,膀羆砏家,,,13188555,,,
2021/10,TT99,膀羆砏家,,,11858047,,,
2021/09,TT99,膀羆砏家,,,11369642,,,
2021/08,TT99,膀羆砏家,,,11802207,,,
2021/07,TT99,膀羆砏家,,,11069699,,,
2021/06,TT99,膀羆砏家,,,11401114,,,
2021/05,TT99,膀羆砏家,,,11138511,,,
2021/04,TT99,膀羆砏家,,,10541694,,,
2021/03,TT99,膀羆砏家,,,10029581,,,
2021/02,TT99,膀羆砏家,,,9023160,,,
2021/01,TT99,膀羆砏家,,,8289428,,,
2020/12,TT99,膀羆砏家,,,7707874,,,
2020/11,TT99,膀羆砏家,,,6962666,,,
2020/10,TT99,膀羆砏家,,,6336262,,,
2020/09,TT99,膀羆砏家,,,6297415,,,
2020/08,TT99,膀羆砏家,,,6343862,,,
2020/07,TT99,膀羆砏家,,,6438698,,,
2020/06,TT99,膀羆砏家,,,6671658,,,
2020/05,TT99,膀羆砏家,,,6354223,,,
2020/04,TT99,膀羆砏家,,,6383292,,,
2020/03,TT99,膀羆砏家,,,5628160,,,
2020/02,TT99,膀羆砏家,,,5583499,,,
2020/01,TT99,膀羆砏家,,,5063686,,,
2019/12,TT99,膀羆砏家,,,4927687,,,
2019/11,TT99,膀羆砏家,,,4470482,,,
2019/10,TT99,膀羆砏家,,,3741517,,,
2019/09,TT99,膀羆砏家,,,3544929,,,
2019/08,TT99,膀羆砏家,,,3482458,,,
2019/07,TT99,膀羆砏家,,,3412535,,,
2019/06,TT99,膀羆砏家,,,3394992,,,
2019/05,TT99,膀羆砏家,,,3280695,,,
2019/04,TT99,膀羆砏家,,,3395933,,,
2019/03,TT99,膀羆砏家,,,3326515,,,
2019/02,TT99,膀羆砏家,,,3265094,,,
2019/01,TT99,膀羆砏家,,,3135042,,,
2018/12,TT99,膀羆砏家,,,3116160,,,
2018/11,TT99,膀羆砏家,,,2979154,,,
2018/10,TT99,膀羆砏家,,,2877244,,,
2018/09,TT99,膀羆砏家,,,2943594,,,
2018/08,TT99,膀羆砏家,,,2755775,,,
2018/07,TT99,膀羆砏家,,,2746990,,,
2018/06,TT99,膀羆砏家,,,2640391,,,
2018/05,TT99,膀羆砏家,,,2635825,,,
2018/04,TT99,膀羆砏家,,,2604970,,,
2018/03,TT99,膀羆砏家,,,2576092,,,
2018/02,TT99,膀羆砏家,,,2566638,,,
2018/01,TT99,膀羆砏家,,,2518756,,,
2017/12,TT99,膀羆砏家,,,2386556,,,
2017/11,TT99,膀羆砏家,,,2306824,,,
2017/10,TT99,膀羆砏家,,,2622366,,,
2017/09,TT99,膀羆砏家,,,2594940,,,
2017/08,TT99,膀羆砏家,,,2699528,,,
2017/07,TT99,膀羆砏家,,,2745908,,,
2017/06,TT99,膀羆砏家,,,2878586,,,
2017/05,TT99,膀羆砏家,,,3123644,,,
