00701 瓣弘匡30--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,5587511,,,
2025/01,TT99,膀羆砏家,,,5521487,,,
2024/12,TT99,膀羆砏家,,,4674456,,,
2024/11,TT99,膀羆砏家,,,4749192,,,
2024/10,TT99,膀羆砏家,,,4792237,,,
2024/09,TT99,膀羆砏家,,,4874206,,,
2024/08,TT99,膀羆砏家,,,4946846,,,
2024/07,TT99,膀羆砏家,,,5204638,,,
2024/06,TT99,膀羆砏家,,,5164724,,,
2024/05,TT99,膀羆砏家,,,5317259,,,
2024/04,TT99,膀羆砏家,,,5545828,,,
2024/03,TT99,膀羆砏家,,,6005692,,,
2024/02,TT99,膀羆砏家,,,6286679,,,
2024/01,TT99,膀羆砏家,,,6211016,,,
2023/12,TT99,膀羆砏家,,,6619203,,,
2023/11,TT99,膀羆砏家,,,6915422,,,
2023/10,TT99,膀羆砏家,,,6627886,,,
2023/09,TT99,膀羆砏家,,,6956585,,,
2023/08,TT99,膀羆砏家,,,7383178,,,
2023/07,TT99,膀羆砏家,,,8044132,,,
2023/06,TT99,膀羆砏家,,,8277146,,,
2023/05,TT99,膀羆砏家,,,8239539,,,
2023/04,TT99,膀羆砏家,,,7958082,,,
2023/03,TT99,膀羆砏家,,,7897444,,,
2023/02,TT99,膀羆砏家,,,7858379,,,
2023/01,TT99,膀羆砏家,,,7640695,,,
2022/12,TT99,膀羆砏家,,,7580950,,,
2022/11,TT99,膀羆砏家,,,7598255,,,
2022/10,TT99,膀羆砏家,,,7346494,,,
2022/09,TT99,膀羆砏家,,,7665293,,,
2022/08,TT99,膀羆砏家,,,8313146,,,
2022/07,TT99,膀羆砏家,,,8230592,,,
2022/06,TT99,膀羆砏家,,,8040124,,,
2022/05,TT99,膀羆砏家,,,8622826,,,
2022/04,TT99,膀羆砏家,,,8856763,,,
2022/03,TT99,膀羆砏家,,,9158730,,,
2022/02,TT99,膀羆砏家,,,8574125,,,
2022/01,TT99,膀羆砏家,,,8083593,,,
2021/12,TT99,膀羆砏家,,,3741454,,,
2021/11,TT99,膀羆砏家,,,3604158,,,
2021/10,TT99,膀羆砏家,,,3643711,,,
2021/09,TT99,膀羆砏家,,,3700253,,,
2021/08,TT99,膀羆砏家,,,3876634,,,
2021/07,TT99,膀羆砏家,,,3828539,,,
2021/06,TT99,膀羆砏家,,,4122657,,,
2021/05,TT99,膀羆砏家,,,4224894,,,
2021/04,TT99,膀羆砏家,,,4674101,,,
2021/03,TT99,膀羆砏家,,,4701831,,,
2021/02,TT99,膀羆砏家,,,4820763,,,
2021/01,TT99,膀羆砏家,,,4760240,,,
2020/12,TT99,膀羆砏家,,,4948210,,,
2020/11,TT99,膀羆砏家,,,4570607,,,
2020/10,TT99,膀羆砏家,,,4293112,,,
2020/09,TT99,膀羆砏家,,,4321187,,,
2020/08,TT99,膀羆砏家,,,4379234,,,
2020/07,TT99,膀羆砏家,,,4489948,,,
2020/06,TT99,膀羆砏家,,,4621901,,,
2020/05,TT99,膀羆砏家,,,4479401,,,
2020/04,TT99,膀羆砏家,,,4333324,,,
2020/03,TT99,膀羆砏家,,,3838445,,,
2020/02,TT99,膀羆砏家,,,4133720,,,
2020/01,TT99,膀羆砏家,,,3255594,,,
2019/12,TT99,膀羆砏家,,,281623,,,
2019/11,TT99,膀羆砏家,,,265358,,,
2019/10,TT99,膀羆砏家,,,287204,,,
2019/09,TT99,膀羆砏家,,,291888,,,
2019/08,TT99,膀羆砏家,,,298034,,,
2019/07,TT99,膀羆砏家,,,301829,,,
2019/06,TT99,膀羆砏家,,,343869,,,
2019/05,TT99,膀羆砏家,,,337513,,,
2019/04,TT99,膀羆砏家,,,339157,,,
2019/03,TT99,膀羆砏家,,,388089,,,
2019/02,TT99,膀羆砏家,,,468974,,,
2019/01,TT99,膀羆砏家,,,607077,,,
2018/12,TT99,膀羆砏家,,,517131,,,
2018/11,TT99,膀羆砏家,,,498402,,,
2018/10,TT99,膀羆砏家,,,432289,,,
2018/09,TT99,膀羆砏家,,,467893,,,
2018/08,TT99,膀羆砏家,,,415068,,,
2018/07,TT99,膀羆砏家,,,504051,,,
2018/06,TT99,膀羆砏家,,,495430,,,
2018/05,TT99,膀羆砏家,,,510641,,,
2018/04,TT99,膀羆砏家,,,531663,,,
2018/03,TT99,膀羆砏家,,,852071,,,
2018/02,TT99,膀羆砏家,,,901618,,,
2018/01,TT99,膀羆砏家,,,907113,,,
2017/12,TT99,膀羆砏家,,,3074594,,,
2017/11,TT99,膀羆砏家,,,3129023,,,
2017/10,TT99,膀羆砏家,,,3162358,,,
2017/09,TT99,膀羆砏家,,,1274554,,,
2017/08,TT99,膀羆砏家,,,1113908,,,
