00713 じ芖蔼猧--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,127961585,,,
2025/01,TT99,膀羆砏家,,,121679739,,,
2024/12,TT99,膀羆砏家,,,117195903,,,
2024/11,TT99,膀羆砏家,,,113158731,,,
2024/10,TT99,膀羆砏家,,,108159070,,,
2024/09,TT99,膀羆砏家,,,102872134,,,
2024/08,TT99,膀羆砏家,,,93483855,,,
2024/07,TT99,膀羆砏家,,,85487508,,,
2024/06,TT99,膀羆砏家,,,79001444,,,
2024/05,TT99,膀羆砏家,,,67152072,,,
2024/04,TT99,膀羆砏家,,,62162270,,,
2024/03,TT99,膀羆砏家,,,59006769,,,
2024/02,TT99,膀羆砏家,,,55580998,,,
2024/01,TT99,膀羆砏家,,,53407557,,,
2023/12,TT99,膀羆砏家,,,50164729,,,
2023/11,TT99,膀羆砏家,,,48110812,,,
2023/10,TT99,膀羆砏家,,,41727047,,,
2023/09,TT99,膀羆砏家,,,39910149,,,
2023/08,TT99,膀羆砏家,,,37575216,,,
2023/07,TT99,膀羆砏家,,,36198082,,,
2023/06,TT99,膀羆砏家,,,35404824,,,
2023/05,TT99,膀羆砏家,,,31377569,,,
2023/04,TT99,膀羆砏家,,,24407331,,,
2023/03,TT99,膀羆砏家,,,25723889,,,
2023/02,TT99,膀羆砏家,,,17580107,,,
2023/01,TT99,膀羆砏家,,,15802196,,,
2022/12,TT99,膀羆砏家,,,15047598,,,
2022/11,TT99,膀羆砏家,,,11639577,,,
2022/10,TT99,膀羆砏家,,,10458077,,,
2022/09,TT99,膀羆砏家,,,10480597,,,
2022/08,TT99,膀羆砏家,,,9296575,,,
2022/07,TT99,膀羆砏家,,,8766281,,,
2022/06,TT99,膀羆砏家,,,8438401,,,
2022/05,TT99,膀羆砏家,,,9339771,,,
2022/04,TT99,膀羆砏家,,,8990936,,,
2022/03,TT99,膀羆砏家,,,9839769,,,
2022/02,TT99,膀羆砏家,,,9868916,,,
2022/01,TT99,膀羆砏家,,,9780083,,,
2021/12,TT99,膀羆砏家,,,9621617,,,
2021/11,TT99,膀羆砏家,,,9443593,,,
2021/10,TT99,膀羆砏家,,,3617242,,,
2021/09,TT99,膀羆砏家,,,3537015,,,
2021/08,TT99,膀羆砏家,,,3591219,,,
2021/07,TT99,膀羆砏家,,,3548772,,,
2021/06,TT99,膀羆砏家,,,3461304,,,
2021/05,TT99,膀羆砏家,,,3603074,,,
2021/04,TT99,膀羆砏家,,,3799667,,,
2021/03,TT99,膀羆砏家,,,3496252,,,
2021/02,TT99,膀羆砏家,,,2972858,,,
2021/01,TT99,膀羆砏家,,,2819829,,,
2020/12,TT99,膀羆砏家,,,3165415,,,
2020/11,TT99,膀羆砏家,,,3600843,,,
2020/10,TT99,膀羆砏家,,,3678673,,,
2020/09,TT99,膀羆砏家,,,3504414,,,
2020/08,TT99,膀羆砏家,,,3587848,,,
2020/07,TT99,膀羆砏家,,,3494684,,,
2020/06,TT99,膀羆砏家,,,3585902,,,
2020/05,TT99,膀羆砏家,,,3508100,,,
2020/04,TT99,膀羆砏家,,,3469917,,,
2020/03,TT99,膀羆砏家,,,2966407,,,
2020/02,TT99,膀羆砏家,,,3325178,,,
2020/01,TT99,膀羆砏家,,,3295194,,,
2019/12,TT99,膀羆砏家,,,3349862,,,
2019/11,TT99,膀羆砏家,,,3350907,,,
2019/10,TT99,膀羆砏家,,,3525789,,,
2019/09,TT99,膀羆砏家,,,3522825,,,
2019/08,TT99,膀羆砏家,,,3530286,,,
2019/07,TT99,膀羆砏家,,,3230274,,,
2019/06,TT99,膀羆砏家,,,3133381,,,
2019/05,TT99,膀羆砏家,,,3020333,,,
2019/04,TT99,膀羆砏家,,,3141741,,,
2019/03,TT99,膀羆砏家,,,3219126,,,
2019/02,TT99,膀羆砏家,,,3123428,,,
2019/01,TT99,膀羆砏家,,,3009075,,,
2018/12,TT99,膀羆砏家,,,2790257,,,
2018/11,TT99,膀羆砏家,,,2849740,,,
2018/10,TT99,膀羆砏家,,,2902118,,,
2018/09,TT99,膀羆砏家,,,3214149,,,
2018/08,TT99,膀羆砏家,,,3147547,,,
2018/07,TT99,膀羆砏家,,,3112474,,,
2018/06,TT99,膀羆砏家,,,3016553,,,
2018/05,TT99,膀羆砏家,,,3027830,,,
2018/04,TT99,膀羆砏家,,,2996560,,,
2018/03,TT99,膀羆砏家,,,3031512,,,
2018/02,TT99,膀羆砏家,,,6011649,,,
2018/01,TT99,膀羆砏家,,,6243354,,,
2017/12,TT99,膀羆砏家,,,6074649,,,
2017/11,TT99,膀羆砏家,,,5038847,,,
2017/10,TT99,膀羆砏家,,,3600656,,,
2017/09,TT99,膀羆砏家,,,2327199,,,
