00728 材穨30--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,1548619,,,
2025/01,TT99,膀羆砏家,,,1587793,,,
2024/12,TT99,膀羆砏家,,,1589473,,,
2024/11,TT99,膀羆砏家,,,1546566,,,
2024/10,TT99,膀羆砏家,,,1594277,,,
2024/09,TT99,膀羆砏家,,,1595245,,,
2024/08,TT99,膀羆砏家,,,1661844,,,
2024/07,TT99,膀羆砏家,,,1686395,,,
2024/06,TT99,膀羆砏家,,,1839380,,,
2024/05,TT99,膀羆砏家,,,1737462,,,
2024/04,TT99,膀羆砏家,,,1823413,,,
2024/03,TT99,膀羆砏家,,,1930800,,,
2024/02,TT99,膀羆砏家,,,2166158,,,
2024/01,TT99,膀羆砏家,,,2144191,,,
2023/12,TT99,膀羆砏家,,,2305744,,,
2023/11,TT99,膀羆砏家,,,2327517,,,
2023/10,TT99,膀羆砏家,,,2282423,,,
2023/09,TT99,膀羆砏家,,,2309512,,,
2023/08,TT99,膀羆砏家,,,2377200,,,
2023/07,TT99,膀羆砏家,,,2462148,,,
2023/06,TT99,膀羆砏家,,,2535326,,,
2023/05,TT99,膀羆砏家,,,2624420,,,
2023/04,TT99,膀羆砏家,,,2490936,,,
2023/03,TT99,膀羆砏家,,,2644694,,,
2023/02,TT99,膀羆砏家,,,2692090,,,
2023/01,TT99,膀羆砏家,,,2954451,,,
2022/12,TT99,膀羆砏家,,,2742337,,,
2022/11,TT99,膀羆砏家,,,2636341,,,
2022/10,TT99,膀羆砏家,,,2243120,,,
2022/09,TT99,膀羆砏家,,,2229415,,,
2022/08,TT99,膀羆砏家,,,2435654,,,
2022/07,TT99,膀羆砏家,,,2392833,,,
2022/06,TT99,膀羆砏家,,,2319662,,,
2022/05,TT99,膀羆砏家,,,2660801,,,
2022/04,TT99,膀羆砏家,,,2536355,,,
2022/03,TT99,膀羆砏家,,,2498723,,,
2022/02,TT99,膀羆砏家,,,2238023,,,
2022/01,TT99,膀羆砏家,,,1940812,,,
2021/12,TT99,膀羆砏家,,,1019915,,,
2021/11,TT99,膀羆砏家,,,940464,,,
2021/10,TT99,膀羆砏家,,,923586,,,
2021/09,TT99,膀羆砏家,,,890208,,,
2021/08,TT99,膀羆砏家,,,953666,,,
2021/07,TT99,膀羆砏家,,,943992,,,
2021/06,TT99,膀羆砏家,,,1004398,,,
2021/05,TT99,膀羆砏家,,,1072294,,,
2021/04,TT99,膀羆砏家,,,1041151,,,
2021/03,TT99,膀羆砏家,,,1116505,,,
2021/02,TT99,膀羆砏家,,,780174,,,
2021/01,TT99,膀羆砏家,,,559789,,,
2020/12,TT99,膀羆砏家,,,259882,,,
2020/11,TT99,膀羆砏家,,,251196,,,
2020/10,TT99,膀羆砏家,,,253025,,,
2020/09,TT99,膀羆砏家,,,250301,,,
2020/08,TT99,膀羆砏家,,,280763,,,
2020/07,TT99,膀羆砏家,,,296653,,,
2020/06,TT99,膀羆砏家,,,339186,,,
2020/05,TT99,膀羆砏家,,,329183,,,
2020/04,TT99,膀羆砏家,,,329781,,,
2020/03,TT99,膀羆砏家,,,286726,,,
2020/02,TT99,膀羆砏家,,,325565,,,
2020/01,TT99,膀羆砏家,,,297472,,,
2019/12,TT99,膀羆砏家,,,312296,,,
2019/11,TT99,膀羆砏家,,,298174,,,
2019/10,TT99,膀羆砏家,,,336936,,,
2019/09,TT99,膀羆砏家,,,320313,,,
2019/08,TT99,膀羆砏家,,,309363,,,
2019/07,TT99,膀羆砏家,,,284345,,,
2019/06,TT99,膀羆砏家,,,278486,,,
2019/05,TT99,膀羆砏家,,,270719,,,
2019/04,TT99,膀羆砏家,,,248181,,,
2019/03,TT99,膀羆砏家,,,242666,,,
2019/02,TT99,膀羆砏家,,,224111,,,
2019/01,TT99,膀羆砏家,,,211828,,,
2018/12,TT99,膀羆砏家,,,210367,,,
2018/11,TT99,膀羆砏家,,,205941,,,
2018/10,TT99,膀羆砏家,,,218359,,,
2018/09,TT99,膀羆砏家,,,244420,,,
2018/08,TT99,膀羆砏家,,,239839,,,
2018/07,TT99,膀羆砏家,,,323172,,,
2018/06,TT99,膀羆砏家,,,414714,,,
2018/05,TT99,膀羆砏家,,,541865,,,
2018/04,TT99,膀羆砏家,,,567121,,,
