00730 碔ü籓芖纔借蔼--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,1956076,,,
2025/01,TT99,膀羆砏家,,,2030770,,,
2024/12,TT99,膀羆砏家,,,2045377,,,
2024/11,TT99,膀羆砏家,,,2034509,,,
2024/10,TT99,膀羆砏家,,,2090464,,,
2024/09,TT99,膀羆砏家,,,1837712,,,
2024/08,TT99,膀羆砏家,,,1765510,,,
2024/07,TT99,膀羆砏家,,,1792910,,,
2024/06,TT99,膀羆砏家,,,1851342,,,
2024/05,TT99,膀羆砏家,,,1729337,,,
2024/04,TT99,膀羆砏家,,,1729685,,,
2024/03,TT99,膀羆砏家,,,1857759,,,
2024/02,TT99,膀羆砏家,,,1921135,,,
2024/01,TT99,膀羆砏家,,,1849076,,,
2023/12,TT99,膀羆砏家,,,1892678,,,
2023/11,TT99,膀羆砏家,,,1903841,,,
2023/10,TT99,膀羆砏家,,,1771630,,,
2023/09,TT99,膀羆砏家,,,1778123,,,
2023/08,TT99,膀羆砏家,,,1752662,,,
2023/07,TT99,膀羆砏家,,,1811604,,,
2023/06,TT99,膀羆砏家,,,1798898,,,
2023/05,TT99,膀羆砏家,,,1771757,,,
2023/04,TT99,膀羆砏家,,,1727903,,,
2023/03,TT99,膀羆砏家,,,1778163,,,
2023/02,TT99,膀羆砏家,,,1832573,,,
2023/01,TT99,膀羆砏家,,,1753133,,,
2022/12,TT99,膀羆砏家,,,1652105,,,
2022/11,TT99,膀羆砏家,,,1614538,,,
2022/10,TT99,膀羆砏家,,,1453638,,,
2022/09,TT99,膀羆砏家,,,1522647,,,
2022/08,TT99,膀羆砏家,,,1607481,,,
2022/07,TT99,膀羆砏家,,,1545733,,,
2022/06,TT99,膀羆砏家,,,1478122,,,
2022/05,TT99,膀羆砏家,,,1583201,,,
2022/04,TT99,膀羆砏家,,,1567756,,,
2022/03,TT99,膀羆砏家,,,1621069,,,
2022/02,TT99,膀羆砏家,,,1587784,,,
2022/01,TT99,膀羆砏家,,,1573308,,,
2021/12,TT99,膀羆砏家,,,1602746,,,
2021/11,TT99,膀羆砏家,,,1532828,,,
2021/10,TT99,膀羆砏家,,,1459575,,,
2021/09,TT99,膀羆砏家,,,1241334,,,
2021/08,TT99,膀羆砏家,,,1213110,,,
2021/07,TT99,膀羆砏家,,,1236923,,,
2021/06,TT99,膀羆砏家,,,1409498,,,
2021/05,TT99,膀羆砏家,,,1373179,,,
2021/04,TT99,膀羆砏家,,,1835010,,,
2021/03,TT99,膀羆砏家,,,2354450,,,
2021/02,TT99,膀羆砏家,,,2664736,,,
2021/01,TT99,膀羆砏家,,,2499144,,,
2020/12,TT99,膀羆砏家,,,2612528,,,
2020/11,TT99,膀羆砏家,,,2847439,,,
2020/10,TT99,膀羆砏家,,,2783673,,,
2020/09,TT99,膀羆砏家,,,2923807,,,
2020/08,TT99,膀羆砏家,,,2962428,,,
2020/07,TT99,膀羆砏家,,,2954520,,,
2020/06,TT99,膀羆砏家,,,2920069,,,
2020/05,TT99,膀羆砏家,,,2845969,,,
2020/04,TT99,膀羆砏家,,,2946095,,,
2020/03,TT99,膀羆砏家,,,2590811,,,
2020/02,TT99,膀羆砏家,,,2926206,,,
2020/01,TT99,膀羆砏家,,,2866938,,,
2019/12,TT99,膀羆砏家,,,2918677,,,
2019/11,TT99,膀羆砏家,,,2888107,,,
2019/10,TT99,膀羆砏家,,,3304435,,,
2019/09,TT99,膀羆砏家,,,3130434,,,
2019/08,TT99,膀羆砏家,,,3119164,,,
2019/07,TT99,膀羆砏家,,,3041319,,,
2019/06,TT99,膀羆砏家,,,2996600,,,
2019/05,TT99,膀羆砏家,,,2897593,,,
2019/04,TT99,膀羆砏家,,,2946871,,,
2019/03,TT99,膀羆砏家,,,2926108,,,
2019/02,TT99,膀羆砏家,,,2852021,,,
2019/01,TT99,膀羆砏家,,,2770950,,,
2018/12,TT99,膀羆砏家,,,2691653,,,
2018/11,TT99,膀羆砏家,,,2680541,,,
2018/10,TT99,膀羆砏家,,,2696383,,,
2018/09,TT99,膀羆砏家,,,3151064,,,
2018/08,TT99,膀羆砏家,,,3183681,,,
2018/07,TT99,膀羆砏家,,,3167372,,,
2018/06,TT99,膀羆砏家,,,3032532,,,
2018/05,TT99,膀羆砏家,,,2958847,,,
2018/04,TT99,膀羆砏家,,,2667208,,,
2018/03,TT99,膀羆砏家,,,2657663,,,
2018/02,TT99,膀羆砏家,,,2588450,,,
