00731 確地碔蔼猧--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,4394735,,,
2025/01,TT99,膀羆砏家,,,4682908,,,
2024/12,TT99,膀羆砏家,,,4382184,,,
2024/11,TT99,膀羆砏家,,,4278662,,,
2024/10,TT99,膀羆砏家,,,3337334,,,
2024/09,TT99,膀羆砏家,,,3147955,,,
2024/08,TT99,膀羆砏家,,,2965018,,,
2024/07,TT99,膀羆砏家,,,1968354,,,
2024/06,TT99,膀羆砏家,,,1877346,,,
2024/05,TT99,膀羆砏家,,,2140200,,,
2024/04,TT99,膀羆砏家,,,1019760,,,
2024/03,TT99,膀羆砏家,,,991888,,,
2024/02,TT99,膀羆砏家,,,967229,,,
2024/01,TT99,膀羆砏家,,,971150,,,
2023/12,TT99,膀羆砏家,,,984551,,,
2023/11,TT99,膀羆砏家,,,935359,,,
2023/10,TT99,膀羆砏家,,,974624,,,
2023/09,TT99,膀羆砏家,,,1026232,,,
2023/08,TT99,膀羆砏家,,,1050267,,,
2023/07,TT99,膀羆砏家,,,1192698,,,
2023/06,TT99,膀羆砏家,,,1174891,,,
2023/05,TT99,膀羆砏家,,,1247355,,,
2023/04,TT99,膀羆砏家,,,1261649,,,
2023/03,TT99,膀羆砏家,,,1250654,,,
2023/02,TT99,膀羆砏家,,,1271676,,,
2023/01,TT99,膀羆砏家,,,1236712,,,
2022/12,TT99,膀羆砏家,,,1203820,,,
2022/11,TT99,膀羆砏家,,,1204218,,,
2022/10,TT99,膀羆砏家,,,1098127,,,
2022/09,TT99,膀羆砏家,,,1104978,,,
2022/08,TT99,膀羆砏家,,,1120400,,,
2022/07,TT99,膀羆砏家,,,1103969,,,
2022/06,TT99,膀羆砏家,,,1087172,,,
2022/05,TT99,膀羆砏家,,,1141302,,,
2022/04,TT99,膀羆砏家,,,1184410,,,
2022/03,TT99,膀羆砏家,,,1358229,,,
2022/02,TT99,膀羆砏家,,,1470222,,,
2022/01,TT99,膀羆砏家,,,1538253,,,
2021/12,TT99,膀羆砏家,,,1704469,,,
2021/11,TT99,膀羆砏家,,,1716230,,,
2021/10,TT99,膀羆砏家,,,157484,,,
2021/09,TT99,膀羆砏家,,,157838,,,
2021/08,TT99,膀羆砏家,,,157346,,,
2021/07,TT99,膀羆砏家,,,151562,,,
2021/06,TT99,膀羆砏家,,,149267,,,
2021/05,TT99,膀羆砏家,,,178813,,,
2021/04,TT99,膀羆砏家,,,755812,,,
2021/03,TT99,膀羆砏家,,,720577,,,
2021/02,TT99,膀羆砏家,,,868692,,,
2021/01,TT99,膀羆砏家,,,836152,,,
2020/12,TT99,膀羆砏家,,,2244355,,,
2020/11,TT99,膀羆砏家,,,2737566,,,
2020/10,TT99,膀羆砏家,,,2759763,,,
2020/09,TT99,膀羆砏家,,,2780260,,,
2020/08,TT99,膀羆砏家,,,2882642,,,
2020/07,TT99,膀羆砏家,,,2879890,,,
2020/06,TT99,膀羆砏家,,,2865923,,,
2020/05,TT99,膀羆砏家,,,2769025,,,
2020/04,TT99,膀羆砏家,,,2819023,,,
2020/03,TT99,膀羆砏家,,,2461606,,,
2020/02,TT99,膀羆砏家,,,2797571,,,
2020/01,TT99,膀羆砏家,,,2812215,,,
2019/12,TT99,膀羆砏家,,,2884639,,,
2019/11,TT99,膀羆砏家,,,2843485,,,
2019/10,TT99,膀羆砏家,,,2984181,,,
2019/09,TT99,膀羆砏家,,,2744530,,,
2019/08,TT99,膀羆砏家,,,2737306,,,
2019/07,TT99,膀羆砏家,,,2794511,,,
2019/06,TT99,膀羆砏家,,,2832995,,,
2019/05,TT99,膀羆砏家,,,2768692,,,
2019/04,TT99,膀羆砏家,,,2786454,,,
2019/03,TT99,膀羆砏家,,,2755896,,,
2019/02,TT99,膀羆砏家,,,2702866,,,
2019/01,TT99,膀羆砏家,,,2668387,,,
2018/12,TT99,膀羆砏家,,,2614926,,,
2018/11,TT99,膀羆砏家,,,2758563,,,
2018/10,TT99,膀羆砏家,,,2820303,,,
2018/09,TT99,膀羆砏家,,,3090863,,,
2018/08,TT99,膀羆砏家,,,3022852,,,
2018/07,TT99,膀羆砏家,,,2979172,,,
2018/06,TT99,膀羆砏家,,,2891298,,,
2018/05,TT99,膀羆砏家,,,2839049,,,
2018/04,TT99,膀羆砏家,,,2511516,,,
