00733 碔ü籓芖い--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,7906260,,,
2025/01,TT99,膀羆砏家,,,7489155,,,
2024/12,TT99,膀羆砏家,,,7503411,,,
2024/11,TT99,膀羆砏家,,,7563004,,,
2024/10,TT99,膀羆砏家,,,7398518,,,
2024/09,TT99,膀羆砏家,,,7459838,,,
2024/08,TT99,膀羆砏家,,,7614323,,,
2024/07,TT99,膀羆砏家,,,7081190,,,
2024/06,TT99,膀羆砏家,,,8441155,,,
2024/05,TT99,膀羆砏家,,,8511748,,,
2024/04,TT99,膀羆砏家,,,7825106,,,
2024/03,TT99,膀羆砏家,,,3862671,,,
2024/02,TT99,膀羆砏家,,,3799124,,,
2024/01,TT99,膀羆砏家,,,3252824,,,
2023/12,TT99,膀羆砏家,,,2151940,,,
2023/11,TT99,膀羆砏家,,,1987340,,,
2023/10,TT99,膀羆砏家,,,1719497,,,
2023/09,TT99,膀羆砏家,,,1658449,,,
2023/08,TT99,膀羆砏家,,,1565780,,,
2023/07,TT99,膀羆砏家,,,1671857,,,
2023/06,TT99,膀羆砏家,,,1689024,,,
2023/05,TT99,膀羆砏家,,,1182356,,,
2023/04,TT99,膀羆砏家,,,1121735,,,
2023/03,TT99,膀羆砏家,,,1193945,,,
2023/02,TT99,膀羆砏家,,,1229138,,,
2023/01,TT99,膀羆砏家,,,1190369,,,
2022/12,TT99,膀羆砏家,,,1143500,,,
2022/11,TT99,膀羆砏家,,,1207652,,,
2022/10,TT99,膀羆砏家,,,1012277,,,
2022/09,TT99,膀羆砏家,,,1092395,,,
2022/08,TT99,膀羆砏家,,,1211956,,,
2022/07,TT99,膀羆砏家,,,1138452,,,
2022/06,TT99,膀羆砏家,,,1118499,,,
2022/05,TT99,膀羆砏家,,,1220988,,,
2022/04,TT99,膀羆砏家,,,1210680,,,
2022/03,TT99,膀羆砏家,,,1310479,,,
2022/02,TT99,膀羆砏家,,,1260028,,,
2022/01,TT99,膀羆砏家,,,1177344,,,
2021/12,TT99,膀羆砏家,,,1143839,,,
2021/11,TT99,膀羆砏家,,,1153125,,,
2021/10,TT99,膀羆砏家,,,1196389,,,
2021/09,TT99,膀羆砏家,,,1012124,,,
2021/08,TT99,膀羆砏家,,,1088877,,,
2021/07,TT99,膀羆砏家,,,769859,,,
2021/06,TT99,膀羆砏家,,,665120,,,
2021/05,TT99,膀羆砏家,,,572307,,,
2021/04,TT99,膀羆砏家,,,394806,,,
2021/03,TT99,膀羆砏家,,,171423,,,
2021/02,TT99,膀羆砏家,,,133234,,,
2021/01,TT99,膀羆砏家,,,112386,,,
2020/12,TT99,膀羆砏家,,,122486,,,
2020/11,TT99,膀羆砏家,,,115404,,,
2020/10,TT99,膀羆砏家,,,106325,,,
2020/09,TT99,膀羆砏家,,,106171,,,
2020/08,TT99,膀羆砏家,,,111711,,,
2020/07,TT99,膀羆砏家,,,112871,,,
2020/06,TT99,膀羆砏家,,,114041,,,
2020/05,TT99,膀羆砏家,,,115955,,,
2020/04,TT99,膀羆砏家,,,108246,,,
2020/03,TT99,膀羆砏家,,,100043,,,
2020/02,TT99,膀羆砏家,,,109090,,,
2020/01,TT99,膀羆砏家,,,111845,,,
2019/12,TT99,膀羆砏家,,,125781,,,
2019/11,TT99,膀羆砏家,,,124076,,,
2019/10,TT99,膀羆砏家,,,124753,,,
2019/09,TT99,膀羆砏家,,,132447,,,
2019/08,TT99,膀羆砏家,,,139082,,,
2019/07,TT99,膀羆砏家,,,135094,,,
2019/06,TT99,膀羆砏家,,,129604,,,
2019/05,TT99,膀羆砏家,,,121719,,,
2019/04,TT99,膀羆砏家,,,132311,,,
2019/03,TT99,膀羆砏家,,,139998,,,
2019/02,TT99,膀羆砏家,,,134434,,,
2019/01,TT99,膀羆砏家,,,127151,,,
2018/12,TT99,膀羆砏家,,,130412,,,
2018/11,TT99,膀羆砏家,,,133870,,,
2018/10,TT99,膀羆砏家,,,126597,,,
2018/09,TT99,膀羆砏家,,,163727,,,
2018/08,TT99,膀羆砏家,,,203215,,,
2018/07,TT99,膀羆砏家,,,261274,,,
2018/06,TT99,膀羆砏家,,,285913,,,
2018/05,TT99,膀羆砏家,,,786263,,,
