00850 じ籓芖ESGッ尿--201502-202502,,,,,,,,
,,,,,,,,
る,夹絏,夹嘿,щ戈计(),щ戈ゑ瞯,щ戈肂(じ),计/瑈硄计%,る厨筍瞯,ISIN
2025/02,TT99,膀羆砏家,,,19954038,,,
2025/01,TT99,膀羆砏家,,,20144943,,,
2024/12,TT99,膀羆砏家,,,19505632,,,
2024/11,TT99,膀羆砏家,,,18777804,,,
2024/10,TT99,膀羆砏家,,,19188079,,,
2024/09,TT99,膀羆砏家,,,18513942,,,
2024/08,TT99,膀羆砏家,,,18293046,,,
2024/07,TT99,膀羆砏家,,,18171900,,,
2024/06,TT99,膀羆砏家,,,18271593,,,
2024/05,TT99,膀羆砏家,,,16523861,,,
2024/04,TT99,膀羆砏家,,,15970138,,,
2024/03,TT99,膀羆砏家,,,16238143,,,
2024/02,TT99,膀羆砏家,,,15428439,,,
2024/01,TT99,膀羆砏家,,,14752097,,,
2023/12,TT99,膀羆砏家,,,14626507,,,
2023/11,TT99,膀羆砏家,,,14152315,,,
2023/10,TT99,膀羆砏家,,,12909473,,,
2023/09,TT99,膀羆砏家,,,12574009,,,
2023/08,TT99,膀羆砏家,,,12495103,,,
2023/07,TT99,膀羆砏家,,,12016922,,,
2023/06,TT99,膀羆砏家,,,12987521,,,
2023/05,TT99,膀羆砏家,,,12586379,,,
2023/04,TT99,膀羆砏家,,,11804791,,,
2023/03,TT99,膀羆砏家,,,12082804,,,
2023/02,TT99,膀羆砏家,,,11607444,,,
2023/01,TT99,膀羆砏家,,,11505170,,,
2022/12,TT99,膀羆砏家,,,9530398,,,
2022/11,TT99,膀羆砏家,,,10019876,,,
2022/10,TT99,膀羆砏家,,,9185481,,,
2022/09,TT99,膀羆砏家,,,9371988,,,
2022/08,TT99,膀羆砏家,,,10314471,,,
2022/07,TT99,膀羆砏家,,,10173034,,,
2022/06,TT99,膀羆砏家,,,9791259,,,
2022/05,TT99,膀羆砏家,,,10794396,,,
2022/04,TT99,膀羆砏家,,,11245390,,,
2022/03,TT99,膀羆砏家,,,11650667,,,
2022/02,TT99,膀羆砏家,,,11273990,,,
2022/01,TT99,膀羆砏家,,,11248802,,,
2021/12,TT99,膀羆砏家,,,10792208,,,
2021/11,TT99,膀羆砏家,,,10244973,,,
2021/10,TT99,膀羆砏家,,,10175321,,,
2021/09,TT99,膀羆砏家,,,9801238,,,
2021/08,TT99,膀羆砏家,,,10128684,,,
2021/07,TT99,膀羆砏家,,,9747960,,,
2021/06,TT99,膀羆砏家,,,9666860,,,
2021/05,TT99,膀羆砏家,,,9425621,,,
2021/04,TT99,膀羆砏家,,,9501324,,,
2021/03,TT99,膀羆砏家,,,9185442,,,
2021/02,TT99,膀羆砏家,,,8641141,,,
2021/01,TT99,膀羆砏家,,,8221028,,,
2020/12,TT99,膀羆砏家,,,7835526,,,
2020/11,TT99,膀羆砏家,,,7269198,,,
2020/10,TT99,膀羆砏家,,,6830959,,,
2020/09,TT99,膀羆砏家,,,7073371,,,
2020/08,TT99,膀羆砏家,,,7127444,,,
2020/07,TT99,膀羆砏家,,,7256916,,,
2020/06,TT99,膀羆砏家,,,7524755,,,
2020/05,TT99,膀羆砏家,,,7483324,,,
2020/04,TT99,膀羆砏家,,,7551739,,,
2020/03,TT99,膀羆砏家,,,6670702,,,
2020/02,TT99,膀羆砏家,,,6752700,,,
2020/01,TT99,膀羆砏家,,,6062820,,,
2019/12,TT99,膀羆砏家,,,5872162,,,
2019/11,TT99,膀羆砏家,,,5363222,,,
2019/10,TT99,膀羆砏家,,,4994042,,,
2019/09,TT99,膀羆砏家,,,4758279,,,
2019/08,TT99,膀羆砏家,,,2378240,,,
